Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-16-56-31.032,1.0762313070478922e+07, 
11-16-2022-16-56-32.036,5.198486313619389e+07, 
11-16-2022-16-56-33.036,6.692462238901687e+07, 
11-16-2022-16-56-34.040,6.350282409332448e+07, 
11-16-2022-16-56-35.041,6.742162807103525e+07, 
11-16-2022-16-56-36.042,6.875113890444106e+07, 
11-16-2022-16-56-37.042,6.8512903322861e+07, 
11-16-2022-16-56-38.042,6.496213340670564e+07, 
11-16-2022-16-56-39.050,6.76483412256447e+07, 
11-16-2022-16-56-40.054,6.65315516101897e+07, 
11-16-2022-16-56-41.054,7.119719842898111e+07, 
11-16-2022-16-56-42.054,5.82290552009197e+07, 
11-16-2022-16-56-43.064,6.453111122069055e+07, 
11-16-2022-16-56-44.065,7.186419108405761e+07, 
11-16-2022-16-56-45.066,6.6274140599735364e+07, 
11-16-2022-16-56-46.066,6.367647036512891e+07, 
11-16-2022-16-56-47.066,6.2741893320732266e+07, 
11-16-2022-16-56-48.066,6.5549509684585504e+07, 
11-16-2022-16-56-49.067,7.218627007049577e+07, 
11-16-2022-16-56-50.069,6.3828011814156935e+07, 
11-16-2022-16-56-51.071,6.821676428195004e+07, 
11-16-2022-16-56-52.070,7.217563856161776e+07, 
11-16-2022-16-56-53.070,6.371094524975201e+07, 
11-16-2022-16-56-54.072,5.7464305891735405e+07, 
11-16-2022-16-56-55.072,6.5966726774673134e+07, 
11-16-2022-16-56-56.072,7.221911837594822e+07, 
11-16-2022-16-56-57.073,6.349303100613582e+07, 
11-16-2022-16-56-58.073,6.307685910762833e+07, 
11-16-2022-16-56-59.073,7.162524969780265e+07, 
11-16-2022-16-57-00.073,6.579785732042205e+07, 
11-16-2022-16-57-01.076,6.928935989534363e+07, 
11-16-2022-16-57-02.076,6.599867921236387e+07, 
11-16-2022-16-57-03.076,6.914960677793093e+07, 
11-16-2022-16-57-04.077,7.050166646374413e+07, 
11-16-2022-16-57-05.077,6.5059506067553826e+07, 
11-16-2022-16-57-06.083,6.280923192546091e+07, 
11-16-2022-16-57-07.083,7.00014372759004e+07, 
11-16-2022-16-57-08.085,6.683946125591881e+07, 
11-16-2022-16-57-09.085,7.038128435998775e+07, 
11-16-2022-16-57-10.085,6.601107972064564e+07, 
11-16-2022-16-57-11.086,6.5574133247364074e+07, 
11-16-2022-16-57-12.086,7.115866761962774e+07, 
11-16-2022-16-57-13.087,6.433318618653247e+07, 
11-16-2022-16-57-14.087,6.6394855235305995e+07, 
11-16-2022-16-57-15.088,6.6490370660600305e+07, 
11-16-2022-16-57-16.088,7.221310219729893e+07, 
11-16-2022-16-57-17.088,6.437125375024788e+07, 
11-16-2022-16-57-18.088,6.868904202924956e+07, 
11-16-2022-16-57-19.089,7.15608530770818e+07, 
11-16-2022-16-57-20.089,6.204816972311973e+07, 
11-16-2022-16-57-21.103,6.730049002018587e+07, 
11-16-2022-16-57-22.103,6.648375738856084e+07, 
11-16-2022-16-57-23.103,6.885771356315331e+07, 
11-16-2022-16-57-24.103,6.889901967498459e+07, 
11-16-2022-16-57-25.105,6.85685572915694e+07, 
11-16-2022-16-57-26.105,6.4557496774810314e+07, 
11-16-2022-16-57-27.105,6.868351722064857e+07, 
11-16-2022-16-57-28.105,6.344209207674275e+07, 
11-16-2022-16-57-29.106,7.157959165968533e+07, 
11-16-2022-16-57-30.106,7.089846629066771e+07, 
