Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-16-56-31.032,2.402606210726433e+06, 0, Upload, 
11-16-2022-16-56-31.032,1.0762313070478922e+07, 0, Download, 
11-16-2022-16-56-32.036,3.434622186511204e+07, 0, Download, 
11-16-2022-16-56-32.036,1.763864127108185e+07, 1, Download, 
11-16-2022-16-56-32.036,2.139641157435745e+06, 0, Upload, 
11-16-2022-16-56-32.036,1.8783109397336692e+06, 1, Upload, 
11-16-2022-16-56-33.036,3.2389442695190817e+07, 0, Download, 
11-16-2022-16-56-33.036,3.3142953324280437e+07, 1, Download, 
11-16-2022-16-56-33.036,1.3922263695456078e+06, 2, Download, 
11-16-2022-16-56-33.036,1.293701827364226e+06, 0, Upload, 
11-16-2022-16-56-33.036,966182.3773985992, 1, Upload, 
11-16-2022-16-56-33.036,1.0155062930803258e+06, 2, Upload, 
11-16-2022-16-56-34.040,3.169428664273292e+07, 0, Download, 
11-16-2022-16-56-34.040,2.9605272464387774e+07, 1, Download, 
11-16-2022-16-56-34.040,1.7462617547692002e+06, 2, Download, 
11-16-2022-16-56-34.040,457003.2314345924, 3, Download, 
11-16-2022-16-56-34.040,1.3546881503239702e+06, 0, Upload, 
11-16-2022-16-56-34.040,1.126186534606674e+06, 1, Upload, 
11-16-2022-16-56-34.040,522289.4073538199, 2, Upload, 
11-16-2022-16-56-34.040,620218.6712326611, 3, Upload, 
11-16-2022-16-56-35.041,3.5430005145728864e+07, 0, Download, 
11-16-2022-16-56-35.041,2.6981519847832736e+07, 1, Download, 
11-16-2022-16-56-35.041,1.7518303614392332e+06, 2, Download, 
11-16-2022-16-56-35.041,1.4735512634618175e+06, 3, Download, 
11-16-2022-16-56-35.041,1.7847214525725998e+06, 4, Download, 
11-16-2022-16-56-35.041,507581.3305481706, 0, Upload, 
11-16-2022-16-56-35.041,98241.54784803302, 1, Upload, 
11-16-2022-16-56-35.041,982415.4784803302, 2, Upload, 
11-16-2022-16-56-35.041,769558.7914762587, 3, Upload, 
11-16-2022-16-56-35.041,753185.2001682532, 4, Upload, 
11-16-2022-16-56-36.042,3.078767382222877e+07, 0, Download, 
11-16-2022-16-56-36.042,3.1040961244103964e+07, 1, Download, 
11-16-2022-16-56-36.042,1.570831075631553e+06, 2, Download, 
11-16-2022-16-56-36.042,1.6527965121940866e+06, 3, Download, 
11-16-2022-16-56-36.042,2.192603394418212e+06, 4, Download, 
11-16-2022-16-56-36.042,1.5062728558644669e+06, 5, Download, 
11-16-2022-16-56-36.042,0, 0, Upload, 
11-16-2022-16-56-36.042,1.1453006304306362e+06, 1, Upload, 
11-16-2022-16-56-36.042,1.1943849431633777e+06, 2, Upload, 
11-16-2022-16-56-36.042,785349.0037238648, 3, Upload, 
11-16-2022-16-56-36.042,687180.3782583816, 4, Upload, 
11-16-2022-16-56-36.042,1.211353642855216e+06, 5, Upload, 
11-16-2022-16-56-37.042,2.7953650859230086e+07, 0, Download, 
11-16-2022-16-56-37.042,3.09271277976959e+07, 1, Download, 
11-16-2022-16-56-37.042,1.507071986510447e+06, 2, Download, 
11-16-2022-16-56-37.042,1.5069280040907005e+06, 3, Download, 
11-16-2022-16-56-37.042,2.1950439851294155e+06, 4, Download, 
11-16-2022-16-56-37.042,2.7191239949602154e+06, 5, Download, 
11-16-2022-16-56-37.042,1.7039566952442212e+06, 6, Download, 
11-16-2022-16-56-37.042,491291.8931739993, 0, Upload, 
11-16-2022-16-56-37.042,474915.496734866, 1, Upload, 
11-16-2022-16-56-37.042,589550.2718087992, 2, Upload, 
11-16-2022-16-56-37.042,671432.2540044658, 3, Upload, 
