Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-52-34.828,2.829349677660084e+07, 0, Download, 
11-16-2022-18-52-34.828,2.610334009153578e+07, 1, Download, 
11-16-2022-18-52-34.828,5.72679922038718e+06, 2, Download, 
11-16-2022-18-52-34.828,2.482125290616899e+06, 3, Download, 
11-16-2022-18-52-34.828,4.964393178843347e+06, 4, Download, 
11-16-2022-18-52-34.828,940946.1707887609, 5, Download, 
11-16-2022-18-52-34.828,567855.3695823059, 6, Download, 
11-16-2022-18-52-34.828,567855.3695823059, 7, Download, 
11-16-2022-18-52-34.828,373162.1000112296, 8, Download, 
11-16-2022-18-52-35.839,1.0854307211873797e+06, 0, Upload, 
11-16-2022-18-52-35.839,632176.7494071018, 1, Upload, 
11-16-2022-18-52-35.839,1.0860472361609184e+06, 2, Upload, 
11-16-2022-18-52-35.839,729434.7108543483, 3, Upload, 
11-16-2022-18-52-35.839,437660.8265126089, 4, Upload, 
11-16-2022-18-52-35.839,518709.1277186476, 5, Upload, 
11-16-2022-18-52-35.839,761854.0313367636, 6, Upload, 
11-16-2022-18-52-35.839,632176.7494071018, 7, Upload, 
11-16-2022-18-52-35.839,421451.16627140116, 8, Upload, 
11-16-2022-18-52-35.839,0, 9, Upload, 
11-16-2022-18-52-35.839,3.0164111926991627e+07, 0, Download, 
11-16-2022-18-52-35.839,2.34213206698001e+07, 1, Download, 
11-16-2022-18-52-35.839,4.878822797169602e+06, 2, Download, 
11-16-2022-18-52-35.839,1.928878334845239e+06, 3, Download, 
11-16-2022-18-52-35.839,3.857685435831996e+06, 4, Download, 
11-16-2022-18-52-35.839,1.0049989349548798e+06, 5, Download, 
11-16-2022-18-52-35.839,567338.1084422708, 6, Download, 
11-16-2022-18-52-35.839,534918.7879598554, 7, Download, 
11-16-2022-18-52-35.839,680805.730130725, 8, Download, 
11-16-2022-18-52-35.839,0, 9, Download, 
11-16-2022-18-52-36.841,2.171977562002565e+07, 0, Download, 
11-16-2022-18-52-36.841,3.1656330578195814e+07, 1, Download, 
11-16-2022-18-52-36.841,4.053044843274785e+06, 2, Download, 
11-16-2022-18-52-36.841,2.2553395586619237e+06, 3, Download, 
11-16-2022-18-52-36.841,3.13777629517666e+06, 4, Download, 
11-16-2022-18-52-36.841,1.291038766915685e+06, 5, Download, 
11-16-2022-18-52-36.841,572042.8425613282, 6, Download, 
11-16-2022-18-52-36.841,572042.8425613282, 7, Download, 
11-16-2022-18-52-36.841,768171.8171537835, 8, Download, 
