Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-18-53-37.564,3, 0.1198639,0.040579,15075, Foreign,
11-16-2022-18-53-36.651,3, 0.8116361,0.037648,6339, Foreign,
11-16-2022-18-53-37.974,3, 0.1195839,0.037811,15075, Foreign,
11-16-2022-18-53-37.666,3, 0.4549234,0.050153,15075, Foreign,
11-16-2022-18-53-36.959,3, 0.8624139,0.035392,6339, Foreign,
11-16-2022-18-53-37.770,3, 0.4058265,0.035739,15075, Foreign,
11-16-2022-18-53-38.298,3, 0.1579755,0.035639,15075, Foreign,
11-16-2022-18-53-38.398,3, 0.1191154,0.03945,15075, Foreign,
11-16-2022-18-53-38.086,3, 0.4814624,0.0391,15075, Foreign,
11-16-2022-18-53-37.464,3, 0.8249759,0.036876,6339, Foreign,
11-16-2022-18-53-38.186,3, 0.5075098,0.037691,15075, Foreign,
11-16-2022-18-53-38.708,3, 0.1160492,0.038196,15075, Foreign,
11-16-2022-18-53-38.499,3, 0.3892088,0.037301,15075, Foreign,
11-16-2022-18-53-38.809,3, 0.1226558,0.037118,15075, Foreign,
11-16-2022-18-53-37.871,3, 0.8237374,0.031933,6339, Foreign,
11-16-2022-18-53-38.910,3, 0.1651824,0.036962,15075, Foreign,
11-16-2022-18-53-39.012,3, 0.1124818,0.036376,15075, Foreign,
11-16-2022-18-53-39.112,3, 0.1661302,0.03407,15075, Foreign,
11-16-2022-18-53-39.316,3, 0.1539757,0.035751,15075, Foreign,
11-16-2022-18-53-39.418,3, 0.1027311,0.029556,15075, Foreign,
11-16-2022-18-53-39.216,3, 0.3994978,0.04953,15075, Foreign,
11-16-2022-18-53-39.520,3, 0.1148884,0.034643,15075, Foreign,
11-16-2022-18-53-39.622,3, 0.1108039,0.035773,15075, Foreign,
11-16-2022-18-53-39.827,3, 0.1232144,0.037483,15075, Foreign,
11-16-2022-18-53-39.724,3, 0.2474763,0.032698,15075, Foreign,
11-16-2022-18-53-39.928,3, 0.1159288,0.037208,15075, Foreign,
11-16-2022-18-53-40.128,3, 0.1095256,0.035726,15075, Foreign,
11-16-2022-18-53-40.229,3, 0.1179262,0.039474,15075, Foreign,
11-16-2022-18-53-40.329,3, 0.1672824,0.039817,15075, Foreign,
11-16-2022-18-53-40.431,3, 0.1107701,0.032863,15075, Foreign,
11-16-2022-18-53-40.532,3, 0.1060793,0.033637,15075, Foreign,
11-16-2022-18-53-40.028,3, 0.619083,0.034871,15075, Foreign,
11-16-2022-18-53-40.834,3, 0.1122965,0.040873,15075, Foreign,
11-16-2022-18-53-40.934,3, 0.1080697,0.039904,15075, Foreign,
11-16-2022-18-53-40.733,3, 0.4004014,0.037093,15075, Foreign,
11-16-2022-18-53-38.606,3, 2.2498027,0.034415,6339, Foreign,
11-16-2022-18-53-40.633,3, 1.0686428000000001,0.033366,15075, Foreign,
11-16-2022-18-53-41.350,3, 0.3642909,0.033486,15075, Foreign,
11-16-2022-18-53-41.654,3, 0.1079206,0.034226,15075, Foreign,
11-16-2022-18-53-41.034,3, 0.7433268,0.033786,15075, Foreign,
11-16-2022-18-53-41.451,3, 0.3737334,0.034175,15075, Foreign,
11-16-2022-18-53-41.242,3, 0.5866793,0.033332,15075, Foreign,
11-16-2022-18-53-41.755,3, 0.1303523,0.035195,15075, Foreign,
11-16-2022-18-53-41.855,3, 0.1451226,0.046249,15075, Foreign,
11-16-2022-18-53-41.955,3, 0.1962892,0.043809,15075, Foreign,
11-16-2022-18-53-41.138,3, 0.8231873,0.035746,6339, Foreign,
11-16-2022-18-53-42.266,3, 0.1965841,0.041716,15075, Foreign,
11-16-2022-18-53-41.554,3, 0.8247829,0.033161,6339, Foreign,
11-16-2022-18-53-42.575,3, 0.1069426,0.035439,15075, Foreign,
11-16-2022-18-53-42.676,3, 0.1233512,0.040321,15075, Foreign,
11-16-2022-18-53-42.884,3, 0.2704412,0.036814,15075, Foreign,
11-16-2022-18-53-42.059,3, 0.8252364,0.037208,6339, Foreign,
11-16-2022-18-53-42.165,3, 0.8267288,0.036167,6339, Foreign,
11-16-2022-18-53-43.192,3, 0.165229,0.037408,15075, Foreign,
11-16-2022-18-53-42.777,3, 0.6196014,0.03675,15075, Foreign,
11-16-2022-18-53-43.091,3, 0.3787327,0.036772,15075, Foreign,
11-16-2022-18-53-42.369,3, 0.8097907,0.031485,6339, Foreign,
11-16-2022-18-53-43.296,3, 0.2450589,0.035653,15075, Foreign,
11-16-2022-18-53-43.396,3, 0.1043303,0.034337,15075, Foreign,
11-16-2022-18-53-43.699,3, 0.1061442,0.036596,15075, Foreign,
11-16-2022-18-53-43.799,3, 0.1119219,0.035037,15075, Foreign,
11-16-2022-18-53-43.904,3, 0.1283489,0.038618,15075, Foreign,
11-16-2022-18-53-42.989,3, 0.8379259,0.036878,6339, Foreign,
11-16-2022-18-53-44.004,3, 0.1285986,0.044507,15075, Foreign,
11-16-2022-18-53-44.106,3, 0.1126423,0.036283,15075, Foreign,
11-16-2022-18-53-44.206,3, 0.2326594,0.04727,15075, Foreign,
11-16-2022-18-53-43.597,3, 0.8335405,0.037804,6339, Foreign,
11-16-2022-18-53-44.610,3, 0.1940814,0.040129,15075, Foreign,
11-16-2022-18-53-44.710,3, 0.1604018,0.037879,15075, Foreign,
11-16-2022-18-53-43.497,3, 1.1152232,0.037093,6339, Foreign,
11-16-2022-18-53-44.912,3, 0.1651024,0.038786,15075, Foreign,
11-16-2022-18-53-45.013,3, 0.1101208,0.034164,15075, Foreign,
11-16-2022-18-53-44.306,3, 0.8339396,0.03815,6339, Foreign,
11-16-2022-18-53-45.317,3, 0.1270523,0.038822,15075, Foreign,
11-16-2022-18-53-45.619,3, 0.1085328,0.031564,15075, Foreign,
11-16-2022-18-53-45.722,3, 0.1168344,0.036409,15075, Foreign,
11-16-2022-18-53-45.824,3, 0.1140391,0.039534,15075, Foreign,
11-16-2022-18-53-45.517,3, 0.4212233,0.038811,15075, Foreign,
11-16-2022-18-53-45.926,3, 0.1090986,0.034711,15075, Foreign,
11-16-2022-18-53-45.113,3, 0.9682804,0.041913,15075, Foreign,
11-16-2022-18-53-46.026,3, 0.1047002,0.036847,15075, Foreign,
11-16-2022-18-53-46.126,3, 0.1055298,0.032734,15075, Foreign,
11-16-2022-18-53-46.226,3, 0.1267206,0.035789,15075, Foreign,
11-16-2022-18-53-46.326,3, 0.1600972,0.052768,15075, Foreign,
11-16-2022-18-53-46.433,3, 0.1296771,0.038893,15075, Foreign,
11-16-2022-18-53-46.534,3, 0.1344219,0.035876,15075, Foreign,
11-16-2022-18-53-45.217,3, 1.162438,0.041002,6339, Foreign,
11-16-2022-18-53-44.509,3, 1.9154618,0.039082,6339, Foreign,
11-16-2022-18-53-46.839,3, 0.1269932,0.036521,15075, Foreign,
11-16-2022-18-53-46.635,3, 0.452042,0.050866,15075, Foreign,
11-16-2022-18-53-46.939,3, 0.1765776,0.037996,15075, Foreign,
11-16-2022-18-53-47.242,3, 0.2406178,0.040256,15075, Foreign,
11-16-2022-18-53-42.471,3, 4.8832102,0.037069,6339, Foreign,
11-16-2022-18-53-47.544,3, 0.1178039,0.038583,15075, Foreign,
11-16-2022-18-53-46.737,3, 0.9474,0.037423,15075, Foreign,
11-16-2022-18-53-47.343,3, 0.4034849,0.043037,15075, Foreign,
11-16-2022-18-53-47.644,3, 0.1389379,0.039693,15075, Foreign,
11-16-2022-18-53-47.142,3, 0.8072254,0.033444,6339, Foreign,
11-16-2022-18-53-48.154,3, 0.1137955,0.037374,15075, Foreign,
11-16-2022-18-53-48.255,3, 0.1027643,0.033579,15075, Foreign,
11-16-2022-18-53-44.406,3, 3.965236,0.044008,15075, Foreign,
11-16-2022-18-53-47.954,3, 0.5204495,0.04164,15075, Foreign,
11-16-2022-18-53-48.054,3, 0.4981525,0.047797,15075, Foreign,
