Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-18-52-26.811,1.937804854292122e+06, 
11-16-2022-18-52-27.812,2.3880577942443755e+06, 
11-16-2022-18-52-28.813,2.8169460107206064e+06, 
11-16-2022-18-52-29.813,3.98114678240853e+06, 
11-16-2022-18-52-30.816,5.0635735859258e+06, 
11-16-2022-18-52-31.816,5.487572118465748e+06, 
11-16-2022-18-52-32.817,7.4015030945005e+06, 
11-16-2022-18-52-33.818,6.966921619955731e+06, 
11-16-2022-18-52-34.828,7.301689782826735e+06, 
11-16-2022-18-52-35.839,6.304941318856272e+06, 
11-16-2022-18-52-36.841,8.351825501395392e+06, 
11-16-2022-18-52-37.842,8.188520697555607e+06, 
11-16-2022-18-52-38.843,7.13231470661298e+06, 
11-16-2022-18-52-39.845,8.961876015761584e+06, 
11-16-2022-18-52-40.847,7.180552065975847e+06, 
11-16-2022-18-52-41.847,7.074323940199328e+06, 
11-16-2022-18-52-42.850,8.298963511000545e+06, 
11-16-2022-18-52-43.851,8.84292704067451e+06, 
11-16-2022-18-52-44.852,1.2668007069029124e+07, 
11-16-2022-18-52-45.853,1.0626648731084192e+07, 
11-16-2022-18-52-46.853,1.0430223660097655e+07, 
11-16-2022-18-52-47.853,8.501131600423727e+06, 
11-16-2022-18-52-48.855,1.1312796292621061e+07, 
11-16-2022-18-52-49.857,9.741767473570846e+06, 
11-16-2022-18-52-50.857,1.2592246860207655e+07, 
11-16-2022-18-52-51.858,1.3297785432977404e+07, 
11-16-2022-18-52-52.860,9.544225548912948e+06, 
11-16-2022-18-52-53.860,9.058379085035281e+06, 
11-16-2022-18-52-54.861,1.1774280682770781e+07, 
11-16-2022-18-52-55.861,1.2153414447883114e+07, 
11-16-2022-18-52-56.861,1.1662898144319344e+07, 
11-16-2022-18-52-57.862,1.2226203660174644e+07, 
11-16-2022-18-52-58.862,1.3499306357017454e+07, 
11-16-2022-18-52-59.863,1.227944000237435e+07, 
11-16-2022-18-53-00.864,1.106668417258841e+07, 
11-16-2022-18-53-01.866,1.2773188042602614e+07, 
11-16-2022-18-53-02.866,1.141938606868179e+07, 
11-16-2022-18-53-03.866,1.1566507168230122e+07, 
11-16-2022-18-53-04.867,1.2424717316823065e+07, 
11-16-2022-18-53-05.866,9.097209195533393e+06, 
11-16-2022-18-53-06.867,1.17884709128618e+07, 
11-16-2022-18-53-07.868,1.3566166486165144e+07, 
11-16-2022-18-53-08.868,1.313612072199486e+07, 
