Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-13-58-36.319,1, 0.0344982,0.030165,240779, Self,
11-16-2022-13-58-36.422,1, 0.0354827,0.035074,241424, Self,
11-16-2022-13-58-36.523,1, 0.1368672,0.025207,292003, Self,
11-16-2022-13-58-36.624,1, 0.041772,0.025207,292003, Self,
11-16-2022-13-58-36.725,1, 0.0964722,0.036648,292693, Self,
11-16-2022-13-58-36.825,1, 0.1033761,0.037927,292915, Self,
11-16-2022-13-58-36.925,1, 0.0288766,0.033794,292966, Self,
11-16-2022-13-58-37.027,1, 0.1589359,0.035685,293749, Self,
11-16-2022-13-58-37.130,1, 0.0615691,0.035685,293749, Self,
11-16-2022-13-58-37.230,1, 0.1149381,0.03805,294346, Self,
11-16-2022-13-58-37.330,1, 0.5901408,0.036364,294631, Self,
11-16-2022-13-58-37.432,1, 0.602739,0.044584,294992, Self,
11-16-2022-13-58-37.833,1, 0.2018185,0.044584,294992, Self,
11-16-2022-13-58-37.633,1, 0.4019354,0.044584,294992, Self,
11-16-2022-13-58-37.733,1, 0.3018972,0.044584,294992, Self,
11-16-2022-13-58-37.532,1, 0.5024025,0.044584,294992, Self,
11-16-2022-13-58-37.933,1, 0.102465,0.044584,294992, Self,
11-16-2022-13-58-38.033,1, 0.1453607,0.041109,295300, Self,
11-16-2022-13-58-38.134,1, 0.1187658,0.032187,295823, Self,
11-16-2022-13-58-38.235,1, 0.0216881,0.030876,295878, Self,
11-16-2022-13-58-38.340,1, 0.0722285,0.031,299386, Self,
11-16-2022-13-58-38.443,1, 0.0841023,0.037007,302076, Self,
11-16-2022-13-58-38.544,1, 0.1461585,0.037511,306467, Self,
11-16-2022-13-58-38.649,1, 0.2316397,0.036741,311587, Self,
11-16-2022-13-58-38.759,1, 0.123214,0.036741,311587, Self,
11-16-2022-13-58-38.861,1, 0.0714076,0.030315,317790, Self,
11-16-2022-13-58-38.961,1, 0.1933916,0.037456,333046, Self,
11-16-2022-13-58-39.062,1, 0.0959444,0.037456,333046, Self,
11-16-2022-13-58-39.162,1, 0.1323757,0.037945,344026, Self,
11-16-2022-13-58-39.263,1, 0.0441662,0.037951,344379, Self,
11-16-2022-13-58-39.364,1, 0.0496057,0.040669,351307, Self,
11-16-2022-13-58-39.464,1, 0.0712467,0.039866,356653, Self,
11-16-2022-13-58-39.565,1, 0.114447,0.038304,379794, Self,
11-16-2022-13-58-39.666,1, 0.0659416,0.03638,381350, Self,
11-16-2022-13-58-39.766,1, 0.1988312,0.035885,399772, Self,
11-16-2022-13-58-39.869,1, 0.1644491,0.03672,407994, Self,
11-16-2022-13-58-39.969,1, 0.2608108,0.036974,413408, Self,
11-16-2022-13-58-40.072,1, 0.2211291,0.032447,422546, Self,
11-16-2022-13-58-40.172,1, 0.1766047,0.040851,431151, Self,
11-16-2022-13-58-40.273,1, 0.1245868,0.038629,433188, Self,
11-16-2022-13-58-40.374,1, 0.0452566,0.039347,433712, Self,
11-16-2022-13-58-40.475,1, 0.1164381,0.050144,459832, Self,
11-16-2022-13-58-40.578,1, 0.1777818,0.034837,473946, Self,
11-16-2022-13-58-40.687,1, 0.1805436,0.034041,480201, Self,
11-16-2022-13-58-40.787,1, 0.1429434,0.038482,491395, Self,
11-16-2022-13-58-40.893,1, 0.1384225,0.036129,503782, Self,
11-16-2022-13-58-40.993,1, 0.1849484,0.033204,512695, Self,
11-16-2022-13-58-41.095,1, 0.2593782,0.033115,519801, Self,
11-16-2022-13-58-41.206,1, 0.2083551,0.033147,523807, Self,
11-16-2022-13-58-41.308,1, 0.1202253,0.033147,523807, Self,
11-16-2022-13-58-41.408,1, 0.0332302,0.031642,529199, Self,
11-16-2022-13-58-41.512,1, 0.1260507,0.03214,554151, Self,
11-16-2022-13-58-41.612,1, 0.0531762,0.029535,559534, Self,
11-16-2022-13-58-41.713,1, 0.0484968,0.036625,399424, Self,
11-16-2022-13-58-41.816,1, 0.1861396,0.039724,401628, Self,
11-16-2022-13-58-41.918,1, 0.1361486,0.037624,402588, Self,
11-16-2022-13-58-42.018,1, 0.1878795,0.03751,403691, Self,
11-16-2022-13-58-42.121,1, 0.1926572,0.037204,404785, Self,
11-16-2022-13-58-42.222,1, 0.168725,0.034589,406527, Self,
11-16-2022-13-58-42.323,1, 0.076435,0.034589,406527, Self,
11-16-2022-13-58-42.424,1, 0.0800983,0.035233,412154, Self,
11-16-2022-13-58-42.524,1, 0.0407082,0.034843,414994, Self,
11-16-2022-13-58-42.627,1, 0.1521909,0.045404,422062, Self,
11-16-2022-13-58-42.728,1, 0.0730804,0.045404,422062, Self,
11-16-2022-13-58-42.828,1, 0.0428663,0.038155,427492, Self,
11-16-2022-13-58-42.928,1, 0.290003,0.039285,433099, Self,
11-16-2022-13-58-43.031,1, 0.1878793,0.039285,433099, Self,
11-16-2022-13-58-43.132,1, 0.1070059,0.039285,433099, Self,
11-16-2022-13-58-43.232,1, 0.1848067,0.077455,304989, Self,
11-16-2022-13-58-43.332,1, 0.1542942,0.056632,304997, Self,
11-16-2022-13-58-43.433,1, 0.1082952,0.045669,305004, Self,
11-16-2022-13-58-43.533,1, 0.2139706,0.040039,305016, Self,
11-16-2022-13-58-43.636,1, 0.1125339,0.040039,305016, Self,
11-16-2022-13-58-43.736,1, 0.0986892,0.042367,213516, Self,
11-16-2022-13-58-43.836,1, 0.1170486,0.07437,213524, Self,
11-16-2022-13-58-43.937,1, 0.1392006,0.049504,213538, Self,
11-16-2022-13-58-44.047,1, 0.2057019,0.037642,213549, Self,
11-16-2022-13-58-44.152,1, 0.1081779,0.037642,213549, Self,
11-16-2022-13-58-44.252,1, 0.0346642,0.035173,213555, Self,
11-16-2022-13-58-44.353,1, 0.1695784,0.040811,213591, Self,
11-16-2022-13-58-44.457,1, 0.1243439,0.036104,213957, Self,
11-16-2022-13-58-44.562,1, 0.1424494,0.033677,214287, Self,
11-16-2022-13-58-44.668,1, 0.0718487,0.033677,214287, Self,
11-16-2022-13-58-44.768,1, 0.205311,0.039408,216565, Self,
11-16-2022-13-58-44.869,1, 0.1073269,0.039408,216565, Self,
11-16-2022-13-58-44.969,1, 0.0370947,0.039141,216649, Self,
11-16-2022-13-58-45.071,1, 0.0687006,0.040059,152346, Self,
11-16-2022-13-58-45.171,1, 0.0670186,0.052201,152366, Self,
11-16-2022-13-58-45.271,1, 0.0671409,0.047047,152381, Self,
11-16-2022-13-58-45.374,1, 0.0999787,0.039253,152402, Self,
11-16-2022-13-58-45.478,1, 0.2390342,0.037432,152474, Self,
11-16-2022-13-58-45.580,1, 0.1384504,0.037432,152474, Self,
11-16-2022-13-58-45.683,1, 0.1157516,0.034736,152752, Self,
11-16-2022-13-58-45.783,1, 0.1596494,0.037287,153327, Self,
11-16-2022-13-58-45.887,1, 0.185026,0.042757,154257, Self,
11-16-2022-13-58-45.987,1, 0.1180368,0.042757,154257, Self,
11-16-2022-13-58-46.088,1, 0.1504101,0.048034,108688, Self,
11-16-2022-13-58-46.188,1, 0.3411722,0.041229,76088, Self,
11-16-2022-13-58-46.290,1, 0.2411137,0.041229,76088, Self,
11-16-2022-13-58-46.390,1, 0.2296637,0.031702,76103, Self,
11-16-2022-13-58-46.490,1, 0.1305915,0.031702,76103, Self,
11-16-2022-13-58-46.591,1, 0.0474876,0.03364,76104, Self,
11-16-2022-13-58-46.695,1, 0.2842243,0.037971,76919, Self,
11-16-2022-13-58-46.795,1, 0.2580081,0.039682,77068, Self,
11-16-2022-13-58-46.896,1, 0.2755442,0.044164,77697, Self,
11-16-2022-13-58-46.998,1, 0.5727033,0.039346,87676, Self,
11-16-2022-13-58-47.102,1, 0.4696737,0.039346,87676, Self,
11-16-2022-13-58-47.309,1, 0.2647551,0.039346,87676, Self,
11-16-2022-13-58-47.203,1, 0.370286,0.039346,87676, Self,
11-16-2022-13-58-47.514,1, 0.1291818,0.037198,90228, Self,
11-16-2022-13-58-47.412,1, 0.231458,0.037198,90228, Self,
11-16-2022-13-58-47.615,1, 0.1454853,0.039922,92299, Self,
11-16-2022-13-58-47.718,1, 0.246617,0.039444,96170, Self,
11-16-2022-13-58-47.818,1, 0.2891416,0.038112,98313, Self,
11-16-2022-13-58-47.919,1, 0.2655722,0.04183,99816, Self,
11-16-2022-13-58-48.020,1, 0.2370168,0.035143,106076, Self,
11-16-2022-13-58-48.120,1, 0.2059123,0.041153,106082, Self,
11-16-2022-13-58-48.220,1, 0.1980722,0.039851,106088, Self,
11-16-2022-13-58-48.321,1, 0.1092208,0.039851,106088, Self,
11-16-2022-13-58-48.422,1, 0.2286238,0.038724,109320, Self,
11-16-2022-13-58-48.522,1, 0.2600758,0.039728,110321, Self,
11-16-2022-13-58-48.623,1, 0.159455,0.039728,110321, Self,
11-16-2022-13-58-48.731,1, 0.1982776,0.040389,111596, Self,
11-16-2022-13-58-48.833,1, 0.156085,0.041974,113019, Self,
11-16-2022-13-58-48.935,1, 0.2120614,0.040817,115161, Self,
11-16-2022-13-58-49.037,1, 0.2610091,0.043101,122973, Self,
11-16-2022-13-58-49.138,1, 0.175423,0.043101,122973, Self,
11-16-2022-13-58-49.238,1, 0.2681805,0.047805,122980, Self,
11-16-2022-13-58-49.339,1, 0.3059632,0.049818,86093, Self,
11-16-2022-13-58-49.439,1, 0.2055104,0.049818,86093, Self,
11-16-2022-13-58-49.540,1, 0.4523393,0.045823,88994, Self,
11-16-2022-13-58-49.640,1, 0.3517234,0.045823,88994, Self,
