Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-13-58-36.319,3, 0.1176789,0.03244,15075, Foreign,
11-16-2022-13-58-36.523,3, 0.1043177,0.034494,15075, Foreign,
11-16-2022-13-58-35.605,3, 0.788341,0.029347,6339, Foreign,
11-16-2022-13-58-36.624,3, 0.0790064,0.02455,15075, Foreign,
11-16-2022-13-58-34.487,3, 1.9600286,0.035384,6339, Foreign,
11-16-2022-13-58-36.725,3, 0.1303956,0.03565,15075, Foreign,
11-16-2022-13-58-36.422,3, 0.4460626,0.042465,15075, Foreign,
11-16-2022-13-58-36.825,3, 0.1000541,0.034,15075, Foreign,
11-16-2022-13-58-36.925,3, 0.1528004,0.034294,15075, Foreign,
11-16-2022-13-58-36.016,3, 0.8330403,0.047484,6339, Foreign,
11-16-2022-13-58-37.130,3, 0.1082189,0.035003,15075, Foreign,
11-16-2022-13-58-37.027,3, 0.479839,0.038963,15075, Foreign,
11-16-2022-13-58-37.432,3, 0.0875573,0.024942,15075, Foreign,
11-16-2022-13-58-37.230,3, 0.4420702,0.03636,15075, Foreign,
11-16-2022-13-58-37.532,3, 0.1398724,0.027275,15075, Foreign,
11-16-2022-13-58-37.633,3, 0.0903251,0.032997,15075, Foreign,
11-16-2022-13-58-32.566,3, 4.8603388,0.034239,6339, Foreign,
11-16-2022-13-58-37.733,3, 0.0886642,0.026067,15075, Foreign,
11-16-2022-13-58-37.933,3, 0.1255904,0.040345,15075, Foreign,
11-16-2022-13-58-37.833,3, 0.4232892,0.039895,15075, Foreign,
11-16-2022-13-58-38.134,3, 0.1474458,0.034389,15075, Foreign,
11-16-2022-13-58-33.270,3, 4.8560014,0.038868,1971, Foreign,
11-16-2022-13-58-38.033,3, 0.3948485,0.038603,15075, Foreign,
11-16-2022-13-58-37.330,3, 0.8092088,0.036297,6339, Foreign,
11-16-2022-13-58-38.340,3, 0.1085578,0.029978,15075, Foreign,
11-16-2022-13-58-38.235,3, 0.2356381,0.031945,15075, Foreign,
11-16-2022-13-58-38.544,3, 0.1191473,0.042199,15075, Foreign,
11-16-2022-13-58-38.443,3, 0.404338,0.041251,15075, Foreign,
11-16-2022-13-58-38.759,3, 0.1107951,0.029769,15075, Foreign,
11-16-2022-13-58-38.861,3, 0.1239678,0.034337,15075, Foreign,
11-16-2022-13-58-38.649,3, 0.3917389,0.03595,15075, Foreign,
11-16-2022-13-58-39.263,3, 0.1138977,0.03542,15075, Foreign,
11-16-2022-13-58-39.162,3, 0.4026704,0.036099,15075, Foreign,
11-16-2022-13-58-38.961,3, 0.6311369,0.039499,15075, Foreign,
11-16-2022-13-58-39.565,3, 0.1185721,0.038726,15075, Foreign,
