Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-38-43.014,3, 1.0872421,0.048942,6339, Foreign,
11-19-2022-23-38-44.140,3, 0.2408114,0.038615,15075, Foreign,
11-19-2022-23-38-44.342,3, 0.1444649,0.033558,15075, Foreign,
11-19-2022-23-38-44.450,3, 0.1790725,0.038284,15075, Foreign,
11-19-2022-23-38-44.662,3, 0.3249442,0.03114,15075, Foreign,
11-19-2022-23-38-39.715,3, 4.9418766,0.033541,6339, Foreign,
11-19-2022-23-38-45.065,3, 0.1650562,0.040349,15075, Foreign,
11-19-2022-23-38-45.170,3, 0.1844568,0.037688,15075, Foreign,
11-19-2022-23-38-44.864,3, 0.4980448,0.036589,15075, Foreign,
11-19-2022-23-38-45.375,3, 0.1584371,0.03499,15075, Foreign,
11-19-2022-23-38-44.763,3, 1.7133991,0.031455,15075, Foreign,
11-19-2022-23-38-44.240,3, 1.2181731,0.031816,6339, Foreign,
11-19-2022-23-38-44.965,3, 1.1240148,0.03463,15075, Foreign,
11-19-2022-23-38-45.577,3, 0.3803001,0.030089,15075, Foreign,
11-19-2022-23-38-45.781,3, 0.1373446,0.034102,15075, Foreign,
11-19-2022-23-38-45.679,3, 0.3621259,0.034622,15075, Foreign,
11-19-2022-23-38-44.556,3, 1.4815396,0.052866,6339, Foreign,
11-19-2022-23-38-45.989,3, 0.1481423,0.034942,15075, Foreign,
11-19-2022-23-38-46.191,3, 0.1247462,0.033575,15075, Foreign,
11-19-2022-23-38-45.886,3, 0.8133194,0.034748,15075, Foreign,
11-19-2022-23-38-46.292,3, 0.1259389,0.027552,15075, Foreign,
11-19-2022-23-38-46.090,3, 0.628989,0.035364,15075, Foreign,
11-19-2022-23-38-45.274,3, 0.9753503,0.030084,6339, Foreign,
11-19-2022-23-38-45.475,3, 0.8429034,0.034865,6339, Foreign,
11-19-2022-23-38-46.500,3, 0.2794705,0.034647,15075, Foreign,
11-19-2022-23-38-46.804,3, 0.2386467,0.033399,15075, Foreign,
11-19-2022-23-38-46.603,3, 0.6947506,0.036347,15075, Foreign,
11-19-2022-23-38-47.005,3, 0.129534,0.029699,15075, Foreign,
11-19-2022-23-38-46.904,3, 0.3008778,0.036018,15075, Foreign,
11-19-2022-23-38-46.705,3, 0.932459,0.034292,15075, Foreign,
