Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-38-38.989,1, 0.113192,0.033276,144445, SelfDown,
11-19-2022-23-38-39.099,1, 0.1385527,0.035224,1170432, SelfUp,
11-19-2022-23-38-39.205,1, 0.066338,0.035211,1170432, SelfUp,
11-19-2022-23-38-39.099,1, 0.3397112,0.036893,147604, SelfDown,
11-19-2022-23-38-39.205,1, 0.135217,0.036893,147604, SelfDown,
11-19-2022-23-38-39.307,1, 0.0654786,0.034882,1170432, SelfUp,
11-19-2022-23-38-39.307,1, 0.1986532,0.037137,149606, SelfDown,
11-19-2022-23-38-39.407,1, 0.1604236,0.03569,1170432, SelfUp,
11-19-2022-23-38-39.407,1, 0.267031,0.030627,150555, SelfDown,
11-19-2022-23-38-39.512,1, 0.0679146,0.033534,1170432, SelfUp,
11-19-2022-23-38-39.512,1, 0.0800832,0.031023,150557, SelfDown,
11-19-2022-23-38-39.615,1, 0.0629045,0.033966,1170432, SelfUp,
11-19-2022-23-38-39.715,1, 0.0665138,0.036808,1170432, SelfUp,
11-19-2022-23-38-39.615,1, 0.3526625,0.026661,152847, SelfDown,
11-19-2022-23-38-39.715,1, 0.154933,0.026661,152847, SelfDown,
11-19-2022-23-38-39.815,1, 0.0776858,0.035608,1170432, SelfUp,
11-19-2022-23-38-39.815,1, 0.1806084,0.027342,160914, SelfDown,
11-19-2022-23-38-39.916,1, 0.0919241,0.042048,1170432, SelfUp,
11-19-2022-23-38-39.916,1, 0.2091255,0.045579,162064, SelfDown,
11-19-2022-23-38-40.016,1, 0.0661536,0.037287,1170432, SelfUp,
11-19-2022-23-38-40.016,1, 0.2677836,0.035924,163161, SelfDown,
11-19-2022-23-38-40.121,1, 0.392322,0.038893,164222, SelfDown,
11-19-2022-23-38-40.229,1, 0.3863548,0.036397,165209, SelfDown,
11-19-2022-23-38-40.337,1, 0.3646408,0.027368,165698, SelfDown,
11-19-2022-23-38-40.438,1, 0.4772479,0.036248,166454, SelfDown,
11-19-2022-23-38-40.540,1, 0.6268998,0.033476,167082, SelfDown,
11-19-2022-23-38-40.640,1, 0.4269282,0.033476,167082, SelfDown,
11-19-2022-23-38-40.121,1, 1.5963538000000002,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.741,1, 0.4123268,0.035646,167720, SelfDown,
11-19-2022-23-38-40.337,1, 1.2366678,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.229,1, 1.452918,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.540,1, 0.830415,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.438,1, 1.0326983,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.640,1, 0.6304434,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.852,1, 0.2072841,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.741,1, 0.4277024,0.042997,1170432, SelfUp,
11-19-2022-23-38-40.852,1, 0.2806286,0.035119,167822, SelfDown,
11-19-2022-23-38-40.954,1, 0.152901,0.039137,1170432, SelfUp,
11-19-2022-23-38-40.954,1, 0.155954,0.034705,168412, SelfDown,
11-19-2022-23-38-41.055,1, 0.08535,0.039449,1170432, SelfUp,
11-19-2022-23-38-41.155,1, 0.0710452,0.039187,1170432, SelfUp,
11-19-2022-23-38-41.055,1, 0.380995,0.036827,168987, SelfDown,
