Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-23-59.871,1, 0,0.036832,130458, SelfDown,
11-19-2022-23-23-59.971,1, 0,0.036832,130458, SelfDown,
11-19-2022-23-24-00.279,1, 0,0.038942,1170432, SelfUp,
11-19-2022-23-24-00.072,1, 0,0.037638,130794, SelfDown,
11-19-2022-23-24-00.173,1, 0,0.037638,130794, SelfDown,
11-19-2022-23-24-00.389,1, 0,0.027738,1170432, SelfUp,
11-19-2022-23-24-00.498,1, 0,0.033543,1170432, SelfUp,
11-19-2022-23-24-00.604,1, 0,0.035078,1170432, SelfUp,
11-19-2022-23-24-00.804,1, 0,0.034668,1170432, SelfUp,
11-19-2022-23-24-00.704,1, 0,0.034668,1170432, SelfUp,
11-19-2022-23-24-00.905,1, 0,0.038614,1170432, SelfUp,
11-19-2022-23-24-01.012,1, 0,0.038444,1170432, SelfUp,
11-19-2022-23-24-00.279,1, 0,0.042197,131360, SelfDown,
11-19-2022-23-24-00.498,1, 0,0.038986,131393, SelfDown,
11-19-2022-23-24-00.604,1, 0,0.038986,131393, SelfDown,
11-19-2022-23-24-00.704,1, 0,0.038986,131393, SelfDown,
11-19-2022-23-24-01.113,1, 0,0.036185,1170432, SelfUp,
11-19-2022-23-24-00.389,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-00.804,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-01.012,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-00.905,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-01.113,1, 0,0.042371,131435, SelfDown,
11-19-2022-23-24-01.213,1, 0,0.037466,1170432, SelfUp,
11-19-2022-23-24-01.320,1, 0.0007037,0.034048,1170432, SelfUp,
11-19-2022-23-24-01.213,1, 0,0.036986,131578, SelfDown,
11-19-2022-23-24-01.320,1, 0.0007037,0.036212,131652, SelfDown,
11-19-2022-23-24-01.420,1, 0,0.035277,1170432, SelfUp,
11-19-2022-23-24-01.420,1, 0,0.034757,133765, SelfDown,
11-19-2022-23-24-01.521,1, 0,0.038211,134065, SelfDown,
11-19-2022-23-24-01.521,1, 0,0.035258,1170432, SelfUp,
11-19-2022-23-24-01.626,1, 0,0.035258,1170432, SelfUp,
11-19-2022-23-24-01.626,1, 0,0.037656,134710, SelfDown,
11-19-2022-23-24-01.726,1, 0,0.037656,134710, SelfDown,
11-19-2022-23-24-01.830,1, 0,0.035809,143193, SelfDown,
11-19-2022-23-24-01.726,1, 0,0.051178,1170432, SelfUp,
11-19-2022-23-24-01.830,1, 0,0.046079,1170432, SelfUp,
11-19-2022-23-24-02.035,1, 0,0.046079,1170432, SelfUp,
11-19-2022-23-24-01.932,1, 0,0.046079,1170432, SelfUp,
11-19-2022-23-24-02.137,1, 0,0.036524,1170432, SelfUp,
11-19-2022-23-24-01.932,1, 0,0.035753,144871, SelfDown,
11-19-2022-23-24-02.035,1, 0,0.035753,144871, SelfDown,
11-19-2022-23-24-02.137,1, 0,0.035753,144871, SelfDown,
11-19-2022-23-24-02.238,1, 0,0.036013,147307, SelfDown,
11-19-2022-23-24-02.342,1, 0,0.036013,147307, SelfDown,
11-19-2022-23-24-02.238,1, 0,0.040497,1170432, SelfUp,
11-19-2022-23-24-02.342,1, 0,0.039286,1170432, SelfUp,
11-19-2022-23-24-02.442,1, 0,0.039286,1170432, SelfUp,
11-19-2022-23-24-02.543,1, 0,0.039286,1170432, SelfUp,
11-19-2022-23-24-02.442,1, 0,0.035837,153607, SelfDown,
11-19-2022-23-24-02.543,1, 0,0.03718,159650, SelfDown,
11-19-2022-23-24-02.646,1, 0.0009998,0.043829,1170432, SelfUp,
11-19-2022-23-24-02.746,1, 0,0.043829,1170432, SelfUp,
11-19-2022-23-24-02.848,1, 0,0.040292,1170432, SelfUp,
11-19-2022-23-24-02.646,1, 0.0009998,0.037765,159919, SelfDown,
11-19-2022-23-24-02.746,1, 0,0.037765,159919, SelfDown,
11-19-2022-23-24-02.951,1, 0,0.035963,1170432, SelfUp,
11-19-2022-23-24-02.848,1, 0,0.034972,163504, SelfDown,
11-19-2022-23-24-03.052,1, 0,0.032776,1170432, SelfUp,
11-19-2022-23-24-02.951,1, 0,0.032027,178541, SelfDown,
11-19-2022-23-24-03.152,1, 0,0.036057,1170432, SelfUp,
11-19-2022-23-24-03.052,1, 0,0.03517,179478, SelfDown,
11-19-2022-23-24-03.254,1, 0,0.037691,1170432, SelfUp,
11-19-2022-23-24-03.152,1, 0,0.038019,179950, SelfDown,
11-19-2022-23-24-03.254,1, 0,0.034352,180154, SelfDown,
11-19-2022-23-24-03.355,1, 0,0.033746,182024, SelfDown,
11-19-2022-23-24-03.457,1, 0,0.03465,184589, SelfDown,
11-19-2022-23-24-03.355,1, 0,0.037107,1170432, SelfUp,
11-19-2022-23-24-03.561,1, 0,0.040596,184944, SelfDown,
11-19-2022-23-24-03.667,1, 0,0.040596,184944, SelfDown,
11-19-2022-23-24-03.767,1, 0,0.039127,184948, SelfDown,
11-19-2022-23-24-03.561,1, 0,0.035054,1170432, SelfUp,
11-19-2022-23-24-03.667,1, 0,0.035054,1170432, SelfUp,
11-19-2022-23-24-03.457,1, 0,0.035054,1170432, SelfUp,
11-19-2022-23-24-03.767,1, 0,0.034937,1170432, SelfUp,
11-19-2022-23-24-03.869,1, 0,0.034937,1170432, SelfUp,
11-19-2022-23-24-03.970,1, 0,0.034937,1170432, SelfUp,
11-19-2022-23-24-04.071,1, 0,0.035364,1170432, SelfUp,
11-19-2022-23-24-03.869,1, 0,0.035507,189805, SelfDown,
11-19-2022-23-24-03.970,1, 0,0.035507,189805, SelfDown,
11-19-2022-23-24-04.071,1, 0,0.035507,189805, SelfDown,
11-19-2022-23-24-04.175,1, 0,0.03327,1170432, SelfUp,
11-19-2022-23-24-04.175,1, 0,0.034448,198415, SelfDown,
11-19-2022-23-24-04.275,1, 0,0.034761,1170432, SelfUp,
11-19-2022-23-24-04.383,1, 0,0.037432,1170432, SelfUp,
11-19-2022-23-24-04.275,1, 0,0.033455,202478, SelfDown,
11-19-2022-23-24-04.483,1, 0,0.034807,1170432, SelfUp,
11-19-2022-23-24-04.383,1, 0,0.032474,210526, SelfDown,
11-19-2022-23-24-04.585,1, 0,0.036081,1170432, SelfUp,
11-19-2022-23-24-04.483,1, 0,0.034596,212967, SelfDown,
11-19-2022-23-24-04.585,1, 0,0.033707,213089, SelfDown,
11-19-2022-23-24-04.689,1, 0,0.0326,1170432, SelfUp,
11-19-2022-23-24-04.689,1, 0,0.035336,213130, SelfDown,
11-19-2022-23-24-04.795,1, 0,0.033064,1170432, SelfUp,
11-19-2022-23-24-04.898,1, 0,0.034315,213180, SelfDown,
11-19-2022-23-24-04.795,1, 0,0.034315,213180, SelfDown,
11-19-2022-23-24-04.999,1, 0,0.036598,213263, SelfDown,
11-19-2022-23-24-05.102,1, 0,0.036598,213263, SelfDown,
11-19-2022-23-24-05.407,1, 0,0.041606,213334, SelfDown,
11-19-2022-23-24-05.305,1, 0,0.041606,213334, SelfDown,
11-19-2022-23-24-05.205,1, 0,0.037149,213350, SelfDown,
11-19-2022-23-24-05.514,1, 0,0.037149,213350, SelfDown,
11-19-2022-23-24-05.615,1, 0,0.037149,213350, SelfDown,
11-19-2022-23-24-05.715,1, 0,0.036183,216411, SelfDown,
11-19-2022-23-24-05.818,1, 0,0.036183,216411, SelfDown,
11-19-2022-23-24-06.018,1, 0,0.041087,232305, SelfDown,
11-19-2022-23-24-05.918,1, 0,0.041087,232305, SelfDown,
11-19-2022-23-24-06.118,1, 0,0.040638,233159, SelfDown,
11-19-2022-23-24-06.323,1, 0,0.040638,233159, SelfDown,
11-19-2022-23-24-04.898,1, 0,0.041922,1170432, SelfUp,
11-19-2022-23-24-06.423,1, 0,0.040119,233419, SelfDown,
11-19-2022-23-24-06.523,1, 0,0.040119,233419, SelfDown,
11-19-2022-23-24-05.103,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-04.999,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.205,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.305,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.407,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.514,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.615,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.715,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.818,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-05.918,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.018,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.118,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.219,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.323,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.423,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.523,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.624,1, 0,0.041365,1170432, SelfUp,
11-19-2022-23-24-06.724,1, 0,0.040867,1170432, SelfUp,
11-19-2022-23-24-06.830,1, 0,0.041795,1170432, SelfUp,
11-19-2022-23-24-06.219,1, 0,0.039796,234939, SelfDown,
11-19-2022-23-24-06.624,1, 0,0.039796,234939, SelfDown,
11-19-2022-23-24-06.930,1, 0,0.039965,1170432, SelfUp,
11-19-2022-23-24-06.724,1, 0.0001318,0.039912,235730, SelfDown,
11-19-2022-23-24-06.830,1, 0,0.039912,235730, SelfDown,
11-19-2022-23-24-07.031,1, 0,0.036181,1170432, SelfUp,
11-19-2022-23-24-06.930,1, 0,0.039597,237544, SelfDown,
11-19-2022-23-24-07.131,1, 0,0.040193,1170432, SelfUp,
11-19-2022-23-24-07.031,1, 0,0.039348,239134, SelfDown,
11-19-2022-23-24-07.131,1, 0,0.039565,239701, SelfDown,
11-19-2022-23-24-07.239,1, 0.0005434,0.0397,1170432, SelfUp,
11-19-2022-23-24-07.339,1, 0,0.040157,1170432, SelfUp,
11-19-2022-23-24-07.239,1, 0.0005434,0.04273,246930, SelfDown,
11-19-2022-23-24-07.457,1, 0,0.036662,1170432, SelfUp,
11-19-2022-23-24-07.558,1, 0,0.025824,1170432, SelfUp,
11-19-2022-23-24-07.339,1, 0,0.031525,251628, SelfDown,
11-19-2022-23-24-07.457,1, 0,0.030259,252317, SelfDown,
11-19-2022-23-24-07.658,1, 0,0.029126,1170432, SelfUp,
11-19-2022-23-24-07.558,1, 0,0.030782,254450, SelfDown,
11-19-2022-23-24-07.658,1, 0,0.032804,258089, SelfDown,
11-19-2022-23-24-07.758,1, 0,0.034778,1170432, SelfUp,
11-19-2022-23-24-07.858,1, 0,0.038826,1170432, SelfUp,
11-19-2022-23-24-07.758,1, 0,0.03696,262829, SelfDown,
11-19-2022-23-24-07.958,1, 0,0.040743,1170432, SelfUp,
11-19-2022-23-24-08.058,1, 0,0.040672,1170432, SelfUp,
11-19-2022-23-24-07.858,1, 0,0.039839,267975, SelfDown,
11-19-2022-23-24-07.958,1, 0,0.040563,270667, SelfDown,
11-19-2022-23-24-08.159,1, 0,0.039947,1170432, SelfUp,
11-19-2022-23-24-08.058,1, 0,0.03937,274357, SelfDown,
11-19-2022-23-24-08.259,1, 0,0.039507,1170432, SelfUp,
11-19-2022-23-24-08.159,1, 0,0.039108,276281, SelfDown,
11-19-2022-23-24-08.360,1, 0,0.038999,1170432, SelfUp,
11-19-2022-23-24-08.259,1, 0,0.041555,281288, SelfDown,
11-19-2022-23-24-08.461,1, 0,0.04246,1170432, SelfUp,
11-19-2022-23-24-08.360,1, 0,0.043662,285480, SelfDown,
11-19-2022-23-24-08.561,1, 0,0.041645,1170432, SelfUp,
11-19-2022-23-24-08.461,1, 0,0.043026,286559, SelfDown,
11-19-2022-23-24-08.662,1, 0,0.03985,1170432, SelfUp,
11-19-2022-23-24-08.561,1, 0,0.041457,295458, SelfDown,
11-19-2022-23-24-08.763,1, 0,0.047474,1170432, SelfUp,
11-19-2022-23-24-08.864,1, 0,0.044043,1170432, SelfUp,
11-19-2022-23-24-08.763,1, 0,0.041823,306936, SelfDown,
11-19-2022-23-24-08.969,1, 0,0.041873,1170432, SelfUp,
11-19-2022-23-24-08.662,1, 0,0.040491,309389, SelfDown,
11-19-2022-23-24-09.071,1, 0,0.039665,1170432, SelfUp,
11-19-2022-23-24-08.969,1, 0,0.040924,316927, SelfDown,
11-19-2022-23-24-09.171,1, 0,0.038906,1170432, SelfUp,
11-19-2022-23-24-09.272,1, 0,0.040043,1170432, SelfUp,
11-19-2022-23-24-08.864,1, 0,0.03826,325864, SelfDown,
11-19-2022-23-24-09.071,1, 0,0.03826,325864, SelfDown,
11-19-2022-23-24-09.372,1, 0,0.040888,1170432, SelfUp,
11-19-2022-23-24-09.473,1, 0,0.038288,1170432, SelfUp,
11-19-2022-23-24-09.171,1, 0,0.038211,335256, SelfDown,
11-19-2022-23-24-09.272,1, 0,0.038211,335256, SelfDown,
11-19-2022-23-24-09.581,1, 0,0.035729,1170432, SelfUp,
11-19-2022-23-24-09.372,1, 0,0.038362,340688, SelfDown,
11-19-2022-23-24-09.473,1, 0,0.039068,342096, SelfDown,
11-19-2022-23-24-09.681,1, 0,0.038935,1170432, SelfUp,
11-19-2022-23-24-09.581,1, 0,0.039136,346412, SelfDown,
11-19-2022-23-24-09.883,1, 0,0.047268,1170432, SelfUp,
11-19-2022-23-24-09.783,1, 0,0.047268,1170432, SelfUp,
11-19-2022-23-24-09.986,1, 0,0.043295,1170432, SelfUp,
11-19-2022-23-24-09.681,1, 0,0.039646,354060, SelfDown,
11-19-2022-23-24-09.783,1, 0,0.039646,354060, SelfDown,
11-19-2022-23-24-10.086,1, 0,0.041307,1170432, SelfUp,
11-19-2022-23-24-10.188,1, 0,0.036125,1170432, SelfUp,
11-19-2022-23-24-09.986,1, 0,0.036837,366944, SelfDown,
11-19-2022-23-24-09.883,1, 0,0.036837,366944, SelfDown,
11-19-2022-23-24-10.289,1, 0,0.036827,819302, SelfUp,
11-19-2022-23-24-10.391,1, 0,0.03699,819373, SelfUp,
11-19-2022-23-24-10.188,1, 0,0.040427,260439, SelfDown,
11-19-2022-23-24-10.086,1, 0,0.040427,260439, SelfDown,
11-19-2022-23-24-10.492,1, 0,0.039118,820889, SelfUp,
11-19-2022-23-24-10.289,1, 0,0.04044,260795, SelfDown,
11-19-2022-23-24-10.593,1, 0,0.03778,822356, SelfUp,
11-19-2022-23-24-10.391,1, 0,0.040943,261034, SelfDown,
11-19-2022-23-24-10.697,1, 0,0.036423,823379, SelfUp,
11-19-2022-23-24-10.492,1, 0,0.039211,261449, SelfDown,
11-19-2022-23-24-10.798,1, 0,0.035043,825144, SelfUp,
11-19-2022-23-24-10.697,1, 0,0.034034,262560, SelfDown,
11-19-2022-23-24-10.898,1, 0,0.036862,827401, SelfUp,
11-19-2022-23-24-10.593,1, 0,0.036509,262928, SelfDown,
11-19-2022-23-24-10.798,1, 0,0.034247,263875, SelfDown,
11-19-2022-23-24-10.998,1, 0,0.032487,829853, SelfUp,
11-19-2022-23-24-10.898,1, 0,0.034613,264270, SelfDown,
11-19-2022-23-24-11.105,1, 0,0.042865,832404, SelfUp,
11-19-2022-23-24-10.998,1, 0,0.039228,265561, SelfDown,
11-19-2022-23-24-11.206,1, 0,0.036889,834214, SelfUp,
11-19-2022-23-24-11.105,1, 0,0.036693,266742, SelfDown,
11-19-2022-23-24-11.308,1, 0,0.036509,834599, SelfUp,
11-19-2022-23-24-11.206,1, 0,0.037208,268790, SelfDown,
11-19-2022-23-24-11.308,1, 0.0001123,0.035138,269625, SelfDown,
11-19-2022-23-24-11.410,1, 0,0.035138,269625, SelfDown,
11-19-2022-23-24-11.511,1, 0,0.033912,271074, SelfDown,
11-19-2022-23-24-11.611,1, 0,0.029552,272575, SelfDown,
11-19-2022-23-24-11.715,1, 0,0.029552,272575, SelfDown,
11-19-2022-23-24-11.815,1, 0,0.029803,274087, SelfDown,
11-19-2022-23-24-11.916,1, 0,0.033434,276885, SelfDown,
11-19-2022-23-24-12.017,1, 0,0.035578,278437, SelfDown,
11-19-2022-23-24-11.410,1, 0,0.03417,837105, SelfUp,
11-19-2022-23-24-11.511,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-11.715,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-11.611,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-11.815,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-11.916,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-12.017,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-12.117,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-12.117,1, 0,0.038328,195559, SelfDown,
11-19-2022-23-24-12.217,1, 0,0.044059,195563, SelfDown,
11-19-2022-23-24-12.318,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-12.217,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-12.418,1, 0,0.03417,585973, SelfUp,
11-19-2022-23-24-12.518,1, 6.47e-05,0.03417,585973, SelfUp,
11-19-2022-23-24-12.418,1, 0,0.039081,195572, SelfDown,
11-19-2022-23-24-12.318,1, 0,0.039081,195572, SelfDown,
11-19-2022-23-24-12.620,1, 0,0.039676,585980, SelfUp,
11-19-2022-23-24-12.720,1, 0,0.042884,585992, SelfUp,
11-19-2022-23-24-12.518,1, 0,0.040128,195576, SelfDown,
11-19-2022-23-24-12.825,1, 0,0.040304,585996, SelfUp,
11-19-2022-23-24-12.926,1, 0,0.044387,586002, SelfUp,
11-19-2022-23-24-12.620,1, 0,0.042533,195631, SelfDown,
11-19-2022-23-24-12.720,1, 0,0.042533,195631, SelfDown,
11-19-2022-23-24-13.027,1, 0,0.039082,586019, SelfUp,
11-19-2022-23-24-12.825,1, 0,0.041165,195741, SelfDown,
11-19-2022-23-24-12.926,1, 0,0.041165,195741, SelfDown,
11-19-2022-23-24-13.128,1, 0,0.034967,586028, SelfUp,
11-19-2022-23-24-13.228,1, 0,0.037157,586044, SelfUp,
11-19-2022-23-24-13.027,1, 0,0.036999,196176, SelfDown,
11-19-2022-23-24-13.128,1, 0,0.036999,196176, SelfDown,
11-19-2022-23-24-13.328,1, 0,0.036858,586051, SelfUp,
11-19-2022-23-24-13.429,1, 0,0.038679,586063, SelfUp,
11-19-2022-23-24-13.328,1, 0,0.03797,196450, SelfDown,
11-19-2022-23-24-13.228,1, 0,0.037254,196666, SelfDown,
11-19-2022-23-24-13.529,1, 0,0.038972,586100, SelfUp,
11-19-2022-23-24-13.630,1, 0,0.040651,586116, SelfUp,
11-19-2022-23-24-13.730,1, 0,0.03833,586452, SelfUp,
11-19-2022-23-24-13.630,1, 0,0.039589,197312, SelfDown,
11-19-2022-23-24-13.529,1, 0,0.039083,197462, SelfDown,
11-19-2022-23-24-13.830,1, 0,0.0362,586756, SelfUp,
11-19-2022-23-24-13.429,1, 0,0.038569,197611, SelfDown,
11-19-2022-23-24-13.931,1, 0,0.039347,587621, SelfUp,
11-19-2022-23-24-13.830,1, 0,0.039105,198246, SelfDown,
11-19-2022-23-24-14.031,1, 0,0.03653,588367, SelfUp,
11-19-2022-23-24-13.730,1, 0,0.039234,198414, SelfDown,
11-19-2022-23-24-14.131,1, 0,0.035711,588896, SelfUp,
11-19-2022-23-24-13.931,1, 0,0.037442,199445, SelfDown,
11-19-2022-23-24-14.231,1, 0,0.037032,589446, SelfUp,
11-19-2022-23-24-14.031,1, 0,0.038365,199968, SelfDown,
11-19-2022-23-24-14.131,1, 0,0.037957,200144, SelfDown,
11-19-2022-23-24-14.332,1, 0,0.045481,590876, SelfUp,
11-19-2022-23-24-14.433,1, 0,0.046755,591276, SelfUp,
11-19-2022-23-24-14.332,1, 0,0.045353,201919, SelfDown,
11-19-2022-23-24-14.231,1, 0,0.045905,202100, SelfDown,
11-19-2022-23-24-14.534,1, 0,0.046459,592426, SelfUp,
11-19-2022-23-24-14.635,1, 0,0.038531,593876, SelfUp,
11-19-2022-23-24-14.433,1, 0,0.041405,203562, SelfDown,
11-19-2022-23-24-14.534,1, 0,0.041405,203562, SelfDown,
11-19-2022-23-24-14.735,1, 0,0.036369,595420, SelfUp,
11-19-2022-23-24-14.635,1, 0,0.03931,204300, SelfDown,
11-19-2022-23-24-14.835,1, 0,0.037945,597156, SelfUp,
11-19-2022-23-24-14.937,1, 0,0.037364,599493, SelfUp,
11-19-2022-23-24-14.735,1, 0,0.039208,205423, SelfDown,
11-19-2022-23-24-15.036,1, 0,0.039471,599632, SelfUp,
11-19-2022-23-24-14.835,1, 0,0.039475,205613, SelfDown,
