Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-19-2022-23-24-28.728,3, 0.2313589,0.038255,15075, Foreign,
11-19-2022-23-24-29.558,3, 0.1240843,0.040001,15075, Foreign,
11-19-2022-23-24-29.658,3, 0.0937068,0.030323,15075, Foreign,
11-19-2022-23-24-29.764,3, 0.0738658,0.030153,15075, Foreign,
11-19-2022-23-24-29.970,3, 0.0706764,0.033953,15075, Foreign,
11-19-2022-23-24-30.070,3, 0.0786782,0.039977,15075, Foreign,
11-19-2022-23-24-30.388,3, 0.0801154,0.032545,15075, Foreign,
11-19-2022-23-24-30.493,3, 0.0896141,0.038449,15075, Foreign,
11-19-2022-23-24-30.170,3, 0.4838797,0.036542,15075, Foreign,
11-19-2022-23-24-30.693,3, 0.227363,0.035468,15075, Foreign,
11-19-2022-23-24-29.869,3, 0.9362299,0.036633,15075, Foreign,
11-19-2022-23-24-31.000,3, 0.0861583,0.03851,15075, Foreign,
11-19-2022-23-24-31.101,3, 0.0688142,0.034478,15075, Foreign,
11-19-2022-23-24-30.795,3, 0.2368967,0.038496,15075, Foreign,
11-19-2022-23-24-30.278,3, 0.7709248,0.03098,6339, Foreign,
11-19-2022-23-24-31.201,3, 0.2248877,0.045295,15075, Foreign,
11-19-2022-23-24-31.302,3, 0.2222399,0.036893,15075, Foreign,
11-19-2022-23-24-31.405,3, 0.2309225,0.030947,15075, Foreign,
11-19-2022-23-24-31.606,3, 0.0692221,0.04083,15075, Foreign,
11-19-2022-23-24-31.706,3, 0.0949661,0.04365,15075, Foreign,
11-19-2022-23-24-31.807,3, 0.0851947,0.038337,15075, Foreign,
11-19-2022-23-24-32.312,3, 0.0789547,0.036209,15075, Foreign,
11-19-2022-23-24-32.112,3, 0.3670319,0.039625,15075, Foreign,
11-19-2022-23-24-30.593,3, 0.9571472,0.038183,15075, Foreign,
11-19-2022-23-24-32.514,3, 0.0797501,0.03544,15075, Foreign,
11-19-2022-23-24-31.505,3, 0.7916342,0.037685,6339, Foreign,
11-19-2022-23-24-32.009,3, 0.4333252,0.040964,15075, Foreign,
11-19-2022-23-24-32.732,3, 0.0849485,0.050871,15075, Foreign,
11-19-2022-23-24-31.907,3, 0.7714406,0.033163,6339, Foreign,
11-19-2022-23-24-32.834,3, 0.2426885,0.045373,15075, Foreign,
11-19-2022-23-24-33.040,3, 0.0746841,0.037427,15075, Foreign,
11-19-2022-23-24-33.141,3, 0.0842284,0.040164,15075, Foreign,
11-19-2022-23-24-32.212,3, 0.5269341,0.035318,15075, Foreign,
11-19-2022-23-24-33.249,3, 0.0722409,0.039269,15075, Foreign,
11-19-2022-23-24-32.940,3, 0.4283318,0.039389,15075, Foreign,
11-19-2022-23-24-33.349,3, 0.0775459,0.031637,15075, Foreign,
11-19-2022-23-24-32.414,3, 0.7789083,0.035699,6339, Foreign,
11-19-2022-23-24-33.453,3, 0.0674878,0.032626,15075, Foreign,
11-19-2022-23-24-30.898,3, 2.3473921,0.036137,6339, Foreign,
11-19-2022-23-24-33.555,3, 0.0740231,0.037455,15075, Foreign,
11-19-2022-23-24-32.625,3, 0.4966152,0.05218,15075, Foreign,
11-19-2022-23-24-33.757,3, 0.0742704,0.036719,15075, Foreign,
11-19-2022-23-24-33.859,3, 0.0595004,0.03214,15075, Foreign,
11-19-2022-23-24-33.655,3, 0.0770814,0.037852,15075, Foreign,
11-19-2022-23-24-33.965,3, 0.0864272,0.036955,15075, Foreign,
11-19-2022-23-24-34.066,3, 0.0698381,0.03517,15075, Foreign,
11-19-2022-23-24-34.166,3, 0.1069218,0.052578,15075, Foreign,
11-19-2022-23-24-34.267,3, 0.0936769,0.049235,15075, Foreign,
11-19-2022-23-24-34.467,3, 0.0876557,0.041414,15075, Foreign,
11-19-2022-23-24-34.367,3, 0.0776215,0.034645,15075, Foreign,
11-19-2022-23-24-34.873,3, 0.1262754,0.038587,15075, Foreign,
11-19-2022-23-24-35.177,3, 0.07601,0.036559,15075, Foreign,
11-19-2022-23-24-35.278,3, 0.071934,0.037028,15075, Foreign,
11-19-2022-23-24-34.974,3, 0.3682141,0.040509,15075, Foreign,
11-19-2022-23-24-35.484,3, 0.0825884,0.038439,15075, Foreign,
11-19-2022-23-24-34.669,3, 0.1100076,0.036516,15075, Foreign,
11-19-2022-23-24-34.568,3, 0.773732,0.033786,6339, Foreign,
11-19-2022-23-24-34.770,3, 0.9418838,0.038483,15075, Foreign,
11-19-2022-23-24-35.589,3, 0.0733107,0.036916,15075, Foreign,
11-19-2022-23-24-35.382,3, 0.1223244,0.038391,15075, Foreign,
11-19-2022-23-24-35.995,3, 0.0629547,0.036866,15075, Foreign,
11-19-2022-23-24-35.892,3, 0.0724129,0.043685,15075, Foreign,
11-19-2022-23-24-35.074,3, 0.7950201,0.037461,6339, Foreign,
11-19-2022-23-24-36.096,3, 0.0757081,0.035842,15075, Foreign,
11-19-2022-23-24-35.791,3, 0.0862552,0.047868,15075, Foreign,
11-19-2022-23-24-36.199,3, 0.069855,0.028903,15075, Foreign,
