Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-19-2022-23-23-57.089,1.4915371843382113e+06, 
11-19-2022-23-23-58.089,2.686616799333929e+06, 
11-19-2022-23-23-59.089,3.931986206209685e+06, 
11-19-2022-23-24-00.089,3.178353609758283e+06, 
11-19-2022-23-24-01.090,4.3562168096833965e+06, 
11-19-2022-23-24-02.098,4.516973389660893e+06, 
11-19-2022-23-24-03.104,4.5921354543833565e+06, 
11-19-2022-23-24-04.106,6.164534469487931e+06, 
11-19-2022-23-24-05.107,4.470118191246094e+06, 
11-19-2022-23-24-06.109,5.020070749642e+06, 
11-19-2022-23-24-07.110,7.294631885963079e+06, 
11-19-2022-23-24-08.111,1.0760938119963255e+07, 
11-19-2022-23-24-09.111,1.2052568789440185e+07, 
11-19-2022-23-24-10.112,9.902595651070647e+06, 
11-19-2022-23-24-11.114,1.3051333510394681e+07, 
11-19-2022-23-24-12.114,1.0319241125924772e+07, 
11-19-2022-23-24-13.117,1.0786762179776974e+07, 
11-19-2022-23-24-14.118,1.1813276450239278e+07, 
