Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-19-2022-23-23-57.089,1.4915371843382113e+06, 0, Upload, 
11-19-2022-23-23-57.089,4.7054381257037856e+07, 0, Download, 
11-19-2022-23-23-58.089,1.9214495022015557e+07, 0, Download, 
11-19-2022-23-23-58.089,4.083711607758043e+07, 1, Download, 
11-19-2022-23-23-58.089,1.572653736195471e+06, 0, Upload, 
11-19-2022-23-23-58.089,1.1139630631384584e+06, 1, Upload, 
11-19-2022-23-23-59.089,1.37619517217339e+06, 0, Upload, 
11-19-2022-23-23-59.089,1.6219443100614953e+06, 1, Upload, 
11-19-2022-23-23-59.089,933846.7239748003, 2, Upload, 
11-19-2022-23-23-59.089,1.5988997286319943e+07, 0, Download, 
11-19-2022-23-23-59.089,4.7491804862225085e+07, 1, Download, 
11-19-2022-23-23-59.089,1.7693937927943585e+06, 2, Download, 
11-19-2022-23-24-00.089,9.89484471095695e+06, 0, Download, 
11-19-2022-23-24-00.089,3.63850739486871e+07, 1, Download, 
11-19-2022-23-24-00.089,2.670184375739967e+06, 2, Download, 
11-19-2022-23-24-00.089,1.0345384526773201e+07, 3, Download, 
11-19-2022-23-24-00.089,1.2942780163448679e+06, 0, Upload, 
11-19-2022-23-24-00.089,229365.7244155462, 1, Upload, 
11-19-2022-23-24-00.089,671713.9072169567, 2, Upload, 
11-19-2022-23-24-00.089,982995.9617809122, 3, Upload, 
11-19-2022-23-24-01.090,1.1136193348062816e+06, 0, Upload, 
11-19-2022-23-24-01.090,917098.2757228202, 1, Upload, 
11-19-2022-23-24-01.090,442172.38293778826, 2, Upload, 
11-19-2022-23-24-01.090,1.4084009234314738e+06, 3, Upload, 
11-19-2022-23-24-01.090,474925.8927850319, 4, Upload, 
11-19-2022-23-24-01.090,3.3405701317737033e+06, 0, Download, 
11-19-2022-23-24-01.090,2.4857898865541883e+07, 1, Download, 
11-19-2022-23-24-01.090,3.07861402115704e+06, 2, Download, 
11-19-2022-23-24-01.090,3.781162413748158e+07, 3, Download, 
11-19-2022-23-24-01.090,4.306798672267389e+06, 4, Download, 
11-19-2022-23-24-02.098,1.1732499407099158e+07, 0, Download, 
11-19-2022-23-24-02.098,1.6217442403811943e+07, 1, Download, 
11-19-2022-23-24-02.098,2.453771340338771e+06, 2, Download, 
11-19-2022-23-24-02.098,2.475653175374564e+07, 3, Download, 
11-19-2022-23-24-02.098,6.646266182770971e+06, 4, Download, 
11-19-2022-23-24-02.098,991316.3212037707, 5, Download, 
11-19-2022-23-24-02.098,909893.9202194604, 0, Upload, 
11-19-2022-23-24-02.098,373706.43151870696, 1, Upload, 
11-19-2022-23-24-02.098,649924.228728186, 2, Upload, 
11-19-2022-23-24-02.098,422450.7486733209, 3, Upload, 
11-19-2022-23-24-02.098,828653.3916284372, 4, Upload, 
11-19-2022-23-24-02.098,1.3323446688927813e+06, 5, Upload, 
11-19-2022-23-24-03.104,863060.9187316238, 0, Upload, 
11-19-2022-23-24-03.104,537377.5531725205, 1, Upload, 
11-19-2022-23-24-03.104,569945.8897284308, 2, Upload, 
11-19-2022-23-24-03.104,944481.7601213997, 3, Upload, 
11-19-2022-23-24-03.104,781640.0773418479, 4, Upload, 
11-19-2022-23-24-03.104,781640.0773418479, 5, Upload, 
11-19-2022-23-24-03.104,113989.17794568617, 6, Upload, 
11-19-2022-23-24-03.105,1.597287075573146e+07, 0, Download, 
11-19-2022-23-24-03.105,1.3581802294520408e+07, 1, Download, 
11-19-2022-23-24-03.105,2.1308720351093216e+06, 2, Download, 
11-19-2022-23-24-03.105,1.9892870223567456e+07, 3, Download, 
11-19-2022-23-24-03.105,5.904399318393226e+06, 4, Download, 
11-19-2022-23-24-03.105,2.0006665949833812e+06, 5, Download, 
11-19-2022-23-24-03.105,4.197305067320687e+06, 6, Download, 
11-19-2022-23-24-04.106,1.917997713268298e+07, 0, Download, 
11-19-2022-23-24-04.106,1.1586573452615246e+07, 1, Download, 
11-19-2022-23-24-04.106,1.9308963229089424e+06, 2, Download, 
11-19-2022-23-24-04.106,1.3467753535172733e+07, 3, Download, 
11-19-2022-23-24-04.106,7.822280857646969e+06, 4, Download, 
11-19-2022-23-24-04.106,1.931112077121743e+06, 5, Download, 
11-19-2022-23-24-04.106,1.40732717288465e+07, 6, Download, 
11-19-2022-23-24-04.106,670979.6200168768, 7, Download, 
11-19-2022-23-24-04.106,555926.4131211791, 0, Upload, 
