Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-19-2022-23-23-57.089,4.7054381257037856e+07, 
11-19-2022-23-23-58.089,6.005161109959599e+07, 
11-19-2022-23-23-59.089,6.525019594133939e+07, 
11-19-2022-23-24-00.089,5.929548756215722e+07, 
11-19-2022-23-24-01.090,7.33955058282216e+07, 
11-19-2022-23-24-02.098,6.279782740897025e+07, 
11-19-2022-23-24-03.105,6.368078628962594e+07, 
11-19-2022-23-24-04.106,7.0662844727012e+07, 
11-19-2022-23-24-05.106,7.053682149942565e+07, 
11-19-2022-23-24-06.109,6.28218937961952e+07, 
11-19-2022-23-24-07.110,7.045536843847509e+07, 
11-19-2022-23-24-08.111,6.403754511220656e+07, 
11-19-2022-23-24-09.111,6.510561094106321e+07, 
11-19-2022-23-24-10.112,6.852177943465172e+07, 
11-19-2022-23-24-11.114,7.206043404776144e+07, 
11-19-2022-23-24-12.114,6.928323440642808e+07, 
11-19-2022-23-24-13.117,5.4011363096789025e+07, 
11-19-2022-23-24-14.118,6.94002975342884e+07, 
