Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-28-2022-14-49-40.932,1.269678065716897e+07, 40, 
11-28-2022-14-49-41.932,1.3152838876736024e+07, 40, 
11-28-2022-14-49-42.933,1.3134245409275185e+07, 40, 
11-28-2022-14-49-43.933,1.2155977402567117e+07, 40, 
11-28-2022-14-49-44.933,1.1434515783207146e+07, 40, 
11-28-2022-14-49-45.933,1.3809204248508478e+07, 40, 
11-28-2022-14-49-46.934,1.1841170247050913e+07, 40, 
11-28-2022-14-49-47.934,1.113697036484206e+07, 40, 
11-28-2022-14-49-48.934,1.24305123852244e+07, 40, 
11-28-2022-14-49-49.935,1.211971085414544e+07, 40, 
11-28-2022-14-49-50.947,1.143054329920441e+07, 40, 
11-28-2022-14-49-51.948,1.3167017997241318e+07, 40, 
11-28-2022-14-49-52.948,1.2377121564242357e+07, 40, 
