Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-28-2022-14-49-40.936,4.026075191168448e+07, 40, 
11-28-2022-14-49-41.936,6.565403927010245e+07, 40, 
11-28-2022-14-49-42.937,6.791374905852756e+07, 40, 
11-28-2022-14-49-43.936,6.526627745305127e+07, 40, 
11-28-2022-14-49-44.937,6.70622528186323e+07, 40, 
11-28-2022-14-49-45.938,6.720446308100219e+07, 40, 
11-28-2022-14-49-46.938,6.780968617273714e+07, 40, 
11-28-2022-14-49-47.939,6.1091859515034124e+07, 40, 
11-28-2022-14-49-48.939,6.899574141912103e+07, 40, 
11-28-2022-14-49-49.939,6.793307123028214e+07, 40, 
11-28-2022-14-49-50.947,4.932383441848981e+07, 40, 
11-28-2022-14-49-51.947,7.05531767967537e+07, 40, 
11-28-2022-14-49-52.948,6.419499446617861e+07, 40, 
