Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-14-49-47.689,3, 0.8288155,0.042636,6339, Foreign,
11-28-2022-14-49-48.701,3, 0.1196404,0.039643,15075, Foreign,
11-28-2022-14-49-48.801,3, 0.2550656,0.040968,15075, Foreign,
11-28-2022-14-49-48.494,3, 0.5911575,0.050103,15075, Foreign,
11-28-2022-14-49-49.201,3, 0.1100567,0.034343,15075, Foreign,
11-28-2022-14-49-48.192,3, 0.8704751,0.040264,6339, Foreign,
11-28-2022-14-49-49.302,3, 0.1374745,0.04059,15075, Foreign,
11-28-2022-14-49-47.790,3, 1.4024284,0.044681,6339, Foreign,
11-28-2022-14-49-49.402,3, 0.1627446,0.053122,15075, Foreign,
11-28-2022-14-49-49.502,3, 0.1635736,0.054411,15075, Foreign,
11-28-2022-14-49-49.603,3, 0.1521694,0.04949,15075, Foreign,
11-28-2022-14-49-48.901,3, 0.8847918,0.049956,15075, Foreign,
11-28-2022-14-49-49.804,3, 0.1216158,0.039924,15075, Foreign,
11-28-2022-14-49-49.906,3, 0.0887455,0.032672,15075, Foreign,
11-28-2022-14-49-49.001,3, 0.8240232,0.037646,6339, Foreign,
11-28-2022-14-49-50.006,3, 0.127149,0.04078,15075, Foreign,
11-28-2022-14-49-49.101,3, 0.873128,0.052094,6339, Foreign,
11-28-2022-14-49-50.208,3, 0.1473089,0.051237,15075, Foreign,
11-28-2022-14-49-50.408,3, 0.1584943,0.04638,15075, Foreign,
11-28-2022-14-49-50.509,3, 0.1790079,0.041804,15075, Foreign,
11-28-2022-14-49-50.308,3, 0.3872847,0.045438,15075, Foreign,
11-28-2022-14-49-50.609,3, 0.1148954,0.036496,15075, Foreign,
11-28-2022-14-49-50.107,3, 0.6998431,0.048135,15075, Foreign,
11-28-2022-14-49-49.703,3, 0.809795,0.037091,6339, Foreign,
11-28-2022-14-49-50.709,3, 0.157359,0.035386,15075, Foreign,
11-28-2022-14-49-50.910,3, 0.1445563,0.047581,15075, Foreign,
11-28-2022-14-49-51.011,3, 0.1241953,0.042703,15075, Foreign,
11-28-2022-14-49-51.111,3, 0.1370435,0.045187,15075, Foreign,
11-28-2022-14-49-51.211,3, 0.1536207,0.048786,15075, Foreign,
11-28-2022-14-49-51.311,3, 0.1482055,0.051082,15075, Foreign,
11-28-2022-14-49-51.412,3, 0.1449173,0.0475,15075, Foreign,
11-28-2022-14-49-51.612,3, 0.1618279,0.052761,15075, Foreign,
11-28-2022-14-49-51.712,3, 0.21257,0.050668,15075, Foreign,
11-28-2022-14-49-51.812,3, 0.1505126,0.048134,15075, Foreign,
11-28-2022-14-49-51.512,3, 0.481847,0.050605,15075, Foreign,
11-28-2022-14-49-50.810,3, 0.9474763,0.047447,6339, Foreign,
11-28-2022-14-49-51.913,3, 0.1592197,0.063156,15075, Foreign,
11-28-2022-14-49-52.014,3, 0.1266121,0.041476,15075, Foreign,
11-28-2022-14-49-52.214,3, 0.2063366,0.044457,15075, Foreign,
11-28-2022-14-49-52.314,3, 0.1483062,0.049333,15075, Foreign,
11-28-2022-14-49-52.114,3, 0.4129195,0.037514,15075, Foreign,
11-28-2022-14-49-52.414,3, 0.1334838,0.048768,15075, Foreign,
11-28-2022-14-49-52.515,3, 0.1219659,0.040447,15075, Foreign,
11-28-2022-14-49-52.616,3, 0.173666,0.037097,15075, Foreign,
11-28-2022-14-49-52.716,3, 0.130369,0.041081,15075, Foreign,
11-28-2022-14-49-52.816,3, 0.1604338,0.047708,15075, Foreign,
11-28-2022-14-49-53.118,3, 0.1425631,0.04635,15075, Foreign,
11-28-2022-14-49-53.221,3, 0.1571067,0.037843,15075, Foreign,
11-28-2022-14-49-52.918,3, 0.4623398,0.050214,15106, Foreign,
11-28-2022-14-49-53.321,3, 0.1116289,0.035625,15075, Foreign,
11-28-2022-14-49-53.018,3, 0.5718601,0.047028,15075, Foreign,
11-28-2022-14-49-53.523,3, 0.1624709,0.036195,15075, Foreign,
11-28-2022-14-49-53.623,3, 0.1323336,0.036793,15075, Foreign,
11-28-2022-14-49-53.723,3, 0.1126062,0.039315,15075, Foreign,
11-28-2022-14-49-53.824,3, 0.1087505,0.036161,15075, Foreign,
