Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-16-08-40.819,3, 0.8102328,0.035979,6339, Foreign,
11-28-2022-16-08-41.533,3, 0.4067376,0.040243,15075, Foreign,
11-28-2022-16-08-41.842,3, 0.1110709,0.034353,15075, Foreign,
11-28-2022-16-08-41.942,3, 0.1224943,0.039701,15075, Foreign,
11-28-2022-16-08-42.042,3, 0.1452748,0.044841,15075, Foreign,
11-28-2022-16-08-42.147,3, 0.1300177,0.033858,15075, Foreign,
11-28-2022-16-08-42.248,3, 0.1318845,0.03491,15075, Foreign,
11-28-2022-16-08-39.189,3, 2.9238267000000002,0.039887,1971, Foreign,
11-28-2022-16-08-42.449,3, 0.1047785,0.033783,15075, Foreign,
11-28-2022-16-08-40.617,3, 1.995164,0.038198,15075, Foreign,
11-28-2022-16-08-42.549,3, 0.11685,0.037464,15075, Foreign,
11-28-2022-16-08-41.636,3, 0.8059864,0.032552,6339, Foreign,
11-28-2022-16-08-42.652,3, 0.0990044,0.035003,15075, Foreign,
11-28-2022-16-08-41.130,3, 1.3843549,0.049072,6339, Foreign,
11-28-2022-16-08-42.752,3, 0.1063199,0.032654,15075, Foreign,
11-28-2022-16-08-41.739,3, 0.8201243,0.036315,6339, Foreign,
11-28-2022-16-08-42.857,3, 0.0977935,0.032779,15075, Foreign,
11-28-2022-16-08-42.958,3, 0.2108788,0.04022,15075, Foreign,
11-28-2022-16-08-43.059,3, 0.1123736,0.032969,15075, Foreign,
11-28-2022-16-08-43.160,3, 0.1129637,0.037326,15075, Foreign,
11-28-2022-16-08-43.261,3, 0.1087828,0.034638,15075, Foreign,
11-28-2022-16-08-43.362,3, 0.1151065,0.03692,15075, Foreign,
11-28-2022-16-08-42.349,3, 0.831912,0.035538,6339, Foreign,
11-28-2022-16-08-43.568,3, 0.105711,0.03271,15075, Foreign,
11-28-2022-16-08-43.670,3, 0.1147835,0.038883,15075, Foreign,
11-28-2022-16-08-43.463,3, 0.4512095,0.038425,15075, Foreign,
