Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-14-52-32.269,1, 0.4468443,0.044332,22273, SelfUp,
11-28-2022-14-52-32.369,1, 0.3465371,0.044332,22273, SelfUp,
11-28-2022-14-52-32.169,1, 0.5463355,0.044332,22273, SelfUp,
11-28-2022-14-52-32.470,1, 0.2457575,0.044332,22273, SelfUp,
11-28-2022-14-52-32.570,1, 0.1455763,0.044332,22273, SelfUp,
11-28-2022-14-52-32.670,1, 0.1598155,0.046061,22280, SelfUp,
11-28-2022-14-52-32.771,1, 0.0594416,0.046061,22280, SelfUp,
11-28-2022-14-52-32.570,1, 0.2729574,0.046751,38197, SelfDown,
11-28-2022-14-52-32.670,1, 0.1926948,0.046751,38197, SelfDown,
11-28-2022-14-52-32.771,1, 0.1953222,0.049131,38202, SelfDown,
11-28-2022-14-52-32.871,1, 0.1332928,0.048449,15961, SelfUp,
11-28-2022-14-52-32.972,1, 0.1735006,0.047709,18794, SelfUp,
11-28-2022-14-52-33.073,1, 0.0720766,0.047709,18794, SelfUp,
11-28-2022-14-52-32.871,1, 0.2831668,0.049247,40441, SelfDown,
11-28-2022-14-52-32.972,1, 0.1932277,0.049247,40441, SelfDown,
11-28-2022-14-52-33.173,1, 0.1116956,0.047079,21066, SelfUp,
11-28-2022-14-52-33.073,1, 0.2133293,0.048222,41927, SelfDown,
11-28-2022-14-52-33.173,1, 0.2137408,0.047298,44298, SelfDown,
11-28-2022-14-52-33.276,1, 0.1398725,0.045094,22564, SelfUp,
11-28-2022-14-52-33.376,1, 0.0423888,0.044714,23538, SelfUp,
11-28-2022-14-52-33.276,1, 0.195374,0.0441,48040, SelfDown,
11-28-2022-14-52-33.376,1, 0.2091972,0.043009,50660, SelfDown,
11-28-2022-14-52-33.476,1, 0.1529817,0.043509,27298, SelfUp,
11-28-2022-14-52-33.577,1, 0.0995316,0.044037,27804, SelfUp,
11-28-2022-14-52-33.678,1, 0.0534289,0.046679,28636, SelfUp,
11-28-2022-14-52-33.476,1, 0.2629808,0.045493,52629, SelfDown,
11-28-2022-14-52-33.577,1, 0.2177366,0.045493,52629, SelfDown,
11-28-2022-14-52-33.678,1, 0.1825522,0.045493,36840, SelfDown,
11-28-2022-14-52-33.779,1, 0.1515011,0.047927,20463, SelfUp,
11-28-2022-14-52-33.879,1, 0.0512741,0.047927,20463, SelfUp,
11-28-2022-14-52-33.779,1, 0.1912786,0.045188,37497, SelfDown,
11-28-2022-14-52-33.980,1, 0.0393227,0.042615,21527, SelfUp,
11-28-2022-14-52-33.879,1, 0.1792107,0.042407,38082, SelfDown,
11-28-2022-14-52-33.980,1, 0.1783786,0.040582,38716, SelfDown,
11-28-2022-14-52-34.080,1, 0.1247494,0.037564,26367, SelfUp,
11-28-2022-14-52-34.180,1, 0.061192,0.04054,26572, SelfUp,
11-28-2022-14-52-34.080,1, 0.1912364,0.039355,44541, SelfDown,
11-28-2022-14-52-34.180,1, 0.2066513,0.038343,46677, SelfDown,
11-28-2022-14-52-34.281,1, 0.2389921,0.034496,51113, SelfDown,
11-28-2022-14-52-34.381,1, 0.2089777,0.034298,51951, SelfDown,
11-28-2022-14-52-34.381,1, 0.2943188,0.039471,20059, SelfUp,
11-28-2022-14-52-34.281,1, 0.3945151,0.039471,20059, SelfUp,
11-28-2022-14-52-34.484,1, 0.1914366,0.039471,20059, SelfUp,
11-28-2022-14-52-34.584,1, 0.0911958,0.039471,20059, SelfUp,
11-28-2022-14-52-34.484,1, 0.2074371,0.035989,53750, SelfDown,
11-28-2022-14-52-34.584,1, 0.1843247,0.036502,54811, SelfDown,
11-28-2022-14-52-34.684,1, 0.0971283,0.038061,20065, SelfUp,
11-28-2022-14-52-34.684,1, 0.2548113,0.038919,56840, SelfDown,
11-28-2022-14-52-34.784,1, 0.202319,0.038719,58424, SelfDown,
11-28-2022-14-52-34.784,1, 0.2361565,0.039262,20242, SelfUp,
11-28-2022-14-52-34.885,1, 0.1998415,0.038261,60804, SelfDown,
11-28-2022-14-52-34.885,1, 0.25897,0.040523,22260, SelfUp,
11-28-2022-14-52-34.985,1, 0.1580447,0.040523,22260, SelfUp,
11-28-2022-14-52-34.985,1, 0.2570552,0.040969,61995, SelfDown,
11-28-2022-14-52-35.086,1, 0.1913605,0.040969,61995, SelfDown,
11-28-2022-14-52-35.187,1, 0.140886,0.044997,23770, SelfUp,
11-28-2022-14-52-35.086,1, 0.2419359,0.044997,23770, SelfUp,
11-28-2022-14-52-35.288,1, 0.0425775,0.044695,24532, SelfUp,
11-28-2022-14-52-35.187,1, 0.1964917,0.042453,63261, SelfDown,
11-28-2022-14-52-35.388,1, 0.07416,0.048125,25823, SelfUp,
11-28-2022-14-52-35.489,1, 0.0576456,0.043113,28429, SelfUp,
11-28-2022-14-52-35.388,1, 0.2081527,0.044015,65520, SelfDown,
11-28-2022-14-52-35.589,1, 0.0454686,0.044334,29560, SelfUp,
11-28-2022-14-52-35.288,1, 0.3640956,0.044419,65520, SelfDown,
11-28-2022-14-52-35.489,1, 0.2350152,0.044415,65520, SelfDown,
11-28-2022-14-52-35.691,1, 0.0981843,0.045258,30922, SelfUp,
11-28-2022-14-52-35.589,1, 0.276794,0.046533,65520, SelfDown,
11-28-2022-14-52-35.691,1, 0.3234651,0.046316,65520, SelfDown,
11-28-2022-14-52-35.791,1, 0.2439811,0.046316,65520, SelfDown,
11-28-2022-14-52-35.892,1, 0.2047035,0.043199,65520, SelfDown,
11-28-2022-14-52-35.791,1, 0.3224393,0.046368,34212, SelfUp,
11-28-2022-14-52-35.992,1, 0.1691005,0.046368,23948, SelfUp,
11-28-2022-14-52-35.892,1, 0.2696726,0.046368,23948, SelfUp,
11-28-2022-14-52-36.093,1, 0.0686591,0.046368,23948, SelfUp,
11-28-2022-14-52-35.992,1, 0.1824291,0.039213,65520, SelfDown,
11-28-2022-14-52-36.093,1, 0.1869254,0.035764,65520, SelfDown,
11-28-2022-14-52-36.194,1, 0.0984556,0.036166,25182, SelfUp,
11-28-2022-14-52-36.295,1, 0.0789446,0.038274,28135, SelfUp,
