Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-28-2022-16-08-36.204,1, 0.0801535,0.029058,132777, SelfDown,
11-28-2022-16-08-36.306,1, 0.0385778,0.037159,1170432, SelfUp,
11-28-2022-16-08-36.306,1, 0.0851809,0.033707,134087, SelfDown,
11-28-2022-16-08-36.411,1, 0.074712,0.04233,1170432, SelfUp,
11-28-2022-16-08-36.411,1, 0.1001956,0.040136,134222, SelfDown,
11-28-2022-16-08-36.511,1, 0.0412603,0.031262,1170432, SelfUp,
11-28-2022-16-08-36.511,1, 0.0699038,0.039369,169104, SelfDown,
11-28-2022-16-08-36.612,1, 0.0312172,0.031903,1170432, SelfUp,
11-28-2022-16-08-36.612,1, 0.0447065,0.035102,169178, SelfDown,
11-28-2022-16-08-36.715,1, 0.0384784,0.035293,1170432, SelfUp,
11-28-2022-16-08-36.715,1, 0.1376957,0.035217,170190, SelfDown,
11-28-2022-16-08-36.815,1, 0.041377,0.036476,1170432, SelfUp,
11-28-2022-16-08-36.815,1, 0.0692666,0.034637,170218, SelfDown,
11-28-2022-16-08-36.915,1, 0.0689432,0.035908,1170432, SelfUp,
11-28-2022-16-08-36.915,1, 0.1078331,0.033965,170911, SelfDown,
11-28-2022-16-08-37.016,1, 0.0358034,0.039379,1170432, SelfUp,
11-28-2022-16-08-37.016,1, 0.0358034,0.032624,171000, SelfDown,
11-28-2022-16-08-37.118,1, 0.0359164,0.038019,1170432, SelfUp,
11-28-2022-16-08-37.225,1, 0.029612,0.034745,1170432, SelfUp,
11-28-2022-16-08-37.118,1, 0.2030369,0.035573,172553, SelfDown,
11-28-2022-16-08-37.225,1, 0.1026961,0.035573,172553, SelfDown,
11-28-2022-16-08-37.327,1, 0.0822754,0.040084,1170432, SelfUp,
11-28-2022-16-08-37.327,1, 0.1848431,0.040033,173476, SelfDown,
11-28-2022-16-08-37.429,1, 0.0873978,0.037106,1170432, SelfUp,
11-28-2022-16-08-37.429,1, 0.1045525,0.021643,182097, SelfDown,
11-28-2022-16-08-37.531,1, 0.031154,0.031954,1170432, SelfUp,
11-28-2022-16-08-37.531,1, 0.0462667,0.035393,182617, SelfDown,
11-28-2022-16-08-37.634,1, 0.036549,0.0349,1170432, SelfUp,
11-28-2022-16-08-37.634,1, 0.1235319,0.035228,183621, SelfDown,
11-28-2022-16-08-37.747,1, 0.0353957,0.036909,1170432, SelfUp,
11-28-2022-16-08-37.855,1, 0.0167695,0.028007,1170432, SelfUp,
11-28-2022-16-08-37.747,1, 0.1621524,0.030502,184000, SelfDown,
11-28-2022-16-08-37.855,1, 0.056842,0.030502,184000, SelfDown,
11-28-2022-16-08-37.955,1, 0.083413,0.03846,1170432, SelfUp,
11-28-2022-16-08-37.955,1, 0.1233623,0.034504,184933, SelfDown,
11-28-2022-16-08-38.060,1, 0.0440722,0.037546,1170432, SelfUp,
11-28-2022-16-08-38.161,1, 0.0370015,0.036619,1170432, SelfUp,
11-28-2022-16-08-38.060,1, 0.1881491,0.034608,185577, SelfDown,
11-28-2022-16-08-38.161,1, 0.0867488,0.034608,185577, SelfDown,
11-28-2022-16-08-38.263,1, 0.0366649,0.023061,199657, SelfDown,
11-28-2022-16-08-38.263,1, 0.050932,0.032931,1170432, SelfUp,
11-28-2022-16-08-38.365,1, 0.0397792,0.035554,1170432, SelfUp,
