Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-14-49-40.932,507599.38960629725, 0, Upload, 
11-28-2022-14-49-40.932,163741.73858267654, 1, Upload, 
11-28-2022-14-49-40.932,605844.4327559032, 2, Upload, 
11-28-2022-14-49-40.932,392775.8161428487, 3, Upload, 
11-28-2022-14-49-40.932,163741.73858267654, 4, Upload, 
11-28-2022-14-49-40.932,180115.9124409442, 5, Upload, 
11-28-2022-14-49-40.932,212979.49810346132, 6, Upload, 
11-28-2022-14-49-40.932,65496.695433070614, 7, Upload, 
11-28-2022-14-49-40.932,196490.08629921183, 8, Upload, 
11-28-2022-14-49-40.932,311266.24294717424, 9, Upload, 
11-28-2022-14-49-40.932,163741.73858267654, 10, Upload, 
11-28-2022-14-49-40.932,278511.6513660648, 11, Upload, 
11-28-2022-14-49-40.932,229362.53641911218, 12, Upload, 
11-28-2022-14-49-40.932,180115.9124409442, 13, Upload, 
11-28-2022-14-49-40.932,180213.42147215956, 14, Upload, 
11-28-2022-14-49-40.932,163830.3831565087, 15, Upload, 
11-28-2022-14-49-40.932,131064.30652520696, 16, Upload, 
11-28-2022-14-49-40.932,163875.08565583892, 17, Upload, 
11-28-2022-14-49-40.932,721050.3768856912, 18, Upload, 
11-28-2022-14-49-40.932,344137.67987726175, 19, Upload, 
11-28-2022-14-49-40.932,163875.08565583892, 20, Upload, 
11-28-2022-14-49-40.932,65550.03426233557, 21, Upload, 
11-28-2022-14-49-40.932,425958.99620692263, 22, Upload, 
11-28-2022-14-49-40.932,720853.6858886383, 23, Upload, 
11-28-2022-14-49-40.932,131064.30652520696, 24, Upload, 
11-28-2022-14-49-40.932,163875.08565583892, 25, Upload, 
11-28-2022-14-49-40.932,540787.7826642684, 26, Upload, 
11-28-2022-14-49-40.932,393192.9195756209, 27, Upload, 
11-28-2022-14-49-40.932,245745.57473476304, 28, Upload, 
11-28-2022-14-49-40.932,720853.6858886383, 29, Upload, 
11-28-2022-14-49-40.932,229425.1199181745, 30, Upload, 
11-28-2022-14-49-40.932,229425.1199181745, 31, Upload, 
11-28-2022-14-49-40.932,212979.49810346132, 32, Upload, 
11-28-2022-14-49-40.932,229425.1199181745, 33, Upload, 
11-28-2022-14-49-40.932,163875.08565583892, 34, Upload, 
11-28-2022-14-49-40.932,213037.61135259058, 35, Upload, 
11-28-2022-14-49-40.932,639112.8340577717, 36, Upload, 
11-28-2022-14-49-40.932,180262.5942214228, 37, Upload, 
11-28-2022-14-49-40.932,688275.3597545235, 38, Upload, 
11-28-2022-14-49-40.932,983250.5139350335, 39, Upload, 
11-28-2022-14-49-40.936,489158.92768783635, 0, Download, 
11-28-2022-14-49-40.936,456784.9924654453, 1, Download, 
11-28-2022-14-49-40.936,1.0114524833163432e+06, 2, Download, 
11-28-2022-14-49-40.936,1.370354977396336e+06, 3, Download, 
11-28-2022-14-49-40.936,929883.7346617993, 4, Download, 
11-28-2022-14-49-40.936,440471.2427345365, 5, Download, 
11-28-2022-14-49-40.936,1.093021231970887e+06, 6, Download, 
11-28-2022-14-49-40.936,456784.9924654453, 7, Download, 
11-28-2022-14-49-40.936,864628.7357381643, 8, Download, 
11-28-2022-14-49-40.936,734118.7378908942, 9, Download, 
11-28-2022-14-49-40.936,1.0114524833163432e+06, 10, Download, 
11-28-2022-14-49-40.936,995138.7335854344, 11, Download, 
11-28-2022-14-49-40.936,1.5987474736290586e+06, 12, Download, 
11-28-2022-14-49-40.936,815264.8794797272, 13, Download, 
11-28-2022-14-49-40.936,1.9249507769642365e+06, 14, Download, 
11-28-2022-14-49-40.936,456784.9924654453, 15, Download, 
11-28-2022-14-49-40.936,930385.2854772354, 16, Download, 
11-28-2022-14-49-40.936,456784.9924654453, 17, Download, 
11-28-2022-14-49-40.936,930638.2113659102, 18, Download, 
11-28-2022-14-49-40.936,979619.1698588529, 19, Download, 
11-28-2022-14-49-40.936,1.0449271145161097e+06, 20, Download, 
11-28-2022-14-49-40.936,914311.2252015959, 21, Download, 
11-28-2022-14-49-40.936,1.0775093373938208e+06, 22, Download, 
11-28-2022-14-49-40.936,1.1102350591733665e+06, 23, Download, 
11-28-2022-14-49-40.936,1.1591442682153918e+06, 24, Download, 
11-28-2022-14-49-40.936,1.1102350591733665e+06, 25, Download, 
11-28-2022-14-49-40.936,1.241485243015484e+06, 26, Download, 
11-28-2022-14-49-40.936,866079.9259223352, 27, Download, 
11-28-2022-14-49-40.936,833397.6645667754, 28, Download, 
11-28-2022-14-49-40.936,1.0621734940556942e+06, 29, Download, 
11-28-2022-14-49-40.936,1.2746081928668332e+06, 30, Download, 
11-28-2022-14-49-40.936,1.5020109776659904e+06, 31, Download, 
11-28-2022-14-49-40.936,882421.0566001153, 32, Download, 
11-28-2022-14-49-40.936,1.1602202781223736e+06, 33, Download, 
11-28-2022-14-49-40.936,1.5686767334574477e+06, 34, Download, 
11-28-2022-14-49-40.936,866079.9259223352, 35, Download, 
11-28-2022-14-49-40.936,1.1764895971907298e+06, 36, Download, 
11-28-2022-14-49-40.936,1.0621734940556942e+06, 37, Download, 
11-28-2022-14-49-40.936,1.1929025394779334e+06, 38, Download, 
11-28-2022-14-49-40.936,1.2092436701557133e+06, 39, Download, 
11-28-2022-14-49-41.932,638805.375084315, 0, Upload, 
11-28-2022-14-49-41.932,311212.8750410765, 1, Upload, 
11-28-2022-14-49-41.932,638805.375084315, 2, Upload, 
11-28-2022-14-49-41.932,786222.0001037723, 3, Upload, 
11-28-2022-14-49-41.932,0, 4, Upload, 
11-28-2022-14-49-41.932,704323.8750929626, 5, Upload, 
11-28-2022-14-49-41.932,753462.7500994484, 6, Upload, 
11-28-2022-14-49-41.932,49138.87500648577, 7, Upload, 
11-28-2022-14-49-41.932,229314.7500302669, 8, Upload, 
11-28-2022-14-49-41.932,245694.37503242883, 9, Upload, 
11-28-2022-14-49-41.932,98277.75001297153, 10, Upload, 
11-28-2022-14-49-41.932,262074.00003459075, 11, Upload, 
11-28-2022-14-49-41.932,425870.25005621, 12, Upload, 
11-28-2022-14-49-41.932,540527.6250713434, 13, Upload, 
11-28-2022-14-49-41.932,262074.00003459075, 14, Upload, 
11-28-2022-14-49-41.932,98277.75001297153, 15, Upload, 
11-28-2022-14-49-41.932,196555.50002594307, 16, Upload, 
11-28-2022-14-49-41.932,360351.7500475623, 17, Upload, 
11-28-2022-14-49-41.932,0, 18, Upload, 
11-28-2022-14-49-41.932,311212.8750410765, 19, Upload, 
11-28-2022-14-49-41.932,196555.50002594307, 20, Upload, 
11-28-2022-14-49-41.932,98277.75001297153, 21, Upload, 
11-28-2022-14-49-41.932,49138.87500648577, 22, Upload, 
11-28-2022-14-49-41.932,262074.00003459075, 23, Upload, 
11-28-2022-14-49-41.932,0, 24, Upload, 
11-28-2022-14-49-41.932,65518.50000864769, 25, Upload, 
11-28-2022-14-49-41.932,720703.5000951246, 26, Upload, 
11-28-2022-14-49-41.932,98277.75001297153, 27, Upload, 
11-28-2022-14-49-41.932,343972.12504540035, 28, Upload, 
11-28-2022-14-49-41.932,278453.62503675267, 29, Upload, 
11-28-2022-14-49-41.932,229314.7500302669, 30, Upload, 
11-28-2022-14-49-41.932,442249.87505837186, 31, Upload, 
11-28-2022-14-49-41.932,114657.37501513345, 32, Upload, 
11-28-2022-14-49-41.932,573286.8750756673, 33, Upload, 
11-28-2022-14-49-41.932,458629.5000605338, 34, Upload, 
11-28-2022-14-49-41.932,147416.62501945728, 35, Upload, 
11-28-2022-14-49-41.932,884499.7501167437, 36, Upload, 
11-28-2022-14-49-41.932,49138.87500648577, 37, Upload, 
11-28-2022-14-49-41.932,163796.25002161923, 38, Upload, 
11-28-2022-14-49-41.932,1.064675625140525e+06, 39, Upload, 
11-28-2022-14-49-41.936,606054.2432825812, 0, Download, 
11-28-2022-14-49-41.936,688035.1840536712, 1, Download, 
11-28-2022-14-49-41.936,1.556126078591998e+06, 2, Download, 
11-28-2022-14-49-41.936,1.9000716803303235e+06, 3, Download, 
11-28-2022-14-49-41.936,1.6380350290745778e+06, 4, Download, 
11-28-2022-14-49-41.936,540599.0731850273, 5, Download, 
11-28-2022-14-49-41.936,1.3433067879143103e+06, 6, Download, 
11-28-2022-14-49-41.936,606126.2335710913, 7, Download, 
11-28-2022-14-49-41.936,1.1467253067561188e+06, 8, Download, 
11-28-2022-14-49-41.936,1.3433067879143103e+06, 9, Download, 
11-28-2022-14-49-41.936,1.2612538568547103e+06, 10, Download, 
11-28-2022-14-49-41.936,1.3923081776268382e+06, 11, Download, 
11-28-2022-14-49-41.936,4.340814424134185e+06, 12, Download, 
11-28-2022-14-49-41.936,1.3433067879143103e+06, 13, Download, 
11-28-2022-14-49-41.936,4.422867355193784e+06, 14, Download, 
11-28-2022-14-49-41.936,425926.5425094155, 15, Download, 
11-28-2022-14-49-41.936,1.2121084865651624e+06, 16, Download, 
11-28-2022-14-49-41.936,442308.3326059315, 17, Download, 
11-28-2022-14-49-41.936,1.2777076372397365e+06, 18, Download, 
11-28-2022-14-49-41.936,1.457835338012902e+06, 19, Download, 
11-28-2022-14-49-41.936,1.2612538568547103e+06, 20, Download, 
11-28-2022-14-49-41.936,1.2613978374317305e+06, 21, Download, 
11-28-2022-14-49-41.936,2.0476517717759875e+06, 22, Download, 
11-28-2022-14-49-41.936,1.67079860926761e+06, 23, Download, 
11-28-2022-14-49-41.936,1.6873243799411461e+06, 24, Download, 
11-28-2022-14-49-41.936,2.309616432743223e+06, 25, Download, 
11-28-2022-14-49-41.936,2.391525383225803e+06, 26, Download, 
11-28-2022-14-49-41.936,1.2122524671421826e+06, 27, Download, 
