Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-16-08-41.613,835443.4784069319, 0, Upload, 
11-28-2022-16-08-41.613,655249.7869858289, 1, Upload, 
11-28-2022-16-08-41.613,1.1139246378759092e+06, 2, Upload, 
11-28-2022-16-08-41.613,688012.2763351204, 3, Upload, 
11-28-2022-16-08-41.613,900968.4571055148, 4, Upload, 
11-28-2022-16-08-41.613,1.0156371698280348e+06, 5, Upload, 
11-28-2022-16-08-41.613,704393.5210097661, 6, Upload, 
11-28-2022-16-08-41.613,835443.4784069319, 7, Upload, 
11-28-2022-16-08-41.613,212956.1807703944, 8, Upload, 
11-28-2022-16-08-42.615,539776.8879866517, 0, Upload, 
11-28-2022-16-08-42.615,0, 1, Upload, 
11-28-2022-16-08-42.615,1.0791394260664887e+06, 2, Upload, 
11-28-2022-16-08-42.615,670374.4919503946, 3, Upload, 
11-28-2022-16-08-42.615,1.3898007759947204e+06, 4, Upload, 
11-28-2022-16-08-42.615,1.422501970724008e+06, 5, Upload, 
11-28-2022-16-08-42.615,703075.6866796821, 6, Upload, 
11-28-2022-16-08-42.615,1.3734501786300766e+06, 7, Upload, 
11-28-2022-16-08-42.615,147155.37628179393, 8, Upload, 
11-28-2022-16-08-42.615,801179.2708675447, 9, Upload, 
11-28-2022-16-08-42.615,1.818805474881005e+07, 0, Download, 
11-28-2022-16-08-42.615,1.214763160339742e+07, 1, Download, 
11-28-2022-16-08-42.615,4.725107078748824e+06, 2, Download, 
11-28-2022-16-08-42.615,2.0274022200047523e+06, 3, Download, 
11-28-2022-16-08-42.615,768478.0761382572, 4, Download, 
11-28-2022-16-08-42.615,948190.9407271885, 5, Download, 
11-28-2022-16-08-42.615,3.4660392284601787e+06, 6, Download, 
11-28-2022-16-08-42.615,1.1444627769928813e+07, 7, Download, 
11-28-2022-16-08-42.615,1.3831671278744653e+07, 8, Download, 
11-28-2022-16-08-42.615,163505.9736464377, 9, Download, 
11-28-2022-16-08-43.615,2.0853931901157275e+07, 0, Download, 
11-28-2022-16-08-43.615,8.308897973490512e+06, 1, Download, 
11-28-2022-16-08-43.615,4.310077168874724e+06, 2, Download, 
11-28-2022-16-08-43.615,1.4422755950070058e+06, 3, Download, 
11-28-2022-16-08-43.615,606267.28141946, 4, Download, 
11-28-2022-16-08-43.615,966908.2043209089, 5, Download, 
11-28-2022-16-08-43.615,2.3271642981891828e+06, 6, Download, 
11-28-2022-16-08-43.615,4.752953665363996e+06, 7, Download, 
11-28-2022-16-08-43.615,1.8912109230224896e+07, 8, Download, 
11-28-2022-16-08-43.615,163894.95397806886, 9, Download, 
11-28-2022-16-08-43.615,2.310774802791376e+06, 10, Download, 
11-28-2022-16-08-43.615,1.3598049616153925e+06, 0, Upload, 
11-28-2022-16-08-43.615,278621.4217627171, 1, Upload, 
11-28-2022-16-08-43.615,1.4914440812004264e+06, 2, Upload, 
11-28-2022-16-08-43.615,885032.7514815718, 3, Upload, 
11-28-2022-16-08-43.615,1.1308751824486752e+06, 4, Upload, 
11-28-2022-16-08-43.615,1.147264677846482e+06, 5, Upload, 
11-28-2022-16-08-43.615,508074.35733201343, 6, Upload, 
11-28-2022-16-08-43.615,1.3767176134157784e+06, 7, Upload, 
11-28-2022-16-08-43.615,590021.8343210479, 8, Upload, 
11-28-2022-16-08-43.615,770306.2836969236, 9, Upload, 
11-28-2022-16-08-43.615,950590.7330727994, 10, Upload, 
11-28-2022-16-08-44.615,1.8293682894322764e+07, 0, Download, 
11-28-2022-16-08-44.615,4.127137854769629e+06, 1, Download, 
11-28-2022-16-08-44.615,4.700319456112872e+06, 2, Download, 
11-28-2022-16-08-44.615,1.4901713962619356e+06, 3, Download, 
11-28-2022-16-08-44.615,638768.2725577642, 4, Download, 
11-28-2022-16-08-44.615,835312.3564216916, 5, Download, 
11-28-2022-16-08-44.615,2.7515451975017725e+06, 6, Download, 
11-28-2022-16-08-44.615,2.1520065674642604e+07, 7, Download, 
11-28-2022-16-08-44.615,1.0219572594992109e+07, 8, Download, 
11-28-2022-16-08-44.615,163786.73655327287, 9, Download, 
11-28-2022-16-08-44.615,3.930737724092125e+06, 10, Download, 
11-28-2022-16-08-44.615,0, 11, Download, 
11-28-2022-16-08-44.615,1.0318564402856191e+06, 0, Upload, 
11-28-2022-16-08-44.615,638768.2725577642, 1, Upload, 
11-28-2022-16-08-44.615,671525.6198684188, 2, Upload, 
11-28-2022-16-08-44.615,655146.9462130915, 3, Upload, 
11-28-2022-16-08-44.615,507738.8833151459, 4, Upload, 
11-28-2022-16-08-44.615,1.0973711349069283e+06, 5, Upload, 
11-28-2022-16-08-44.615,540496.2306258004, 6, Upload, 
11-28-2022-16-08-44.615,425845.51503850945, 7, Upload, 
11-28-2022-16-08-44.615,507738.8833151459, 8, Upload, 
11-28-2022-16-08-44.615,589632.2515917823, 9, Upload, 
11-28-2022-16-08-44.615,1.0973711349069283e+06, 10, Upload, 
11-28-2022-16-08-44.615,606010.9252471096, 11, Upload, 
11-28-2022-16-08-45.619,1.1419296209004344e+06, 0, Upload, 
11-28-2022-16-08-45.619,603297.6919341099, 1, Upload, 
11-28-2022-16-08-45.619,668519.0640350947, 2, Upload, 
11-28-2022-16-08-45.619,505465.6337826326, 3, Upload, 
11-28-2022-16-08-45.619,684824.407060341, 4, Upload, 
11-28-2022-16-08-45.619,831572.4942875569, 5, Upload, 
11-28-2022-16-08-45.619,847877.8373128031, 6, Upload, 
11-28-2022-16-08-45.619,798961.8082370644, 7, Upload, 
11-28-2022-16-08-45.619,750045.7791613258, 8, Upload, 
11-28-2022-16-08-45.619,195664.11630295456, 9, Upload, 
11-28-2022-16-08-45.619,945709.8954642804, 10, Upload, 
11-28-2022-16-08-45.619,1.07615263966625e+06, 11, Upload, 
11-28-2022-16-08-45.619,701129.7500855871, 12, Upload, 
11-28-2022-16-08-45.620,2.448904882845155e+07, 0, Download, 
11-28-2022-16-08-45.620,2.478268831158492e+06, 1, Download, 
11-28-2022-16-08-45.620,4.6794184852272635e+06, 2, Download, 
11-28-2022-16-08-45.620,1.4021878458317078e+06, 3, Download, 
11-28-2022-16-08-45.620,391256.5782664427, 4, Download, 
11-28-2022-16-08-45.620,815195.4969228442, 5, Download, 
11-28-2022-16-08-45.620,2.266156063151358e+06, 6, Download, 
11-28-2022-16-08-45.620,2.192102895631474e+07, 7, Download, 
11-28-2022-16-08-45.620,9.815171612143023e+06, 8, Download, 
11-28-2022-16-08-45.620,163053.43025246213, 9, Download, 
11-28-2022-16-08-45.620,3.554278162145809e+06, 10, Download, 
11-28-2022-16-08-45.620,0, 11, Download, 
11-28-2022-16-08-45.620,1.2392060699187121e+06, 12, Download, 
11-28-2022-16-08-46.623,1.9897067929702107e+07, 0, Download, 
11-28-2022-16-08-46.623,1.764255764676555e+06, 1, Download, 
11-28-2022-16-08-46.623,2.69532294652873e+06, 2, Download, 
11-28-2022-16-08-46.623,833116.789230961, 3, Download, 
11-28-2022-16-08-46.623,424762.80693007604, 4, Download, 
11-28-2022-16-08-46.623,637144.210395114, 5, Download, 
11-28-2022-16-08-46.623,1.4375869375545308e+06, 6, Download, 
11-28-2022-16-08-46.623,1.4367126511280071e+07, 7, Download, 
11-28-2022-16-08-46.623,4.9824354979434125e+06, 8, Download, 
11-28-2022-16-08-46.623,179707.34139349373, 9, Download, 
11-28-2022-16-08-46.623,2.3686541194067057e+06, 10, Download, 
11-28-2022-16-08-46.623,343077.6517512153, 11, Download, 
11-28-2022-16-08-46.623,1.8622779508911879e+06, 12, Download, 
11-28-2022-16-08-46.623,3.6919536333042504e+06, 13, Download, 
11-28-2022-16-08-46.623,1.094047732831528e+06, 0, Upload, 
11-28-2022-16-08-46.623,522784.993144709, 1, Upload, 
11-28-2022-16-08-46.623,588133.1172877976, 2, Upload, 
11-28-2022-16-08-46.623,865862.6448959243, 3, Upload, 
11-28-2022-16-08-46.623,784177.4897170635, 4, Upload, 
11-28-2022-16-08-46.623,604470.1483235698, 5, Upload, 
11-28-2022-16-08-46.623,490110.9310731647, 6, Upload, 
11-28-2022-16-08-46.623,1.0782440483609622e+06, 7, Upload, 
11-28-2022-16-08-46.623,914873.7380032407, 8, Upload, 
11-28-2022-16-08-46.623,49011.09310731647, 9, Upload, 
11-28-2022-16-08-46.623,359414.68278698745, 10, Upload, 
11-28-2022-16-08-46.623,637144.210395114, 11, Upload, 
11-28-2022-16-08-46.623,522784.993144709, 12, Upload, 
11-28-2022-16-08-46.623,114359.21725040508, 13, Upload, 
11-28-2022-16-08-47.636,760325.2646458151, 0, Upload, 
