Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-19-53.285,3, 0.1153773,0.036649,14415, Foreign,
11-26-2022-11-19-53.385,3, 0.1319393,0.032922,14415, Foreign,
11-26-2022-11-19-53.485,3, 0.1201563,0.042112,14415, Foreign,
11-26-2022-11-19-53.183,3, 0.5094533,0.03412,14415, Foreign,
11-26-2022-11-19-53.585,3, 0.1626167,0.033735,14415, Foreign,
11-26-2022-11-19-53.691,3, 0.1038882,0.029095,14415, Foreign,
11-26-2022-11-19-53.895,3, 0.1143756,0.039742,14415, Foreign,
11-26-2022-11-19-53.995,3, 0.3784857,0.037723,14415, Foreign,
11-26-2022-11-19-52.146,3, 1.9418853999999999,0.030598,6075, Foreign,
11-26-2022-11-19-50.161,3, 4.2883299,0.028332,14415, Foreign,
11-26-2022-11-19-54.101,3, 0.3815143,0.036508,14415, Foreign,
11-26-2022-11-19-54.407,3, 0.1139732,0.034246,14415, Foreign,
11-26-2022-11-19-54.201,3, 0.3769054,0.03086,14415, Foreign,
11-26-2022-11-19-54.509,3, 0.146141,0.053188,14415, Foreign,
11-26-2022-11-19-54.609,3, 0.1159403,0.041364,14415, Foreign,
11-26-2022-11-19-53.795,3, 0.8151574,0.038118,6075, Foreign,
11-26-2022-11-19-54.810,3, 0.1125074,0.037038,14415, Foreign,
11-26-2022-11-19-54.912,3, 0.1157484,0.038849,14415, Foreign,
11-26-2022-11-19-55.011,3, 0.1186385,0.032094,14415, Foreign,
11-26-2022-11-19-55.120,3, 0.1202049,0.035812,14415, Foreign,
11-26-2022-11-19-54.307,3, 0.8051867,0.03132,6075, Foreign,
11-26-2022-11-19-54.710,3, 0.7868973,0.03842,14415, Foreign,
11-26-2022-11-19-55.522,3, 0.1111172,0.036152,14415, Foreign,
11-26-2022-11-19-55.421,3, 0.2560512,0.045771,14415, Foreign,
11-26-2022-11-19-55.321,3, 0.3889705,0.035906,14415, Foreign,
11-26-2022-11-19-55.830,3, 0.1852556,0.04323,14415, Foreign,
11-26-2022-11-19-56.042,3, 0.1101127,0.036469,14415, Foreign,
11-26-2022-11-19-55.729,3, 0.5196501,0.030219,14415, Foreign,
11-26-2022-11-19-56.145,3, 0.1124164,0.035605,14415, Foreign,
11-26-2022-11-19-55.221,3, 0.8469172,0.044119,6075, Foreign,
11-26-2022-11-19-56.246,3, 0.1437719,0.040904,14415, Foreign,
11-26-2022-11-19-56.451,3, 0.1165495,0.037444,14415, Foreign,
11-26-2022-11-19-56.554,3, 0.1234352,0.036895,14415, Foreign,
11-26-2022-11-19-55.628,3, 0.8207948,0.038042,6075, Foreign,
11-26-2022-11-19-56.755,3, 0.1265088,0.044838,14415, Foreign,
11-26-2022-11-19-56.858,3, 0.4091288,0.034691,14415, Foreign,
11-26-2022-11-19-57.165,3, 0.2557152,0.042656,14415, Foreign,
11-26-2022-11-19-56.962,3, 0.4706332,0.039389,14415, Foreign,
11-26-2022-11-19-56.346,3, 1.0962414,0.035238,14415, Foreign,
11-26-2022-11-19-57.368,3, 0.16001,0.036228,14415, Foreign,
11-26-2022-11-19-57.468,3, 0.1194186,0.035324,14415, Foreign,
11-26-2022-11-19-57.570,3, 0.1176567,0.038885,14415, Foreign,
11-26-2022-11-19-56.655,3, 0.8246672,0.039574,6075, Foreign,
11-26-2022-11-19-57.671,3, 0.1173471,0.039025,14415, Foreign,
11-26-2022-11-19-57.874,3, 0.1059962,0.036856,14415, Foreign,
11-26-2022-11-19-55.934,3, 1.9444976999999999,0.0345,6075, Foreign,
11-26-2022-11-19-58.179,3, 0.0944324,0.033795,14415, Foreign,
11-26-2022-11-19-57.265,3, 0.8229045,0.045456,6075, Foreign,
11-26-2022-11-19-58.281,3, 0.1266093,0.032003,14415, Foreign,
11-26-2022-11-19-57.974,3, 0.4528328,0.04467,14415, Foreign,
11-26-2022-11-19-58.482,3, 0.1389125,0.042093,14415, Foreign,
11-26-2022-11-19-58.381,3, 0.2414074,0.042073,14415, Foreign,
11-26-2022-11-19-58.683,3, 0.1069859,0.032909,14415, Foreign,
11-26-2022-11-19-58.582,3, 0.2334906,0.049237,14415, Foreign,
11-26-2022-11-19-58.887,3, 0.1114987,0.038703,14415, Foreign,
11-26-2022-11-19-58.989,3, 0.1159366,0.036239,14415, Foreign,
11-26-2022-11-19-59.391,3, 0.1145951,0.037444,14415, Foreign,
11-26-2022-11-19-59.089,3, 0.4181195,0.040945,14415, Foreign,
11-26-2022-11-19-59.291,3, 0.2319046,0.036983,14415, Foreign,
11-26-2022-11-19-59.189,3, 0.3874026,0.037607,14415, Foreign,
11-26-2022-11-19-59.693,3, 0.1077468,0.032955,14415, Foreign,
11-26-2022-11-19-58.784,3, 1.083591,0.060874,14415, Foreign,
11-26-2022-11-19-59.795,3, 0.1199852,0.041515,14415, Foreign,
11-26-2022-11-19-59.898,3, 0.1010495,0.034027,14415, Foreign,
11-26-2022-11-19-59.998,3, 0.1203091,0.031529,14415, Foreign,
11-26-2022-11-20-00.205,3, 0.0897497,0.029582,14415, Foreign,
11-26-2022-11-20-00.098,3, 0.2432493,0.033613,14415, Foreign,
11-26-2022-11-20-00.305,3, 0.0727931,0.027134,14415, Foreign,
11-26-2022-11-20-00.405,3, 0.1194238,0.037809,14415, Foreign,
11-26-2022-11-19-59.492,3, 0.8323866,0.041406,6075, Foreign,
11-26-2022-11-20-00.626,3, 0.0922074,0.02874,14415, Foreign,
11-26-2022-11-19-59.592,3, 0.8983083,0.033905,6075, Foreign,
11-26-2022-11-20-00.726,3, 0.1139497,0.031538,14415, Foreign,
11-26-2022-11-20-01.239,3, 0.1178876,0.03495,14415, Foreign,
11-26-2022-11-20-01.341,3, 0.2718298,0.045508,14415, Foreign,
11-26-2022-11-20-01.645,3, 0.1879276,0.040186,14415, Foreign,
11-26-2022-11-20-01.544,3, 0.3038868,0.039933,14415, Foreign,
11-26-2022-11-20-01.028,3, 0.8448073,0.039354,14415, Foreign,
11-26-2022-11-20-00.826,3, 0.8289935,0.042151,6075, Foreign,
11-26-2022-11-20-01.847,3, 0.1293973,0.038585,14415, Foreign,
11-26-2022-11-20-01.443,3, 0.5379663,0.037921,14415, Foreign,
11-26-2022-11-20-01.947,3, 0.1567232,0.035302,14415, Foreign,
11-26-2022-11-20-01.128,3, 0.8215724,0.040827,6075, Foreign,
11-26-2022-11-19-57.771,3, 4.2157237,0.040853,1905, Foreign,
11-26-2022-11-20-02.152,3, 0.1827556,0.03964,14415, Foreign,
11-26-2022-11-20-00.927,3, 1.1194671999999999,0.066474,6075, Foreign,
11-26-2022-11-20-02.256,3, 0.1283892,0.041812,14415, Foreign,
11-26-2022-11-20-02.048,3, 0.3866738,0.035414,14415, Foreign,
11-26-2022-11-20-00.505,3, 1.9827664999999999,0.050699,14415, Foreign,
11-26-2022-11-20-02.459,3, 0.116514,0.038725,14415, Foreign,
11-26-2022-11-20-02.359,3, 0.4036982,0.042319,14415, Foreign,
11-26-2022-11-20-02.777,3, 0.1254585,0.041977,14415, Foreign,
11-26-2022-11-20-02.565,3, 0.3891559,0.035536,14415, Foreign,
11-26-2022-11-20-02.978,3, 0.107254,0.034414,14415, Foreign,
11-26-2022-11-20-03.078,3, 0.1435967,0.037416,14415, Foreign,
11-26-2022-11-20-03.483,3, 0.1138728,0.03571,14415, Foreign,
11-26-2022-11-20-03.584,3, 0.1090577,0.035943,14415, Foreign,
11-26-2022-11-20-03.785,3, 0.1137007,0.035157,14415, Foreign,
11-26-2022-11-20-03.685,3, 0.25374,0.042171,14415, Foreign,
11-26-2022-11-20-03.886,3, 0.1400745,0.046392,14415, Foreign,
11-26-2022-11-20-02.878,3, 0.8487187,0.046064,6075, Foreign,
11-26-2022-11-20-03.986,3, 0.1281287,0.043071,14415, Foreign,
11-26-2022-11-20-03.181,3, 0.9971438,0.053712,14415, Foreign,
11-26-2022-11-20-04.088,3, 0.1258646,0.037981,14415, Foreign,
11-26-2022-11-20-04.189,3, 0.1089685,0.033084,14415, Foreign,
