Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-30-32.944,1, 0.0884116,0.038827,608768, SelfUp,
11-26-2022-11-30-32.944,1, 0.1300909,0.033761,155105, SelfDown,
11-26-2022-11-30-33.051,1, 0.0356013,0.036401,608768, SelfUp,
11-26-2022-11-30-33.051,1, 0.1041935,0.02968,156211, SelfDown,
11-26-2022-11-30-33.155,1, 0.0280487,0.035993,608768, SelfUp,
11-26-2022-11-30-33.155,1, 0.0851532,0.033778,158163, SelfDown,
11-26-2022-11-30-33.255,1, 0.0862955,0.035533,608768, SelfUp,
11-26-2022-11-30-33.255,1, 0.1084659,0.035699,158733, SelfDown,
11-26-2022-11-30-33.355,1, 0.0286048,0.024734,159200, SelfDown,
11-26-2022-11-30-33.355,1, 0.0356033,0.032221,608768, SelfUp,
11-26-2022-11-30-33.464,1, 0.1074031,0.034904,161821, SelfDown,
11-26-2022-11-30-33.566,1, 0.1117626,0.028928,163087, SelfDown,
11-26-2022-11-30-33.677,1, 0.1025012,0.030589,168835, SelfDown,
11-26-2022-11-30-33.464,1, 0.3268911,0.039227,608768, SelfUp,
11-26-2022-11-30-33.780,1, 0.0654839,0.035816,169541, SelfDown,
11-26-2022-11-30-33.566,1, 0.3802244,0.037384,608768, SelfUp,
11-26-2022-11-30-33.677,1, 0.268966,0.037384,608768, SelfUp,
11-26-2022-11-30-33.780,1, 0.1659606,0.037384,608768, SelfUp,
11-26-2022-11-30-33.880,1, 0.0657602,0.037384,608768, SelfUp,
11-26-2022-11-30-33.880,1, 0.1064887,0.035013,171129, SelfDown,
11-26-2022-11-30-33.983,1, 0.0374141,0.036789,608768, SelfUp,
11-26-2022-11-30-33.983,1, 0.1103406,0.034811,172905, SelfDown,
11-26-2022-11-30-34.088,1, 0.1461011,0.03081,174062, SelfDown,
11-26-2022-11-30-34.188,1, 0.0835948,0.031979,174781, SelfDown,
11-26-2022-11-30-34.288,1, 0.0920847,0.03548,176355, SelfDown,
11-26-2022-11-30-34.088,1, 0.3100825,0.038847,608768, SelfUp,
11-26-2022-11-30-34.188,1, 0.2446826,0.038049,608768, SelfUp,
11-26-2022-11-30-34.390,1, 0.0417812,0.038049,608768, SelfUp,
11-26-2022-11-30-34.288,1, 0.1446683,0.038049,608768, SelfUp,
11-26-2022-11-30-34.391,1, 0.0740296,0.035499,176977, SelfDown,
11-26-2022-11-30-34.493,1, 0.0336951,0.034904,608768, SelfUp,
11-26-2022-11-30-34.493,1, 0.1108066,0.03574,178712, SelfDown,
11-26-2022-11-30-34.595,1, 0.0308455,0.034653,608768, SelfUp,
11-26-2022-11-30-34.595,1, 0.087191,0.030259,180227, SelfDown,
11-26-2022-11-30-34.697,1, 0.0343136,0.037054,608768, SelfUp,
11-26-2022-11-30-34.809,1, 0.0236179,0.037681,608768, SelfUp,
11-26-2022-11-30-34.697,1, 0.1403995,0.03164,181558, SelfDown,
11-26-2022-11-30-34.809,1, 0.0397535,0.03164,181558, SelfDown,
11-26-2022-11-30-34.911,1, 0.0372461,0.03515,608768, SelfUp,
11-26-2022-11-30-34.911,1, 0.1232659,0.037185,198956, SelfDown,
11-26-2022-11-30-35.014,1, 0.0358283,0.036675,608768, SelfUp,
11-26-2022-11-30-35.114,1, 0.0283097,0.03224,608768, SelfUp,
11-26-2022-11-30-35.014,1, 0.1373044,0.026113,200322, SelfDown,
11-26-2022-11-30-35.114,1, 0.0462077,0.026278,200445, SelfDown,
11-26-2022-11-30-35.215,1, 0.0357873,0.029592,608768, SelfUp,
11-26-2022-11-30-35.215,1, 0.1284656,0.032362,202427, SelfDown,
11-26-2022-11-30-35.317,1, 0.0372886,0.031829,608768, SelfUp,
11-26-2022-11-30-35.317,1, 0.1741201,0.03407,203588, SelfDown,
11-26-2022-11-30-35.421,1, 0.0860384,0.03407,203588, SelfDown,
11-26-2022-11-30-35.421,1, 0.0987929,0.039348,608768, SelfUp,
11-26-2022-11-30-35.521,1, 0.0402856,0.038353,608768, SelfUp,
11-26-2022-11-30-35.521,1, 0.1274356,0.035902,205747, SelfDown,
11-26-2022-11-30-35.629,1, 0.0375432,0.037906,608768, SelfUp,
11-26-2022-11-30-35.729,1, 0.0228083,0.029056,608768, SelfUp,
11-26-2022-11-30-35.629,1, 0.1228405,0.023677,222940, SelfDown,
11-26-2022-11-30-35.729,1, 0.0469486,0.023677,222940, SelfDown,
11-26-2022-11-30-35.829,1, 0.032229,0.033888,608768, SelfUp,
11-26-2022-11-30-35.829,1, 0.1036751,0.034411,224089, SelfDown,
11-26-2022-11-30-35.929,1, 0.1116508,0.034739,225419, SelfDown,
11-26-2022-11-30-36.030,1, 0.11869,0.027348,242326, SelfDown,
11-26-2022-11-30-36.130,1, 0.0337116,0.028166,242328, SelfDown,
11-26-2022-11-30-36.235,1, 0.0627878,0.033042,243800, SelfDown,
11-26-2022-11-30-36.335,1, 0.0653979,0.036239,245388, SelfDown,
11-26-2022-11-30-36.435,1, 0.0172978,0.019972,285001, SelfDown,
11-26-2022-11-30-36.536,1, 0.0578345,0.038389,300419, SelfDown,
11-26-2022-11-30-36.637,1, 0.0988736,0.035077,301978, SelfDown,
11-26-2022-11-30-36.745,1, 0.0877627,0.02928,302876, SelfDown,
11-26-2022-11-30-36.847,1, 0.1192622,0.036069,303763, SelfDown,
11-26-2022-11-30-36.952,1, 0.0568079,0.027133,304250, SelfDown,
11-26-2022-11-30-37.052,1, 0.1011826,0.038318,305774, SelfDown,
11-26-2022-11-30-37.153,1, 0.0809864,0.035531,306305, SelfDown,
11-26-2022-11-30-37.255,1, 0.0862845,0.036458,307461, SelfDown,
11-26-2022-11-30-37.356,1, 0.1287248,0.03415,308474, SelfDown,
11-26-2022-11-30-37.461,1, 0.083499,0.032806,308865, SelfDown,
11-26-2022-11-30-37.562,1, 0.0797334,0.036238,309897, SelfDown,
11-26-2022-11-30-35.929,1, 1.8053586,0.035811,608768, SelfUp,
11-26-2022-11-30-37.663,1, 0.0941929,0.036884,310838, SelfDown,
11-26-2022-11-30-36.130,1, 1.6409492,0.035811,608768, SelfUp,
11-26-2022-11-30-36.030,1, 1.7412568,0.035811,608768, SelfUp,
11-26-2022-11-30-36.235,1, 1.5365924,0.035811,608768, SelfUp,
11-26-2022-11-30-36.435,1, 1.3359721,0.035811,608768, SelfUp,
11-26-2022-11-30-36.335,1, 1.4363326,0.035811,608768, SelfUp,
11-26-2022-11-30-36.536,1, 1.2349587,0.035811,608768, SelfUp,
11-26-2022-11-30-36.637,1, 1.1347728,0.035811,608768, SelfUp,
11-26-2022-11-30-36.745,1, 1.0264968,0.035811,608768, SelfUp,
11-26-2022-11-30-36.847,1, 0.9244661,0.035811,608768, SelfUp,
11-26-2022-11-30-36.952,1, 0.8198081,0.035811,608768, SelfUp,
11-26-2022-11-30-37.052,1, 0.7189493,0.035811,608768, SelfUp,
11-26-2022-11-30-37.153,1, 0.6187957,0.035811,608768, SelfUp,
11-26-2022-11-30-37.255,1, 0.5163265,0.035811,608768, SelfUp,
11-26-2022-11-30-37.356,1, 0.4149314,0.035811,608768, SelfUp,
11-26-2022-11-30-37.461,1, 0.3100521,0.035811,608768, SelfUp,
11-26-2022-11-30-37.663,1, 0.1087905,0.035811,608768, SelfUp,
11-26-2022-11-30-37.562,1, 0.2095553,0.035811,608768, SelfUp,
11-26-2022-11-30-37.763,1, 0.082611,0.041615,608768, SelfUp,
11-26-2022-11-30-37.763,1, 0.1150203,0.037071,311929, SelfDown,
11-26-2022-11-30-37.863,1, 0.043892,0.040395,608768, SelfUp,
11-26-2022-11-30-37.864,1, 0.0440016,0.037783,311930, SelfDown,
11-26-2022-11-30-37.964,1, 0.0340918,0.034239,608768, SelfUp,
11-26-2022-11-30-37.964,1, 0.1091058,0.031412,313536, SelfDown,
11-26-2022-11-30-38.069,1, 0.0681629,0.035454,314290, SelfDown,
11-26-2022-11-30-38.069,1, 0.075698,0.035512,608768, SelfUp,
11-26-2022-11-30-38.170,1, 0.0482841,0.038156,608768, SelfUp,
11-26-2022-11-30-38.170,1, 0.0990062,0.037627,314753, SelfDown,
11-26-2022-11-30-38.270,1, 0.0249978,0.031433,608768, SelfUp,
11-26-2022-11-30-38.270,1, 0.0299979,0.026784,315663, SelfDown,
11-26-2022-11-30-38.371,1, 0.0280009,0.034138,608768, SelfUp,
11-26-2022-11-30-38.371,1, 0.0290023,0.029724,316091, SelfDown,
11-26-2022-11-30-38.471,1, 0.036942,0.032948,316447, SelfDown,
11-26-2022-11-30-38.471,1, 0.036942,0.033693,608768, SelfUp,
11-26-2022-11-30-38.571,1, 0.0360677,0.037805,608768, SelfUp,
11-26-2022-11-30-38.679,1, 0.0313362,0.038764,608768, SelfUp,
11-26-2022-11-30-38.571,1, 0.1625782,0.036212,317518, SelfDown,
11-26-2022-11-30-38.781,1, 0.0376403,0.036869,608768, SelfUp,
11-26-2022-11-30-38.679,1, 0.1986027,0.034233,318063, SelfDown,
