Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-41-21.622,1.3837024012438206e+07, 20, 
11-26-2022-11-41-22.623,8.004417538956436e+06, 20, 
11-26-2022-11-41-23.623,1.0451002129194599e+07, 20, 
11-26-2022-11-41-24.623,1.1648301805288073e+07, 20, 
11-26-2022-11-41-25.624,1.257741315496865e+07, 20, 
11-26-2022-11-41-26.624,1.4201120679545814e+07, 20, 
11-26-2022-11-41-27.627,1.20694205883124e+07, 20, 
11-26-2022-11-41-28.628,1.18658471203314e+07, 20, 
11-26-2022-11-41-29.629,1.2626167579740262e+07, 20, 
11-26-2022-11-41-30.629,1.3300087965396078e+07, 20, 
11-26-2022-11-41-31.630,1.2135067444062497e+07, 20, 
11-26-2022-11-41-32.631,1.2599127266597142e+07, 20, 
11-26-2022-11-41-33.631,1.0102072733443085e+07, 20, 
11-26-2022-11-41-34.633,1.119080534331173e+07, 20, 
11-26-2022-11-41-35.633,8.631686998018418e+06, 20, 
11-26-2022-11-41-36.634,1.015453911221157e+07, 20, 
11-26-2022-11-41-37.634,7.500390608576693e+06, 20, 
11-26-2022-11-41-38.637,9.511441697817635e+06, 20, 
11-26-2022-11-41-39.638,1.2919269547322338e+07, 20, 
11-26-2022-11-41-40.639,1.2463024420646029e+07, 20, 
11-26-2022-11-41-41.643,1.2337162613876406e+07, 20, 
11-26-2022-11-41-42.643,1.0973714640113425e+07, 20, 
11-26-2022-11-41-43.644,1.265490043413929e+07, 20, 
11-26-2022-11-41-44.645,1.2979330192256745e+07, 20, 
11-26-2022-11-41-45.645,1.0366535604019681e+07, 20, 
11-26-2022-11-41-46.648,1.1458271956655405e+07, 20, 
11-26-2022-11-41-47.649,1.1565658959269924e+07, 20, 
11-26-2022-11-41-48.649,1.2793957520018784e+07, 20, 
11-26-2022-11-41-49.650,1.2712214459747203e+07, 20, 
11-26-2022-11-41-50.653,1.3017817736068452e+07, 20, 
11-26-2022-11-41-51.653,1.2671167763963176e+07, 20, 
11-26-2022-11-41-52.654,1.174443417142016e+07, 20, 
11-26-2022-11-41-53.654,1.3294293274303583e+07, 20, 
11-26-2022-11-41-54.655,1.200427054957087e+07, 20, 
11-26-2022-11-41-55.655,1.2054091840989534e+07, 20, 
11-26-2022-11-41-56.658,1.2128633924947822e+07, 20, 
11-26-2022-11-41-57.658,9.806621807157403e+06, 20, 
11-26-2022-11-41-58.659,1.1890453496836452e+07, 20, 
11-26-2022-11-41-59.660,1.1065512170822116e+07, 20, 
11-26-2022-11-42-00.665,1.0493192047674412e+07, 20, 
11-26-2022-11-42-01.674,1.1972155214551784e+07, 20, 
11-26-2022-11-42-02.674,1.0385409035879025e+07, 20, 
