Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-58-22.206,3, 0.0989013,0.033725,14415, Foreign,
11-26-2022-11-58-20.898,3, 1.1306398,0.049431,6075, Foreign,
11-26-2022-11-58-22.411,3, 0.112964,0.033019,14415, Foreign,
11-26-2022-11-58-22.310,3, 0.2934768,0.031667,14415, Foreign,
11-26-2022-11-58-22.511,3, 0.1022798,0.033166,14415, Foreign,
11-26-2022-11-58-20.396,3, 1.9208717,0.030005,6075, Foreign,
11-26-2022-11-58-19.794,3, 2.5284507,0.052612,6075, Foreign,
11-26-2022-11-58-22.613,3, 0.1452902,0.030953,14415, Foreign,
11-26-2022-11-58-22.813,3, 0.106004,0.032035,14415, Foreign,
11-26-2022-11-58-14.258,3, 8.7312679,0.049269,14415, Foreign,
11-26-2022-11-58-22.914,3, 0.0896958,0.02865,14415, Foreign,
11-26-2022-11-58-23.014,3, 0.1428169,0.037847,14415, Foreign,
11-26-2022-11-58-23.216,3, 0.1037024,0.034361,14415, Foreign,
11-26-2022-11-58-22.713,3, 0.6676462,0.033863,14415, Foreign,
11-26-2022-11-58-23.317,3, 0.1027576,0.02371,14415, Foreign,
11-26-2022-11-58-22.105,3, 1.0285342,0.033898,6075, Foreign,
11-26-2022-11-58-23.116,3, 0.4156944,0.033109,14415, Foreign,
11-26-2022-11-58-23.417,3, 0.1585588,0.049575,14415, Foreign,
11-26-2022-11-58-23.617,3, 0.1044625,0.039286,14415, Foreign,
11-26-2022-11-58-23.718,3, 0.1112278,0.03611,14415, Foreign,
11-26-2022-11-58-21.400,3, 2.2095021,0.050869,6075, Foreign,
11-26-2022-11-58-23.818,3, 0.1262376,0.041495,14415, Foreign,
11-26-2022-11-58-23.918,3, 0.1946573,0.042224,14415, Foreign,
11-26-2022-11-58-24.018,3, 0.1321316,0.042615,14415, Foreign,
11-26-2022-11-58-24.119,3, 0.1689328,0.04215,14415, Foreign,
11-26-2022-11-58-24.219,3, 0.1349159,0.044523,14415, Foreign,
11-26-2022-11-58-24.319,3, 0.1260386,0.040623,14415, Foreign,
11-26-2022-11-58-24.421,3, 0.106535,0.037782,14415, Foreign,
11-26-2022-11-58-24.521,3, 0.3300258,0.045454,14415, Foreign,
11-26-2022-11-58-24.822,3, 0.1524142,0.042031,14415, Foreign,
11-26-2022-11-58-25.134,3, 0.1533215,0.035067,14415, Foreign,
11-26-2022-11-58-25.234,3, 0.1218569,0.03935,14415, Foreign,
11-26-2022-11-58-25.034,3, 0.6234074,0.035928,14415, Foreign,
11-26-2022-11-58-25.539,3, 0.1225096,0.036797,14415, Foreign,
11-26-2022-11-58-25.639,3, 0.1197078,0.040504,14415, Foreign,
11-26-2022-11-58-24.621,3, 0.8319564,0.041152,6075, Foreign,
11-26-2022-11-58-24.721,3, 0.8197965,0.041284,6075, Foreign,
11-26-2022-11-58-23.517,3, 2.4092045,0.055124,14415, Foreign,
11-26-2022-11-58-25.435,3, 0.5239287,0.046734,14415, Foreign,
11-26-2022-11-58-25.840,3, 0.144002,0.040219,14415, Foreign,
11-26-2022-11-58-25.944,3, 0.1160541,0.035209,14415, Foreign,
11-26-2022-11-58-26.046,3, 0.1269888,0.037752,14415, Foreign,
11-26-2022-11-58-26.147,3, 0.121843,0.04083,14415, Foreign,
11-26-2022-11-58-25.335,3, 1.0472402,0.040076,14415, Foreign,
11-26-2022-11-58-26.247,3, 0.5289464,0.037524,14415, Foreign,
11-26-2022-11-58-26.655,3, 0.120505,0.035378,14415, Foreign,
11-26-2022-11-58-26.353,3, 0.5567236,0.0376,14415, Foreign,
11-26-2022-11-58-26.453,3, 0.6947595,0.034004,14415, Foreign,
11-26-2022-11-58-27.058,3, 0.136621,0.046013,14415, Foreign,
11-26-2022-11-58-26.755,3, 0.5469169,0.053057,14415, Foreign,
11-26-2022-11-58-27.158,3, 0.1446394,0.049083,14415, Foreign,
11-26-2022-11-58-26.857,3, 0.4971495,0.040466,14415, Foreign,
11-26-2022-11-58-26.554,3, 0.9939347,0.04423,14415, Foreign,
11-26-2022-11-58-27.460,3, 0.1082449,0.034279,14415, Foreign,
11-26-2022-11-58-27.560,3, 0.1152828,0.038854,14415, Foreign,
