Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-58-14.252,1.2249774975217352e+07, 40, 
11-26-2022-11-58-15.253,1.0365926354157792e+07, 40, 
11-26-2022-11-58-16.255,1.1592371078629594e+07, 40, 
11-26-2022-11-58-17.255,1.1825686103345675e+07, 40, 
11-26-2022-11-58-18.256,1.1643504978640122e+07, 40, 
11-26-2022-11-58-19.258,1.2033754649859967e+07, 40, 
11-26-2022-11-58-20.257,1.2117677988066498e+07, 40, 
11-26-2022-11-58-21.259,1.2659392473315248e+07, 40, 
11-26-2022-11-58-22.259,1.0252943112291513e+07, 40, 
11-26-2022-11-58-23.259,9.699043818016136e+06, 40, 
11-26-2022-11-58-24.260,1.5323318578323126e+07, 40, 
11-26-2022-11-58-25.260,1.2054978574479079e+07, 40, 
11-26-2022-11-58-26.261,1.0752330333436184e+07, 40, 
11-26-2022-11-58-27.261,1.2631289701941269e+07, 40, 
11-26-2022-11-58-28.262,1.0693404228545304e+07, 40, 
11-26-2022-11-58-29.262,1.1369139661638368e+07, 40, 
11-26-2022-11-58-30.262,1.2513156563606756e+07, 40, 
11-26-2022-11-58-31.262,1.3318614444086023e+07, 40, 
11-26-2022-11-58-32.263,1.3661128617455449e+07, 40, 
11-26-2022-11-58-33.263,1.1478115776304951e+07, 40, 
11-26-2022-11-58-34.264,1.2557573194554962e+07, 40, 
11-26-2022-11-58-35.264,1.0125080135664897e+07, 40, 
11-26-2022-11-58-36.264,1.2074698887708476e+07, 40, 
11-26-2022-11-58-37.265,1.11610411911201e+07, 40, 
11-26-2022-11-58-38.265,1.3776012676581178e+07, 40, 
11-26-2022-11-58-39.267,1.0470634121947434e+07, 40, 
11-26-2022-11-58-40.269,1.216745025070663e+07, 40, 
11-26-2022-11-58-41.269,1.0992338323998123e+07, 40, 
11-26-2022-11-58-42.269,1.3874460620861271e+07, 40, 
11-26-2022-11-58-43.270,1.3877546535810344e+07, 40, 
11-26-2022-11-58-44.272,9.67886590586815e+06, 40, 
11-26-2022-11-58-45.272,1.3014283771991145e+07, 40, 
11-26-2022-11-58-46.273,1.2899136277072333e+07, 40, 
11-26-2022-11-58-47.273,1.1579606515895871e+07, 40, 
11-26-2022-11-58-48.273,1.4530906430856949e+07, 40, 
11-26-2022-11-58-49.274,9.868149353422118e+06, 40, 
11-26-2022-11-58-50.275,1.1823430872010969e+07, 40, 
11-26-2022-11-58-51.275,1.3395710190100156e+07, 40, 
11-26-2022-11-58-52.276,1.256845576218233e+07, 40, 
11-26-2022-11-58-53.277,1.2476571840077808e+07, 40, 
11-26-2022-11-58-54.277,1.4952057950675555e+07, 40, 
11-26-2022-11-58-55.279,1.1651498441160941e+07, 40, 
11-26-2022-11-58-56.279,1.367839537531891e+07, 40, 
11-26-2022-11-58-57.280,1.1508186153230364e+07, 40, 
11-26-2022-11-58-58.281,1.0307304242584018e+07, 40, 
11-26-2022-11-58-59.281,1.1711452951531954e+07, 40, 
11-26-2022-11-59-00.282,1.3462170242928153e+07, 40, 
