Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-30-38.170,3, 0.1170063,0.040115,14415, Foreign,
11-26-2022-11-30-37.863,3, 0.5037215,0.03995,14415, Foreign,
11-26-2022-11-30-38.270,3, 0.1041057,0.029007,14415, Foreign,
11-26-2022-11-30-37.562,3, 0.8706478,0.037554,14415, Foreign,
11-26-2022-11-30-38.371,3, 0.108225,0.030398,14415, Foreign,
11-26-2022-11-30-38.571,3, 0.1184017,0.040353,14415, Foreign,
11-26-2022-11-30-38.471,3, 0.2400586,0.049214,14415, Foreign,
11-26-2022-11-30-37.763,3, 0.8142391,0.035675,6075, Foreign,
11-26-2022-11-30-38.781,3, 0.110136,0.037548,14415, Foreign,
11-26-2022-11-30-38.679,3, 0.3950023,0.0333,14415, Foreign,
11-26-2022-11-30-38.881,3, 0.3688427,0.0328,14415, Foreign,
11-26-2022-11-30-39.090,3, 0.1627257,0.032114,14415, Foreign,
11-26-2022-11-30-39.195,3, 0.1601881,0.036023,14415, Foreign,
11-26-2022-11-30-39.301,3, 0.100463,0.034019,14415, Foreign,
11-26-2022-11-30-39.501,3, 0.1335761,0.038785,14415, Foreign,
11-26-2022-11-30-39.601,3, 0.1383202,0.041272,14415, Foreign,
11-26-2022-11-30-39.803,3, 0.1631412,0.036291,14415, Foreign,
11-26-2022-11-30-39.908,3, 0.1309069,0.042537,14415, Foreign,
11-26-2022-11-30-39.702,3, 0.4579862,0.047162,14415, Foreign,
11-26-2022-11-30-38.984,3, 1.0976367,0.03602,6106, Foreign,
11-26-2022-11-30-40.211,3, 0.2542549,0.042045,14415, Foreign,
11-26-2022-11-30-40.008,3, 0.4723641,0.043273,14415, Foreign,
11-26-2022-11-30-40.515,3, 0.1047613,0.034391,14415, Foreign,
11-26-2022-11-30-40.111,3, 0.553184,0.036081,14415, Foreign,
11-26-2022-11-30-40.616,3, 0.1100494,0.035375,14415, Foreign,
11-26-2022-11-30-40.716,3, 0.1031108,0.038359,14415, Foreign,
11-26-2022-11-30-40.816,3, 0.1758719,0.036512,14415, Foreign,
11-26-2022-11-30-40.916,3, 0.1328241,0.045845,14415, Foreign,
11-26-2022-11-30-41.219,3, 0.1650899,0.035814,14415, Foreign,
11-26-2022-11-30-41.118,3, 0.2964348,0.045168,14415, Foreign,
11-26-2022-11-30-41.017,3, 0.403867,0.038282,14415, Foreign,
11-26-2022-11-30-41.320,3, 0.1220743,0.040184,14415, Foreign,
11-26-2022-11-30-41.421,3, 0.1226801,0.042483,14415, Foreign,
11-26-2022-11-30-40.413,3, 0.8390055,0.038959,6075, Foreign,
11-26-2022-11-30-40.313,3, 1.2211842,0.052662,6075, Foreign,
11-26-2022-11-30-41.728,3, 0.1816142,0.038143,14415, Foreign,
11-26-2022-11-30-41.834,3, 0.1199043,0.04083,14415, Foreign,
11-26-2022-11-30-42.136,3, 0.111731,0.036629,14415, Foreign,
11-26-2022-11-30-42.036,3, 0.277386,0.054514,14415, Foreign,
11-26-2022-11-30-42.238,3, 0.1007038,0.032564,14415, Foreign,
11-26-2022-11-30-42.339,3, 0.1134863,0.036296,14415, Foreign,
11-26-2022-11-30-31.112,3, 11.0900702,0.048985,6075, Foreign,
11-26-2022-11-30-42.439,3, 0.1395105,0.046211,14415, Foreign,
11-26-2022-11-30-39.401,3, 2.97261,0.048709,1905, Foreign,
11-26-2022-11-30-41.628,3, 0.8827166,0.040976,6075, Foreign,
11-26-2022-11-30-42.642,3, 0.4018476,0.036845,14415, Foreign,
11-26-2022-11-30-42.541,3, 0.5082228,0.038565,14415, Foreign,
11-26-2022-11-30-41.935,3, 0.8218383,0.039168,6075, Foreign,
11-26-2022-11-30-43.044,3, 0.1057604,0.034027,14415, Foreign,
11-26-2022-11-30-43.146,3, 0.116575,0.039651,14415, Foreign,
11-26-2022-11-30-43.247,3, 0.1340486,0.039575,14415, Foreign,
11-26-2022-11-30-42.944,3, 0.4573686,0.035554,14415, Foreign,
11-26-2022-11-30-42.843,3, 0.6320096,0.037721,14415, Foreign,
11-26-2022-11-30-43.349,3, 0.2178201,0.043362,14415, Foreign,
11-26-2022-11-30-43.449,3, 0.1326432,0.044032,14415, Foreign,
11-26-2022-11-30-43.550,3, 0.1346439,0.038551,14415, Foreign,
11-26-2022-11-30-42.743,3, 0.9824256,0.035435,14415, Foreign,
11-26-2022-11-30-41.524,3, 1.9170921,0.036107,6075, Foreign,
11-26-2022-11-30-43.856,3, 0.1052481,0.033777,14415, Foreign,
11-26-2022-11-30-43.651,3, 0.3992411,0.046588,14415, Foreign,
11-26-2022-11-30-43.957,3, 0.1170952,0.036591,14415, Foreign,
11-26-2022-11-30-44.059,3, 0.1091837,0.035003,14415, Foreign,
11-26-2022-11-30-43.755,3, 0.4637107,0.034041,14415, Foreign,
11-26-2022-11-30-44.159,3, 0.1454421,0.033375,14415, Foreign,
11-26-2022-11-30-44.460,3, 0.1135554,0.037156,14415, Foreign,
11-26-2022-11-30-44.562,3, 0.1111108,0.036442,14415, Foreign,
11-26-2022-11-30-44.663,3, 0.1047595,0.035883,14415, Foreign,
11-26-2022-11-30-44.964,3, 0.1218264,0.035573,14415, Foreign,
11-26-2022-11-30-45.165,3, 0.1565655,0.039837,14415, Foreign,
11-26-2022-11-30-45.064,3, 0.2577475,0.035424,14415, Foreign,
11-26-2022-11-30-44.864,3, 0.4609192,0.038414,14415, Foreign,
11-26-2022-11-30-44.359,3, 1.0899635,0.036227,14415, Foreign,
11-26-2022-11-30-45.268,3, 0.383726,0.038212,14415, Foreign,
11-26-2022-11-30-44.259,3, 1.1453726,0.032157,6075, Foreign,
11-26-2022-11-30-45.573,3, 0.1318474,0.041196,14415, Foreign,
11-26-2022-11-30-45.367,3, 0.3778192,0.030968,14415, Foreign,
11-26-2022-11-30-44.763,3, 0.9317944,0.039819,6075, Foreign,
11-26-2022-11-30-45.880,3, 0.1593114,0.034948,14415, Foreign,
11-26-2022-11-30-45.981,3, 0.1072287,0.032724,14415, Foreign,
11-26-2022-11-30-45.673,3, 0.4216038,0.041413,14415, Foreign,
11-26-2022-11-30-46.081,3, 0.1154962,0.042665,14415, Foreign,
11-26-2022-11-30-46.182,3, 0.1057865,0.035859,14415, Foreign,
11-26-2022-11-30-46.384,3, 0.1374095,0.042645,14415, Foreign,
11-26-2022-11-30-45.473,3, 0.8433565,0.046325,6075, Foreign,
11-26-2022-11-30-46.585,3, 0.1348793,0.042452,14415, Foreign,
11-26-2022-11-30-46.989,3, 0.2296621,0.035443,14415, Foreign,
11-26-2022-11-30-46.685,3, 0.5919149,0.043203,14415, Foreign,
11-26-2022-11-30-46.284,3, 0.8200577,0.038991,6075, Foreign,
11-26-2022-11-30-46.787,3, 0.9413134,0.035429,14415, Foreign,
11-26-2022-11-30-47.290,3, 0.5215655,0.035871,14415, Foreign,
11-26-2022-11-30-47.695,3, 0.1235126,0.039737,14415, Foreign,
11-26-2022-11-30-47.390,3, 0.4480203,0.035941,14415, Foreign,
11-26-2022-11-30-46.888,3, 0.9819835,0.043732,14415, Foreign,
11-26-2022-11-30-47.896,3, 0.1481113,0.041028,14415, Foreign,
11-26-2022-11-30-47.090,3, 0.9922075,0.040079,14415, Foreign,
11-26-2022-11-30-47.795,3, 0.5205724,0.037796,14415, Foreign,
11-26-2022-11-30-48.216,3, 0.1108362,0.038418,14415, Foreign,
11-26-2022-11-30-48.316,3, 0.1463834,0.034439,14415, Foreign,
11-26-2022-11-30-48.417,3, 0.1018873,0.034343,14415, Foreign,
11-26-2022-11-30-46.484,3, 2.0493936,0.046699,14415, Foreign,
11-26-2022-11-30-48.098,3, 0.4375862,0.046986,14415, Foreign,
11-26-2022-11-30-47.595,3, 0.9733394,0.039163,14415, Foreign,
11-26-2022-11-30-47.494,3, 0.8298932,0.043176,6075, Foreign,
11-26-2022-11-30-48.517,3, 0.1094226,0.034543,14415, Foreign,
11-26-2022-11-30-47.997,3, 0.6310935,0.03783,14415, Foreign,
11-26-2022-11-30-48.617,3, 0.1154562,0.036761,14415, Foreign,
11-26-2022-11-30-48.719,3, 0.1050453,0.033895,14415, Foreign,
11-26-2022-11-30-49.125,3, 0.0995572,0.031613,14415, Foreign,
11-26-2022-11-30-49.225,3, 0.1008746,0.030846,14415, Foreign,
11-26-2022-11-30-49.628,3, 0.1136112,0.034214,14415, Foreign,
11-26-2022-11-30-49.327,3, 0.4261925,0.033102,14415, Foreign,
11-26-2022-11-30-49.733,3, 0.0882064,0.030492,14415, Foreign,
11-26-2022-11-30-49.527,3, 0.3650083,0.030088,14415, Foreign,
11-26-2022-11-30-49.944,3, 0.1458882,0.032458,14415, Foreign,
11-26-2022-11-30-48.921,3, 0.8708854,0.032238,6075, Foreign,
11-26-2022-11-30-49.024,3, 0.8018845,0.03125,6075, Foreign,
11-26-2022-11-30-49.843,3, 0.4442757,0.0385,14415, Foreign,
11-26-2022-11-30-50.245,3, 0.1124228,0.033058,14415, Foreign,
11-26-2022-11-30-50.346,3, 0.0984789,0.03458,14415, Foreign,
11-26-2022-11-30-50.654,3, 0.1021121,0.034928,14415, Foreign,
