Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-41-23.623,802663.1729318738, 3, Upload, 
11-26-2022-11-41-23.623,638854.3621294507, 4, Upload, 
11-26-2022-11-41-23.623,900948.4594133277, 5, Upload, 
11-26-2022-11-41-23.623,720758.7675306622, 6, Upload, 
11-26-2022-11-41-23.623,0, 7, Upload, 
11-26-2022-11-41-23.623,294855.8594443618, 8, Upload, 
11-26-2022-11-41-23.623,917329.3404935701, 9, Upload, 
11-26-2022-11-41-23.623,1.0975190323762356e+06, 10, Upload, 
11-26-2022-11-41-23.623,1.163042556697205e+06, 11, Upload, 
11-26-2022-11-41-23.623,0, 12, Upload, 
11-26-2022-11-41-23.623,900948.4594133277, 13, Upload, 
11-26-2022-11-41-23.623,704377.8864504199, 14, Upload, 
11-26-2022-11-41-23.623,98285.28648145394, 15, Upload, 
11-26-2022-11-41-23.623,376760.26484557346, 16, Upload, 
11-26-2022-11-41-23.623,98285.28648145394, 17, Upload, 
11-26-2022-11-41-23.623,573330.8378084813, 18, Upload, 
11-26-2022-11-41-23.623,704377.8864504199, 19, Upload, 
11-26-2022-11-41-23.623,3.7836235980669283e+06, 0, Download, 
11-26-2022-11-41-23.623,2.0147763865759962e+06, 1, Download, 
11-26-2022-11-41-23.623,1.4087557729008398e+06, 2, Download, 
11-26-2022-11-41-23.623,1.736229421918067e+06, 3, Download, 
11-26-2022-11-41-23.623,1.3546052831540875e+07, 4, Download, 
11-26-2022-11-41-23.623,7.650332935495948e+06, 5, Download, 
11-26-2022-11-41-23.623,360421.4729795887, 6, Download, 
11-26-2022-11-41-23.623,2.7193998521708804e+06, 7, Download, 
11-26-2022-11-41-23.623,1.7020643280654546e+07, 8, Download, 
11-26-2022-11-41-23.623,131062.35381075954, 9, Download, 
11-26-2022-11-41-23.623,3.718606310575542e+06, 10, Download, 
11-26-2022-11-41-23.623,0, 11, Download, 
11-26-2022-11-41-23.623,769991.3286382123, 12, Download, 
11-26-2022-11-41-23.623,2.1133804551984975e+06, 13, Download, 
11-26-2022-11-41-23.623,2.4081267618703265e+06, 14, Download, 
11-26-2022-11-41-23.623,1.8347289639482535e+06, 15, Download, 
11-26-2022-11-41-23.623,2.932304182412175e+06, 16, Download, 
11-26-2022-11-41-23.623,294890.296074209, 17, Download, 
11-26-2022-11-41-23.623,1.4645210112535719e+07, 18, Download, 
11-26-2022-11-41-23.623,491483.8267903483, 19, Download, 
11-26-2022-11-41-24.623,344042.6693545, 0, Upload, 
11-26-2022-11-41-24.623,720851.3072189525, 1, Upload, 
11-26-2022-11-41-24.623,835532.1970037858, 2, Upload, 
11-26-2022-11-41-24.623,835532.1970037858, 3, Upload, 
11-26-2022-11-41-24.623,540638.4804142143, 4, Upload, 
11-26-2022-11-41-24.623,950213.086788619, 5, Upload, 
11-26-2022-11-41-24.623,573404.4489241667, 6, Upload, 
11-26-2022-11-41-24.623,147446.85829478572, 7, Upload, 
11-26-2022-11-41-24.623,491489.52764928574, 8, Upload, 
11-26-2022-11-41-24.623,1.0648939765734524e+06, 9, Upload, 
11-26-2022-11-41-24.623,720851.3072189525, 10, Upload, 
11-26-2022-11-41-24.623,688085.338709, 11, Upload, 
11-26-2022-11-41-24.623,0, 12, Upload, 
11-26-2022-11-41-24.623,491489.52764928574, 13, Upload, 
11-26-2022-11-41-24.623,966596.0710435953, 14, Upload, 
11-26-2022-11-41-24.623,196595.8110597143, 15, Upload, 
11-26-2022-11-41-24.623,884681.1497687143, 16, Upload, 
11-26-2022-11-41-24.623,393191.6221194286, 17, Upload, 
11-26-2022-11-41-24.623,0, 18, Upload, 
11-26-2022-11-41-24.623,802766.2284938333, 19, Upload, 
11-26-2022-11-41-24.623,3.4238277226811936e+06, 0, Download, 
11-26-2022-11-41-24.623,1.965958110597143e+06, 1, Download, 
11-26-2022-11-41-24.623,1.3921936839915926e+06, 2, Download, 
11-26-2022-11-41-24.623,1.6710643940075715e+06, 3, Download, 
11-26-2022-11-41-24.623,1.1483752007375542e+07, 4, Download, 
11-26-2022-11-41-24.623,5.995884255176179e+06, 5, Download, 
11-26-2022-11-41-24.623,2.359005741644018e+06, 6, Download, 
11-26-2022-11-41-24.623,2.522763588657503e+06, 7, Download, 
11-26-2022-11-41-24.623,8.928006463599257e+06, 8, Download, 
11-26-2022-11-41-24.623,2.1624819261205806e+06, 9, Download, 
11-26-2022-11-41-24.623,2.850423273757027e+06, 10, Download, 
11-26-2022-11-41-24.623,851915.1812587619, 11, Download, 
11-26-2022-11-41-24.623,802550.2418850032, 12, Download, 
11-26-2022-11-41-24.623,2.0148190812169646e+06, 13, Download, 
11-26-2022-11-41-24.623,2.19531989016681e+06, 14, Download, 
11-26-2022-11-41-24.623,1.7856012927198512e+06, 15, Download, 
11-26-2022-11-41-24.623,2.7029764154622415e+06, 16, Download, 
11-26-2022-11-41-24.623,278510.73233459523, 17, Download, 
11-26-2022-11-41-24.623,8.944533438926786e+06, 18, Download, 
11-26-2022-11-41-24.623,442340.57488435716, 19, Download, 
11-26-2022-11-41-25.624,3.570007192855284e+06, 0, Download, 
11-26-2022-11-41-25.624,1.7029034905939125e+06, 1, Download, 
11-26-2022-11-41-25.624,1.1954373547884866e+06, 2, Download, 
11-26-2022-11-41-25.624,1.359061818173095e+06, 3, Download, 
11-26-2022-11-41-25.624,1.2478216523735823e+07, 4, Download, 
11-26-2022-11-41-25.624,4.977983625558906e+06, 5, Download, 
11-26-2022-11-41-25.624,2.227034340586296e+06, 6, Download, 
11-26-2022-11-41-25.624,2.6037736301688906e+06, 7, Download, 
11-26-2022-11-41-25.624,8.204293083064085e+06, 8, Download, 
11-26-2022-11-41-25.624,2.1124684288029275e+06, 9, Download, 
11-26-2022-11-41-25.624,2.538266269986762e+06, 10, Download, 
11-26-2022-11-41-25.624,835002.9367160678, 11, Download, 
11-26-2022-11-41-25.624,900726.2025042652, 12, Download, 
11-26-2022-11-41-25.624,1.997830548484203e+06, 13, Download, 
11-26-2022-11-41-25.624,2.3091344464200255e+06, 14, Download, 
11-26-2022-11-41-25.624,1.621235195972321e+06, 15, Download, 
11-26-2022-11-41-25.624,2.6856578303965507e+06, 16, Download, 
11-26-2022-11-41-25.624,278406.2807740456, 17, Download, 
11-26-2022-11-41-25.624,1.460713376111964e+07, 18, Download, 
11-26-2022-11-41-25.624,442174.6812293666, 19, Download, 
11-26-2022-11-41-25.624,818842.0022766048, 0, Upload, 
11-26-2022-11-41-25.624,409421.0011383024, 1, Upload, 
11-26-2022-11-41-25.624,736957.8020489443, 2, Upload, 
11-26-2022-11-41-25.624,736957.8020489443, 3, Upload, 
11-26-2022-11-41-25.624,655073.6018212838, 4, Upload, 
11-26-2022-11-41-25.624,655073.6018212838, 5, Upload, 
11-26-2022-11-41-25.624,1.3265240436880996e+06, 6, Upload, 
11-26-2022-11-41-25.624,196522.08054638514, 7, Upload, 
11-26-2022-11-41-25.624,98261.04027319257, 8, Upload, 
11-26-2022-11-41-25.624,818842.0022766048, 9, Upload, 
11-26-2022-11-41-25.624,671450.4418668159, 10, Upload, 
11-26-2022-11-41-25.624,1.064494602959586e+06, 11, Upload, 
11-26-2022-11-41-25.624,49130.520136596286, 12, Upload, 
11-26-2022-11-41-25.624,1.2446398434604392e+06, 13, Upload, 
11-26-2022-11-41-25.624,720580.9620034122, 14, Upload, 
11-26-2022-11-41-25.624,245652.60068298143, 15, Upload, 
11-26-2022-11-41-25.624,818842.0022766048, 16, Upload, 
11-26-2022-11-41-25.624,343913.640956174, 17, Upload, 
11-26-2022-11-41-25.624,245652.60068298143, 18, Upload, 
11-26-2022-11-41-25.624,720580.9620034122, 19, Upload, 
11-26-2022-11-41-26.624,753461.9968386475, 0, Upload, 
11-26-2022-11-41-26.624,507767.86743474077, 1, Upload, 
11-26-2022-11-41-26.624,950017.300361773, 2, Upload, 
11-26-2022-11-41-26.624,999156.1262425544, 3, Upload, 
11-26-2022-11-41-26.624,655184.3450770848, 4, Upload, 
11-26-2022-11-41-26.624,982776.5176156273, 5, Upload, 
11-26-2022-11-41-26.624,818980.431346356, 6, Upload, 
