Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-32-09.428,1.1827108476076674e+07, 100, 
11-26-2022-11-32-10.428,1.208852701909648e+07, 101, 
11-26-2022-11-32-11.431,1.1981351546914931e+07, 102, 
11-26-2022-11-32-12.430,1.265195508391308e+07, 103, 
11-26-2022-11-32-13.431,1.2762245195285372e+07, 104, 
11-26-2022-11-32-14.431,1.1628961759395503e+07, 105, 
11-26-2022-11-32-15.431,1.1286866039794967e+07, 106, 
11-26-2022-11-32-16.431,1.3106580058763219e+07, 107, 
11-26-2022-11-32-17.432,1.340484048899386e+07, 108, 
11-26-2022-11-32-18.432,1.1808885586445935e+07, 109, 
11-26-2022-11-32-19.433,1.174282402845179e+07, 110, 
11-26-2022-11-32-20.433,1.1823597175912676e+07, 111, 
11-26-2022-11-32-21.434,1.1511932648626259e+07, 112, 
11-26-2022-11-32-22.433,1.4669319501995148e+07, 113, 
11-26-2022-11-32-23.434,1.2051670186302505e+07, 114, 
11-26-2022-11-32-24.435,8.936521045318536e+06, 115, 
11-26-2022-11-32-25.436,1.0820506461885668e+07, 116, 
11-26-2022-11-32-26.436,1.2627619078084517e+07, 117, 
11-26-2022-11-32-27.437,1.1164977231671402e+07, 118, 
11-26-2022-11-32-28.439,1.1656361316515755e+07, 119, 
11-26-2022-11-32-29.440,1.2675743839466196e+07, 120, 
11-26-2022-11-32-30.440,1.1562338004274635e+07, 121, 
11-26-2022-11-32-31.440,1.2480681577575693e+07, 122, 
11-26-2022-11-32-32.444,1.3936087130823223e+07, 123, 
11-26-2022-11-32-33.445,1.0644606615036888e+07, 124, 
11-26-2022-11-32-34.445,1.340090189855856e+07, 125, 
11-26-2022-11-32-35.445,1.007300815574807e+07, 126, 
11-26-2022-11-32-36.445,9.746740206873074e+06, 127, 
11-26-2022-11-32-37.446,1.0333973031902328e+07, 128, 
11-26-2022-11-32-38.447,1.227944645162687e+07, 129, 
