Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-41-21.622,3.3080827975237727e+07, 20, 
11-26-2022-11-41-22.623,5.433709640625753e+07, 20, 
11-26-2022-11-41-23.623,7.958002014415771e+07, 20, 
11-26-2022-11-41-24.623,6.4773928016462974e+07, 20, 
11-26-2022-11-41-25.624,6.864674764193095e+07, 20, 
11-26-2022-11-41-26.624,6.862595338189831e+07, 20, 
11-26-2022-11-41-27.627,6.785520295054345e+07, 20, 
11-26-2022-11-41-28.628,6.513461050654568e+07, 20, 
11-26-2022-11-41-29.628,7.289586561651918e+07, 20, 
11-26-2022-11-41-30.629,6.432570849639826e+07, 20, 
11-26-2022-11-41-31.630,5.510725089412375e+07, 20, 
11-26-2022-11-41-32.631,6.677113208666454e+07, 20, 
11-26-2022-11-41-33.631,6.923648811916234e+07, 20, 
11-26-2022-11-41-34.633,6.756568396523164e+07, 20, 
11-26-2022-11-41-35.633,5.0131965011667386e+07, 20, 
11-26-2022-11-41-36.634,6.862056800793564e+07, 20, 
11-26-2022-11-41-37.634,6.943072542803867e+07, 20, 
11-26-2022-11-41-38.637,6.700104296422081e+07, 20, 
11-26-2022-11-41-39.638,6.876212825443467e+07, 20, 
11-26-2022-11-41-40.639,6.904024629163167e+07, 20, 
11-26-2022-11-41-41.643,5.593880056957129e+07, 20, 
11-26-2022-11-41-42.643,6.921032156652305e+07, 20, 
11-26-2022-11-41-43.644,6.882790674736287e+07, 20, 
11-26-2022-11-41-44.645,6.858320561739016e+07, 20, 
11-26-2022-11-41-45.645,6.422533499340689e+07, 20, 
11-26-2022-11-41-46.648,5.401871823647798e+07, 20, 
11-26-2022-11-41-47.649,6.848354288584815e+07, 20, 
11-26-2022-11-41-48.649,6.906603314972332e+07, 20, 
11-26-2022-11-41-49.650,6.766906846566957e+07, 20, 
11-26-2022-11-41-50.653,6.880730418428607e+07, 20, 
11-26-2022-11-41-51.654,6.770428300079581e+07, 20, 
11-26-2022-11-41-52.654,6.86713217996753e+07, 20, 
11-26-2022-11-41-53.654,6.901224793415353e+07, 20, 
11-26-2022-11-41-54.655,6.560119900047309e+07, 20, 
11-26-2022-11-41-55.655,6.912601393345286e+07, 20, 
11-26-2022-11-41-56.658,4.657397706105347e+07, 20, 
11-26-2022-11-41-57.658,6.936999902073838e+07, 20, 
11-26-2022-11-41-58.659,6.996221576101983e+07, 20, 
11-26-2022-11-41-59.660,6.5832063655660614e+07, 20, 
11-26-2022-11-42-00.665,5.891385630349068e+07, 20, 
11-26-2022-11-42-01.674,6.503875604680193e+07, 20, 
11-26-2022-11-42-02.674,6.917124634734492e+07, 20, 
