Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-38.298,1.3924183270023414e+06, 1, Upload, 
11-26-2022-11-30-38.298,1.0156463091075901e+06, 2, Upload, 
11-26-2022-11-30-38.298,1.0811718774371122e+06, 3, Upload, 
11-26-2022-11-30-38.298,1.0975532695194925e+06, 4, Upload, 
11-26-2022-11-30-38.298,1.179460229931395e+06, 5, Upload, 
11-26-2022-11-30-38.298,1.0975532695194925e+06, 6, Upload, 
11-26-2022-11-30-38.298,1.1958416220137754e+06, 7, Upload, 
11-26-2022-11-30-38.298,868213.7803661658, 8, Upload, 
11-26-2022-11-30-39.300,2.2676050840335842e+07, 0, Download, 
11-26-2022-11-30-39.300,1.5537295721167011e+07, 1, Download, 
11-26-2022-11-30-39.300,5.511602417768102e+06, 2, Download, 
11-26-2022-11-30-39.300,2.8130478495223173e+06, 3, Download, 
11-26-2022-11-30-39.300,1.14493281276533e+06, 4, Download, 
11-26-2022-11-30-39.300,2.894828764719841e+06, 5, Download, 
11-26-2022-11-30-39.300,866877.7010937498, 6, Download, 
11-26-2022-11-30-39.300,4.988276438261448e+06, 7, Download, 
11-26-2022-11-30-39.300,4.677508960510859e+06, 8, Download, 
11-26-2022-11-30-39.300,850521.5180542452, 9, Download, 
11-26-2022-11-30-39.300,1.4720564735554243e+06, 0, Upload, 
11-26-2022-11-30-39.300,1.030439531488797e+06, 1, Upload, 
11-26-2022-11-30-39.300,1.0467957145283017e+06, 2, Upload, 
11-26-2022-11-30-39.300,703315.8706987028, 3, Upload, 
11-26-2022-11-30-39.300,1.0631518975678065e+06, 4, Upload, 
11-26-2022-11-30-39.300,1.5211250226739384e+06, 5, Upload, 
11-26-2022-11-30-39.300,1.3902755583579007e+06, 6, Upload, 
11-26-2022-11-30-39.300,1.1122204466863205e+06, 7, Upload, 
11-26-2022-11-30-39.300,997727.1654097876, 8, Upload, 
11-26-2022-11-30-39.300,621534.9555011791, 9, Upload, 
11-26-2022-11-30-40.305,2.8209266147180633e+06, 0, Download, 
11-26-2022-11-30-40.305,1.434938405173229e+07, 1, Download, 
11-26-2022-11-30-40.305,8.332322429036808e+06, 2, Download, 
11-26-2022-11-30-40.305,3.75043569742941e+06, 3, Download, 
11-26-2022-11-30-40.305,1.646881541060066e+06, 4, Download, 
11-26-2022-11-30-40.305,3.195910116595475e+06, 5, Download, 
11-26-2022-11-30-40.305,798923.7861318532, 6, Download, 
11-26-2022-11-30-40.305,7.435047831782764e+06, 7, Download, 
11-26-2022-11-30-40.305,5.543691729258206e+06, 8, Download, 
11-26-2022-11-30-40.305,1.7120614358322807e+06, 9, Download, 
11-26-2022-11-30-40.305,1.3517125162609946e+07, 10, Download, 
11-26-2022-11-30-40.305,1.1903401505023427e+06, 0, Upload, 
11-26-2022-11-30-40.305,521792.9426859585, 1, Upload, 
11-26-2022-11-30-40.305,1.3860125040095772e+06, 2, Upload, 
11-26-2022-11-30-40.305,326120.58917872404, 3, Upload, 
11-26-2022-11-30-40.305,864219.5613236187, 4, Upload, 
11-26-2022-11-30-40.305,668547.2078163843, 5, Upload, 
11-26-2022-11-30-40.305,864219.5613236187, 6, Upload, 
11-26-2022-11-30-40.305,1.1414220621255343e+06, 7, Upload, 
11-26-2022-11-30-40.305,472874.8543091499, 8, Upload, 
11-26-2022-11-30-40.305,1.0925039737487256e+06, 9, Upload, 
11-26-2022-11-30-40.305,1.1744438046129989e+06, 10, Upload, 
11-26-2022-11-30-41.310,228244.18274659617, 0, Upload, 
11-26-2022-11-30-41.310,1.3531619405691058e+06, 1, Upload, 
11-26-2022-11-30-41.310,1.2879493169272211e+06, 2, Upload, 
11-26-2022-11-30-41.310,1.0270988223596828e+06, 3, Upload, 
11-26-2022-11-30-41.310,635823.0805083751, 4, Upload, 
11-26-2022-11-30-41.310,1.3205556287481636e+06, 5, Upload, 
11-26-2022-11-30-41.310,717338.8600607308, 6, Upload, 
11-26-2022-11-30-41.310,766248.3277921443, 7, Upload, 
11-26-2022-11-30-41.310,440185.2095827212, 8, Upload, 
11-26-2022-11-30-41.310,945583.042807327, 9, Upload, 
11-26-2022-11-30-41.310,945583.042807327, 10, Upload, 
11-26-2022-11-30-41.310,0, 11, Upload, 
11-26-2022-11-30-41.311,1.7005816008514967e+07, 0, Download, 
11-26-2022-11-30-41.311,6.548156441133731e+06, 1, Download, 
11-26-2022-11-30-41.311,5.733861558217008e+06, 2, Download, 
11-26-2022-11-30-41.311,3.404650321125797e+06, 3, Download, 
11-26-2022-11-30-41.311,1.3520144249340175e+06, 4, Download, 
11-26-2022-11-30-41.311,3.1276505492062247e+06, 5, Download, 
11-26-2022-11-30-41.311,765621.299174555, 6, Download, 
11-26-2022-11-30-41.311,5.734121463937417e+06, 7, Download, 
11-26-2022-11-30-41.311,5.652879551685921e+06, 8, Download, 
11-26-2022-11-30-41.311,2.3132268284451696e+06, 9, Download, 
11-26-2022-11-30-41.311,1.0083622372668734e+07, 10, Download, 
11-26-2022-11-30-41.311,2.427409380923185e+06, 11, Download, 
11-26-2022-11-30-42.310,1.097617799172963e+06, 0, Upload, 
11-26-2022-11-30-42.310,704441.2740960808, 1, Upload, 
