Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
11-26-2022-11-32-11.420,6.481656011341601e+07, 102, 
11-26-2022-11-32-12.420,6.782345144057536e+07, 103, 
11-26-2022-11-32-13.421,6.2994516891392656e+07, 104, 
11-26-2022-11-32-14.421,6.677500639754335e+07, 105, 
11-26-2022-11-32-15.421,6.647099759678581e+07, 106, 
11-26-2022-11-32-16.422,7.25030304981173e+07, 107, 
11-26-2022-11-32-17.423,6.181756860707898e+07, 108, 
11-26-2022-11-32-18.422,6.954316436884916e+07, 109, 
11-26-2022-11-32-19.423,6.809097535973199e+07, 110, 
11-26-2022-11-32-20.423,6.890472035795304e+07, 111, 
11-26-2022-11-32-21.423,6.825242149644598e+07, 112, 
11-26-2022-11-32-22.424,5.665579484053729e+07, 113, 
11-26-2022-11-32-23.425,6.087007829687635e+07, 114, 
11-26-2022-11-32-24.425,6.843647694998437e+07, 115, 
11-26-2022-11-32-25.425,6.517136452322221e+07, 116, 
11-26-2022-11-32-26.425,7.210082732792102e+07, 117, 
11-26-2022-11-32-27.425,6.665736682622152e+07, 118, 
11-26-2022-11-32-28.427,6.698131069001282e+07, 119, 
11-26-2022-11-32-29.427,6.828494409245059e+07, 120, 
11-26-2022-11-32-30.428,6.451601015469665e+07, 121, 
11-26-2022-11-32-31.428,6.922985330129582e+07, 122, 
11-26-2022-11-32-32.429,6.82492936419133e+07, 123, 
11-26-2022-11-32-33.429,6.718255066629763e+07, 124, 
11-26-2022-11-32-34.429,6.924967876942623e+07, 125, 
11-26-2022-11-32-35.429,5.6579711234629266e+07, 126, 
11-26-2022-11-32-36.430,6.941495731230184e+07, 127, 
11-26-2022-11-32-37.430,7.077170515109414e+07, 128, 
11-26-2022-11-32-38.431,6.103949892797649e+07, 129, 
