Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-39-49.085,999084.1115852388, 0, Download, 
11-26-2022-11-39-49.085,1.2283821044080805e+06, 1, Download, 
11-26-2022-11-39-49.085,1.93265451093538e+06, 2, Download, 
11-26-2022-11-39-49.085,1.1792468202317574e+06, 3, Download, 
11-26-2022-11-39-49.085,2.3595533600265402e+06, 4, Download, 
11-26-2022-11-39-49.085,983388.9063839851, 5, Download, 
11-26-2022-11-39-49.085,688372.2344687895, 6, Download, 
11-26-2022-11-39-49.085,803100.9402135877, 7, Download, 
11-26-2022-11-39-49.085,2.9500946935972883e+06, 8, Download, 
11-26-2022-11-39-49.085,2.589446735701827e+06, 9, Download, 
11-26-2022-11-39-49.085,3.0500601670023403e+06, 10, Download, 
11-26-2022-11-39-49.085,818921.4029387203, 11, Download, 
11-26-2022-11-39-49.085,1.2283821044080805e+06, 12, Download, 
11-26-2022-11-39-49.085,835299.8309974947, 13, Download, 
11-26-2022-11-39-49.085,933570.3993501412, 14, Download, 
11-26-2022-11-39-49.085,1.130111536055434e+06, 15, Download, 
11-26-2022-11-39-49.085,2.8352939622978233e+06, 16, Download, 
11-26-2022-11-39-49.085,852112.9444118444, 17, Download, 
11-26-2022-11-39-49.085,868499.7318043798, 18, Download, 
11-26-2022-11-39-49.085,1.1470751174774829e+06, 19, Download, 
11-26-2022-11-39-49.085,261870.89484376743, 0, Upload, 
11-26-2022-11-39-49.085,1.0487454772691266e+06, 1, Upload, 
11-26-2022-11-39-49.085,229137.0329882965, 2, Upload, 
11-26-2022-11-39-49.085,1.0318330252905015e+06, 3, Upload, 
11-26-2022-11-39-49.085,704266.9855157391, 4, Upload, 
11-26-2022-11-39-49.085,917652.2926104858, 5, Upload, 
11-26-2022-11-39-49.085,1.0482113272792395e+06, 6, Upload, 
11-26-2022-11-39-49.085,1.0154547233017634e+06, 7, Upload, 
11-26-2022-11-39-49.085,949941.5153468109, 8, Upload, 
11-26-2022-11-39-49.085,950425.588775146, 9, Upload, 
11-26-2022-11-39-49.085,278573.01739961177, 10, Upload, 
11-26-2022-11-39-49.085,1.1137245352341922e+06, 11, Upload, 
11-26-2022-11-39-49.085,229296.22784233367, 12, Upload, 
11-26-2022-11-39-49.085,409457.54971845297, 13, Upload, 
11-26-2022-11-39-49.085,687888.683527001, 14, Upload, 
11-26-2022-11-39-49.085,262052.8318198099, 15, Upload, 
11-26-2022-11-39-49.085,1.1137245352341922e+06, 16, Upload, 
11-26-2022-11-39-49.085,540483.965628358, 17, Upload, 
11-26-2022-11-39-49.085,1.0159721811044664e+06, 18, Upload, 
11-26-2022-11-39-49.085,950425.588775146, 19, Upload, 
11-26-2022-11-39-50.085,868151.8041939528, 0, Download, 
11-26-2022-11-39-50.085,1.212136481327406e+06, 1, Download, 
11-26-2022-11-39-50.085,3.636121510379706e+06, 2, Download, 
11-26-2022-11-39-50.085,343984.677133453, 3, Download, 
11-26-2022-11-39-50.085,8.287816829439131e+06, 4, Download, 
11-26-2022-11-39-50.085,900912.249635234, 5, Download, 
11-26-2022-11-39-50.085,507786.9043398592, 6, Download, 
11-26-2022-11-39-50.085,638756.7027043563, 7, Download, 
11-26-2022-11-39-50.085,9.49980934396528e+06, 8, Download, 
11-26-2022-11-39-50.085,8.861124624661552e+06, 9, Download, 
11-26-2022-11-39-50.085,4.569650238654966e+06, 10, Download, 
