Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-14-47-10.438,1, 0.0322808,0.034654,1297408, SelfUp,
11-16-2022-14-47-10.334,1, 0.1410853,0.032277,117638, SelfDown,
11-16-2022-14-47-10.438,1, 0.1237716,0.029134,118409, SelfDown,
11-16-2022-14-47-10.547,1, 0.0802648,0.039898,1297408, SelfUp,
11-16-2022-14-47-10.547,1, 0.0826166,0.034053,119930, SelfDown,
11-16-2022-14-47-10.648,1, 0.0892893,0.038143,1297408, SelfUp,
11-16-2022-14-47-10.748,1, 0.0244729,0.033101,1297408, SelfUp,
11-16-2022-14-47-10.648,1, 0.1313181,0.03378,120844, SelfDown,
11-16-2022-14-47-10.748,1, 0.0316788,0.03378,120844, SelfDown,
11-16-2022-14-47-10.855,1, 0.0330826,0.034943,1297408, SelfUp,
11-16-2022-14-47-10.855,1, 0.0914014,0.026939,133887, SelfDown,
11-16-2022-14-47-10.955,1, 0.0463268,0.035022,1297408, SelfUp,
11-16-2022-14-47-11.056,1, 0.0675774,0.03543,1297408, SelfUp,
11-16-2022-14-47-10.955,1, 0.1753506,0.031756,135299, SelfDown,
11-16-2022-14-47-11.158,1, 0.0349567,0.034657,1297408, SelfUp,
11-16-2022-14-47-11.056,1, 0.152075,0.034722,136493, SelfDown,
11-16-2022-14-47-11.257,1, 0.0349751,0.034789,1297408, SelfUp,
11-16-2022-14-47-11.157,1, 0.1770383,0.034781,136679, SelfDown,
11-16-2022-14-47-11.257,1, 0.1103611,0.035953,136914, SelfDown,
11-16-2022-14-47-11.359,1, 0.0332042,0.036668,1297408, SelfUp,
11-16-2022-14-47-11.460,1, 0.0319573,0.033237,1297408, SelfUp,
11-16-2022-14-47-11.560,1, 0.0233858,0.032057,1297408, SelfUp,
11-16-2022-14-47-11.359,1, 0.2464124,0.032762,138465, SelfDown,
11-16-2022-14-47-11.460,1, 0.1475826,0.032762,138465, SelfDown,
11-16-2022-14-47-11.560,1, 0.0499668,0.032762,138465, SelfDown,
11-16-2022-14-47-11.662,1, 0.0341991,0.032578,1297408, SelfUp,
11-16-2022-14-47-11.762,1, 0.026835,0.032158,1297408, SelfUp,
11-16-2022-14-47-11.662,1, 0.1612464,0.03438,139924, SelfDown,
11-16-2022-14-47-11.867,1, 0.0345401,0.032367,1297408, SelfUp,
11-16-2022-14-47-11.762,1, 0.222977,0.034083,140297, SelfDown,
11-16-2022-14-47-11.867,1, 0.159067,0.031673,145185, SelfDown,
11-16-2022-14-47-11.969,1, 0.0651579,0.03495,1297408, SelfUp,
11-16-2022-14-47-11.969,1, 0.0787064,0.031673,145185, SelfDown,
11-16-2022-14-47-12.073,1, 0.0289218,0.03675,1297408, SelfUp,
11-16-2022-14-47-12.173,1, 0.0341603,0.030987,1297408, SelfUp,
11-16-2022-14-47-12.073,1, 0.1579569,0.033474,146323, SelfDown,
11-16-2022-14-47-12.173,1, 0.0625991,0.033657,146434, SelfDown,
11-16-2022-14-47-12.273,1, 0.0375515,0.036245,1297408, SelfUp,
11-16-2022-14-47-12.273,1, 0.1272339,0.033628,147701, SelfDown,
