Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-14-45-40.741,1.7689931335587457e+06, 
11-16-2022-14-45-41.743,2.6962744603456575e+06, 
11-16-2022-14-45-42.746,2.1081761728980243e+06, 
11-16-2022-14-45-43.751,4.351510684235735e+06, 
11-16-2022-14-45-44.752,4.961121017959877e+06, 
11-16-2022-14-45-45.752,4.226438879455857e+06, 
11-16-2022-14-45-46.759,6.850661610689064e+06, 
11-16-2022-14-45-47.760,9.494965461707424e+06, 
11-16-2022-14-45-48.763,8.234023745195594e+06, 
11-16-2022-14-45-49.763,7.878639008715815e+06, 
11-16-2022-14-45-50.766,7.859451257853638e+06, 
11-16-2022-14-45-51.766,1.1775742507994793e+07, 
11-16-2022-14-45-52.766,8.928808362354336e+06, 
