Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-16-2022-14-47-06.817,3, 0.0569162,0.017669,15075, Foreign,
11-16-2022-14-47-06.917,3, 0.0601877,0.016996,15075, Foreign,
11-16-2022-14-47-07.017,3, 0.0795959,0.024524,15075, Foreign,
11-16-2022-14-47-07.218,3, 0.094793,0.02873,15075, Foreign,
11-16-2022-14-47-07.329,3, 0.0986528,0.033654,15075, Foreign,
11-16-2022-14-47-07.118,3, 0.3483262,0.027399,15075, Foreign,
11-16-2022-14-47-07.436,3, 0.0644336,0.019205,15075, Foreign,
11-16-2022-14-47-07.537,3, 0.0722312,0.022145,15075, Foreign,
11-16-2022-14-47-07.637,3, 0.0673209,0.017989,15075, Foreign,
11-16-2022-14-47-07.840,3, 0.0741811,0.024136,15075, Foreign,
11-16-2022-14-47-07.941,3, 0.1025731,0.032404,15075, Foreign,
11-16-2022-14-47-07.738,3, 0.4240371,0.037297,15075, Foreign,
11-16-2022-14-47-08.041,3, 0.1749818,0.034618,15075, Foreign,
11-16-2022-14-47-08.242,3, 0.0675886,0.018415,15075, Foreign,
11-16-2022-14-47-08.344,3, 0.100019,0.035477,15075, Foreign,
11-16-2022-14-47-08.142,3, 0.4310268,0.032816,15075, Foreign,
11-16-2022-14-47-08.549,3, 0.1037679,0.028501,15075, Foreign,
11-16-2022-14-47-08.653,3, 0.2957293,0.035799,15075, Foreign,
11-16-2022-14-47-08.872,3, 0.1315088,0.036794,15075, Foreign,
11-16-2022-14-47-08.765,3, 0.3472404,0.024059,15075, Foreign,
11-16-2022-14-47-09.187,3, 0.0997865,0.034873,15075, Foreign,
11-16-2022-14-47-09.392,3, 0.2152951,0.035382,15075, Foreign,
11-16-2022-14-47-09.287,3, 0.4785329,0.03531,15075, Foreign,
11-16-2022-14-47-09.607,3, 0.3094395,0.033778,15075, Foreign,
11-16-2022-14-47-08.980,3, 0.869001,0.031525,6339, Foreign,
11-16-2022-14-47-10.129,3, 0.12093,0.035413,15075, Foreign,
11-16-2022-14-47-09.924,3, 0.3912126,0.036624,15106, Foreign,
11-16-2022-14-47-10.027,3, 0.4327205,0.033631,15075, Foreign,
11-16-2022-14-47-09.817,3, 0.7591944,0.031611,15075, Foreign,
11-16-2022-14-47-10.438,3, 0.1601089,0.034468,15075, Foreign,
