Time of the generation of the data point., Instantaneous throughput (b/s)., 
11-16-2022-14-47-07.727,5.0133224037532985e+07, 
11-16-2022-14-47-08.735,6.189253398771497e+07, 
11-16-2022-14-47-09.735,6.925180131420633e+07, 
11-16-2022-14-47-10.737,6.378103543745566e+07, 
11-16-2022-14-47-11.738,7.023725531552212e+07, 
11-16-2022-14-47-12.739,6.901330428247651e+07, 
11-16-2022-14-47-13.744,6.848562161775075e+07, 
11-16-2022-14-47-14.744,6.901639786746748e+07, 
11-16-2022-14-47-15.747,6.361618396405744e+07, 
11-16-2022-14-47-16.748,6.166551433662337e+07, 
11-16-2022-14-47-17.759,6.984144543210521e+07, 
11-16-2022-14-47-18.761,6.755450167959817e+07, 
11-16-2022-14-47-19.761,6.96245299399479e+07, 
11-16-2022-14-47-20.761,6.479554496355635e+07, 
11-16-2022-14-47-21.762,5.984343492257049e+07, 
11-16-2022-14-47-22.765,6.5880310881568916e+07, 
11-16-2022-14-47-23.769,7.028859189737345e+07, 
11-16-2022-14-47-24.774,7.052432889413828e+07, 
11-16-2022-14-47-25.774,6.81143777417761e+07, 
11-16-2022-14-47-26.775,7.421616407579505e+07, 
11-16-2022-14-47-27.776,6.094938350922261e+07, 
11-16-2022-14-47-28.776,7.001822526499467e+07, 
11-16-2022-14-47-29.778,6.375996440018007e+07, 
11-16-2022-14-47-30.778,6.413237832769918e+07, 
11-16-2022-14-47-31.779,7.402284384292059e+07, 
11-16-2022-14-47-32.780,6.55140665493064e+07, 
11-16-2022-14-47-33.780,7.457408069439481e+07, 
11-16-2022-14-47-34.781,6.153420471807894e+07, 
11-16-2022-14-47-35.781,7.175129400248243e+07, 
11-16-2022-14-47-36.781,6.29577775344504e+07, 
11-16-2022-14-47-37.786,7.069189856411636e+07, 
11-16-2022-14-47-38.786,6.263780761810947e+07, 
11-16-2022-14-47-39.787,6.795380079849237e+07, 
11-16-2022-14-47-40.787,6.976015333873688e+07, 
11-16-2022-14-47-41.787,6.693773978648448e+07, 
11-16-2022-14-47-42.787,7.030933838678157e+07, 
